ID	label	verdict	asserted	correct	quote	URL	quote verified	confidence	remark
COHO:0000033	Center on Antisocial Drug Dependence	correct	United_States	United_States	individual study sample sizes ranging from n = 601 for the Colorado based CADD study to n = 40,068 for UK Biobank.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9110300/fullTextXML	yes	medium	
COHO:0000034	Centre dEtude du Polymorphisme Humain	incomplete	France	France|United_States|Venezuela	The CEPH collection includes families collected by R. White (Utah), J. Dausset (French), J. Gusella (Venezuelan), and J. Egeland (Amish).	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000268.v1.p1	yes	medium	
COHO:0000035	Centre National de G_notypage	unverified	France		the CNRGH is the French national research center	https://www.france-genomique.org/platforms-and-equipments/sequencing-genotyping-plateform-cnrgh/?lang=en	no	low	Sequencing centre, not an identifiable participant cohort; no example study; recruitment unverified.
COHO:0000036	Chicago Asthma Genetics	correct	United_States	United_States	Participants were recruited through the adult and pediatric asthma clinics at the University of Chicago Medical Center	https://pmc.ncbi.nlm.nih.gov/articles/PMC3548570/	yes	medium	
COHO:0000037	Children, Allergy, Milieu, Stockholm, Epidemiology	correct	Sweden	Sweden	population-based prospective birth cohort including 4,089 children born between 1994 and 1996 in Stockholm, Sweden.	https://metadata.ega-archive.org/studies/EGAS00001002746	yes	high	
COHO:0000038	Cholesterol and Atherosclerosis Pharmacogenetics	correct	United_States	United_States	They were recruited from two clinical sites located in Los Angeles and San Francisco, California, respectively.	https://eprints.gla.ac.uk/135921/1/135921.pdf	yes	medium	
COHO:0000039	Cilento study	correct	Italy	Italy	1600 volunteer individuals recruited through a population-based sampling strategy in three small isolated villages of the Cilento region, South Italy	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8376970/fullTextXML	yes	high	
COHO:0000040	COIN	incomplete	United_Kingdom	United_Kingdom|Republic_of_Ireland	Hospitals throughout the UK and Ireland.	https://innovative-ctu.ucl.ac.uk/studies/all-studies/c/coin-cr10/	yes	high	
COHO:0000041	COIN-B	incomplete	United_Kingdom	United_Kingdom|Cyprus	COIN-B was an open-label, multicentre, randomised, exploratory phase 2 trial done at 30 hospitals in the UK and one in Cyprus.	https://pubmed.ncbi.nlm.nih.gov/24703531/	yes	high	
COHO:0000042	Colorectal Cancer Study of Austria	correct	Austria	Austria	Additional CRC cases have been recruited at four hospitals in Vienna and a hospital in lower Austria.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8389216/	yes	high	
COHO:0000043	Consortium for the Longitudinal Evaluation of African Americans with Early Rheumatoid Arthritis	correct	United_States	United_States	Participants for CLEAR were recruited from the University of Alabama at Birmingham (UAB)	https://pmc.ncbi.nlm.nih.gov/articles/PMC2652071/	yes	medium	
COHO:0000044	Consortium of Minority Population Genome-Wide Association Studies of Stroke	incomplete	United_States	United_States|United_Kingdom	Black patients with stroke were consecutively recruited from South London, United Kingdom.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5354108/fullTextXML	yes	medium	COMPASS includes SLESS: https://pmc.ncbi.nlm.nih.gov/articles/PMC7387190/ Multinational; full recruitment list for INTERSTROKE contribution not established.
COHO:0000045	Cooperative Health Research in the Region of Augsburg	correct	Germany	Germany	The KORA F4 study is a population-based cohort of 3,080 subjects living in southern Germany.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5333359/fullTextXML	yes	high	
COHO:0000046	Copenhagen Hospital Biobank	correct	Denmark	Denmark	initiated in February 2009 at the Blood Bank unit of Department of Clinical Immunology at Copenhagen University Hospital (Rigshospitalet), Denmark	https://academic.oup.com/ije/article/50/3/719/5965137	no	high	
COHO:0000047	CROATIA-Korcula Study	correct	Croatia	Croatia	adult volunteers recruited in the island of Korčula, Croatia between 2007 and 2014.	https://metadata.ega-archive.org/studies/EGAS00001008043	yes	high	
COHO:0000048	Danish Glostrup Cohort	correct	Denmark	Denmark	a cross-sectional study was performed in the general population in Copenhagen, the Capital of Denmark.	https://genepi.qimr.edu.au/contents/p/staff/Palnosteretal_NatGen_ThreeNewRiskLociFeb12_OSI.pdf	no	high	
COHO:0000049	Diabetes Genetics in Pakistan	correct	Pakistan	Pakistan	Pakistan-based subjects (840 with type 2 diabetes, 1309 normoglycaemic individuals) were recruited from the Mirpur region of Azad Kashmir	https://pmc.ncbi.nlm.nih.gov/articles/PMC3317653/	yes	high	
COHO:0000050	Diabetes in Mexico Study	correct	Mexico	Mexico	Diabetes in Mexico Study (DMS) Mexico City, Mexico Prospective Cohort	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4127086/unicode	yes	high	
COHO:0000051	Diabetes Prevention Program	correct	United_States	United_States	The DPP was a randomized, controlled clinical trial conducted at 27 clinical centers around the United States from 1996 to 2001.	https://www.niddk.nih.gov/about-niddk/research-areas/diabetes/diabetes-prevention-program-dpp	yes	high	
COHO:0000054	Dortmund Health Study	correct	Germany	Germany	the Dortmund Health Study recruited 1312 participants for personal interviews in Dortmund, Germany.	https://journals.sagepub.com/doi/pdf/10.1111/j.1468-2982.2005.01040_6.x?download=true	no	high	
COHO:0000055	Duke Cognition Cohort	correct	United_States	United_States	DCC Duke Cognition Cohort USA	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5322272/fullTextXML	yes	high	
COHO:0000056	DUNDEE	unverified	United_Kingdom		DOLORisk Dundee has been constructed by rephenotyping two pre-existing Scottish population cohorts	https://pubmed.ncbi.nlm.nih.gov/33952538/	no	low	Candidate only: DUNDEE has no full name, disease population or example study; cannot identify it unambiguously.
COHO:0000057	Durban Diabetes Study	correct	South_Africa	South_Africa	residing in urban black African communities in Durban (eThekwini municipality) in KwaZulu-Natal (South Africa)	https://pmc.ncbi.nlm.nih.gov/articles/PMC4999239/	yes	high	
COHO:0000058	Dutch and Belgian Lung Cancer Screening Trial	correct	Belgium|Netherlands	Belgium|Netherlands	15 822 participants from the Netherlands and Belgium were registered up until July 2006.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10121576/	yes	high	
COHO:0000059	Dutch Microbiome Project	correct	Netherlands	Netherlands	collect and analyze gut microbiome samples in ~10,000 participants from the Northern Netherlands	https://groningenmicrobiome.org/?page_id=14	yes	high	
COHO:0000060	Edinburgh Stroke Study	correct	United_Kingdom	United_Kingdom	were prospectively recruited from stroke centers in Edinburgh, Scotland, U.K.	https://api.repository.cam.ac.uk/server/api/core/bitstreams/f8cf05ff-b563-452c-964a-c6e9d5e87e21/content	no	high	
COHO:0000062	EPIGEN	correct	Brazil	Brazil	Salvador (n=1309), Bambui (n=1442) and Pelotas (n=3736), from Northeast, Southeast and Southern Brazil respectively.	https://epigen.grude.ufmg.br/index.php/about/cohorts	no	high	
COHO:0000063	Erasmus Rucphen Family Study	correct	Netherlands	Netherlands	The ERF study is being conducted in a genetically isolated population located in the southwest of the Netherlands.	https://pure.eur.nl/files/46334370/Koolwijk_%20Leonieke%20Maria%20Elisabeth%20van.pdf	yes	high	
COHO:0000064	Estonian Biobank	correct	Estonia	Estonia	The Estonian Biobank has established a population-based biobank of Estonia	https://genomics.ut.ee/en/content/estonian-biobank	yes	high	
COHO:0000066	European Prospective Investigation of Cancer-Norfolk	correct	United_Kingdom	United_Kingdom	The EPIC-Norfolk cohort comprises 25 639 men and women resident in Norfolk, United Kingdom	https://epic.iarc.fr/centres/uk/	yes	high	
COHO:0000068	Extremely Low Gestational Age Newborns	correct	United_States	United_States	enrolled extremely preterm newborns from 2002 to 2004 at 14 hospitals in the United States.	https://ohiostate.elsevierpure.com/en/publications/histologic-chorioamnionitis-and-risk-of-neurodevelopmental-impair/	yes	high	
COHO:0000069	Fatty Acid Sensor Study	wrong	Denmark	Canada	254 healthy Canadian Caucasian subjects living in the Quebec City metropolitan area were recruited into the FAS study	https://eprints.soton.ac.uk/427434/1/revised_article_1_postJuanVrai_FINAL_black.pdf	yes	medium	
COHO:0000070	Finnish Twin Cohort Study	correct	Finland	Finland	both twins were living and residing in Finland at the age of 16.	https://pmc.ncbi.nlm.nih.gov/articles/PMC1521926/	yes	medium	
COHO:0000071	FINRISK	correct	Finland	Finland	The population-based National FINRISK Study (later FINRISK Study) was initiated in 1972 in Finland	https://academic.oup.com/ije/article/47/3/696/4641873	no	high	
COHO:0000072	Flemish Gut Flora Project	correct	Belgium	Belgium	we studied well-phenotyped individuals from the Flemish Gut Flora Project (FGFP, N=1,106, Belgium)	https://metadata.ega-archive.org/studies/EGAS00001001689	yes	high	
COHO:0000074	GCAT. Genomes For Life.	correct	Spain	Spain	designed to recruit the general population of the north-east region of Spain, Catalonia	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5875652/fullTextXML	yes	high	
COHO:0000075	GENESIS	correct	France	France	GENESIS (GENE SISters) is a French national study designed to identify new breast cancer susceptibility genes	https://pmc.ncbi.nlm.nih.gov/articles/PMC4583250/	yes	medium	
COHO:0000076	Genetic Analysis of Multiple Sclerosis	incomplete	United_Kingdom	United_Kingdom|Australia|Austria|Belgium|Denmark|Finland|France|Germany|Republic_of_Ireland|Italy|New_Zealand|Norway|Poland|Spain|Sweden|Switzerland|United_States	a cross-sectional population-based survey conducted in rural areas of Austria, Germany, and Switzerland	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3182531/supplementaryFiles	yes	medium	Case recruitment countries and control collections: supplementary PDF pp. 10–17; identity: https://ega-archive.org/studies/EGAS00000000101
COHO:0000078	Genetic Epidemiology of Asthma in Costa Rica	correct	Costa_Rica	Costa_Rica	children aged 6–14 years with mild to moderate asthma from 140 schools across the Central Valley of Costa Rica	https://pmc.ncbi.nlm.nih.gov/articles/PMC11178010/	yes	high	
COHO:0000080	Genetic Prostate cancer risk stratification for targeted screening	correct	United_Kingdom	United_Kingdom	through cancer genetics and uro-oncology clinics at a National Health Service cancer hospital in London	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4912360/fullTextXML	yes	medium	
COHO:0000082	Genetics of diabetes Audit and Research	correct	United_Kingdom	United_Kingdom	Between 1996 and 2015, GoDARTS recruited 10149 type 2 diabetes patients from the Tayside region of Scotland.	https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1350796/full	yes	medium	
COHO:0000083	Genetics of Healthy Aging	incomplete	Netherlands	Finland|Ukraine|Poland|Germany|Denmark|Netherlands|United_Kingdom|Belgium|France|Italy|Greece	nonagenarian sibling pairs have been recruited in eleven countries among 15 study centers.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3725963/unicode	yes	high	
COHO:0000085	German Multiple Myeloma Study Group	correct	Germany	Germany	658 German GMMG patients	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11300596/fullTextXML	yes	medium	
COHO:0000086	Ghana Prostate Study	correct	Ghana	Ghana	we recruited 676 prostate cancer cases at Korle Bu Teaching Hospital in Accra, Ghana	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000838.v1.p1	yes	high	
COHO:0000087	Glaucoma Inheritance Study in Tasmania	correct	Australia	Australia	The GIST aimed to recruit all cases of glaucoma in Tasmania (an island state of Australia)	https://genepi.qimr.edu.au/contents/publications/staff/Burdon_NatGen_OSI_574-578.pdf	yes	high	
COHO:0000088	Greece Hellenic Isolated Cohorts	correct	Greece	Greece	biological samples were collected from the mountainous Mylopomatos villages in Crete, Greece	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8640022/fullTextXML	yes	medium	
COHO:0000089	Health and Retirement Study	correct	United_States	United_States	surveys a nationally representative sample of approximately 20,000 people in the United States aged 50 and older	https://www.nia.nih.gov/research/dbsr/global-aging/hrs-international-family-studies-and-harmonized-cognitive-assessment-protocol	no	high	
COHO:0000090	Health2000 Study	correct	Finland	Finland	The Health 2000 Study is an epidemiologic health study that took place during 2000–01 in Finland	https://academic.oup.com/eurpub/article/22/3/327/511034	no	high	
COHO:0000091	Heart Protection Study	correct	United_Kingdom	United_Kingdom	20 536 UK adults (aged 40–80) with coronary disease, other occlusive arterial disease, or diabetes were randomly allocated	https://doi.org/10.1016%2FS0140-6736%2802%2909328-5	no	high	
COHO:0000092	Hoorn Diabetes Care System	correct	Netherlands	Netherlands	The DCS consists of persons with T2D in primary care from the West-Friesland region of the Netherlands.	https://pubmed.ncbi.nlm.nih.gov/28588112/	yes	high	
COHO:0000093	Hospital Discharge Register Sweden	correct	Sweden	Sweden	The Swedish Hospital Discharge Register, which contains information on all hospital diagnoses for all people in Sweden.	https://www.jthjournal.org/article/S1538-7836%2822%2903883-1/fulltext	yes	high	
COHO:0000094	Human Genetics Initiative	correct	United_States	United_States	in five waves at 11 sites across the United States	https://pmc.ncbi.nlm.nih.gov/articles/PMC7287780/	yes	medium	
COHO:0000095	Hunter Community Study	correct	Australia	Australia	an observational study of healthy aging in the Hunter Region of New South Wales (NSW), Australia.	https://www.sciencedirect.com/science/article/abs/pii/S1064748113002595	no	high	
COHO:0000096	Icelandic Cancer Registry	correct	Iceland	Iceland	All patients diagnosed with pancreatic cancer in Iceland in two periods, 1986-1997 (P1) and 1998-2009 (P2) were identified through the Icelandic Cancer Registry	https://pubmed.ncbi.nlm.nih.gov/29058490/	no	high	
COHO:0000097	Identification of Men with a genetic predisposition to ProstAte Cancer	incomplete	United_Kingdom	United_Kingdom|Australia|Denmark|Israel|Italy|Netherlands|Norway|Portugal|Spain|United_States	eight countries (Australia, Israel, Italy, Norway, Portugal, Spain, the UK, and the USA	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8576477/fullTextXML	yes	medium	"""Denmark Vejle Hospital, Vejle 31"" https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC6057750/unicode; ""men aged 45–69 yr in The Netherlands"" https://pmc.ncbi.nlm.nih.gov/articles/PMC6880781/ Multinational: BRCA cohort reports 20 countries without an accessible complete recruitment list."
COHO:0000099	Indiana Sisters Study	correct	United_States	United_States	Families with two or more healthy premenopausal sisters were recruited from the state of Indiana to identify genes contributing to bone mass.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3153352/	yes	medium	
COHO:0000100	INfancia y Medio Ambiente Project	correct	Spain	Spain	The INMA Project is a mother-and-child cohort study conducted in different areas of Spain following a common protocol	https://www.sciencedirect.com/science/article/abs/pii/S0304389421001485	no	medium	
COHO:0000105	Italian Network on Genetic Isolates Studies	correct	Italy	Italy	We characterised whole-genome sequences from isolated populations localised in three different geographical areas of Italy	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7080768/fullTextXML	yes	high	
COHO:0000106	Leeds Melanoma Cohort	correct	United_Kingdom	United_Kingdom	Population-ascertained incident melanoma cases were recruited to an ethically approved case-control study in a geographically defined area of the UK	https://pmc.ncbi.nlm.nih.gov/articles/PMC4065372/	yes	high	
COHO:0000107	Leiden Longevity Study	correct	Netherlands	Netherlands	The LLS, initiated in 2002 in the Netherlands, is an ongoing cohort	https://link.springer.com/article/10.1186/s12916-026-05178-z	no	high	
COHO:0000108	LifeLines	correct	Netherlands	Netherlands	Lifelines population living in the Northern parts of the Netherlands, and without recent antimicrobial use and occupational livestock contact	https://metadata.ega-archive.org/studies/EGAS00001003944	yes	high	
COHO:0000109	Living Biobank	wrong	United_Kingdom	Singapore	sampled from 2 population-based cohorts in Singapore: the Multi-Ethnic Cohort (MEC) (14) and the Singapore Health 2012 (SH2012)	https://academic.oup.com/jcem/article/105/12/3854/5906591	yes	high	
COHO:0000110	Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study	correct	United_States	United_States	recruited women aged 35–64 years old diagnosed with invasive breast cancer between 1994–1998 from five metropolitan areas: Atlanta, Detroit, Los Angeles, Philadelphia, and Seattle.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2756173/	yes	medium	
COHO:0000111	Lothian Birth Cohort	correct	United_Kingdom	United_Kingdom	participants of both Surveys, mostly living in Edinburgh and the surrounding area (the Lothians) in older age, were invited to participate	https://pmc.ncbi.nlm.nih.gov/articles/PMC6124629/	yes	medium	
COHO:0000112	Lund Stroke Register	correct	Sweden	Sweden	patients included in the Lund Stroke Register, Sweden, between March 1, 2001, and February 28, 2002.	https://pubmed.ncbi.nlm.nih.gov/24803595/	no	high	
COHO:0000113	Marseille Thrombosis Association Study	correct	France	France	Recruitment in MARTHA started in 1994 at Timone Hospital in Marseille (France) and is still ongoing.	https://www.nature.com/articles/s41467-023-38383-y	yes	high	
COHO:0000114	Mexican Biobank	correct	Mexico	Mexico	recruited by the National Institute of Public Health (Instituto Nacional de Salud Pública) across all 32 states of Mexico.	https://www.nature.com/articles/s41586-023-06560-0	yes	high	
COHO:0000115	MIRAGE	incomplete	United_States	United_States|Canada|Germany|Greece	enrolled AD cases and unaffected sibling controls at 17 clinical centers in the United States, Canada, Germany and Greece.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3365264/	yes	medium	
COHO:0000119	Multi-Ethnic Study of Atherosclerosis	correct	United_States	United_States	Patients were enrolled from six field centers across the United States over a two-year period.	https://www.nhlbi.nih.gov/science/multi-ethnic-study-atherosclerosis-mesa	yes	high	
COHO:0000121	Multiethnic Cohort Study of Diet and Health	correct	United_States	United_States	living in Hawaii and in California (primarily Los Angeles County)	https://pmc.ncbi.nlm.nih.gov/articles/PMC4482109/	yes	medium	
COHO:0000122	Multiple Environmental and Genetic Assessment of Risk Factors for Venous Thrombosis	correct	Netherlands	Netherlands	We recruited 6578 consecutively diagnosed patients from six regional anticoagulation clinics in the Netherlands	https://www.jthjournal.org/article/S1538-7836%2822%2911821-0/fulltext	no	high	
COHO:0000123	National Health Service Blood and Transplant	correct	United_Kingdom	United_Kingdom	blood donors aged 18 years and older were recruited at 25 centres of England’s National Health Service Blood and Transplant (NHSBT).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC6697541/unicode	yes	medium	
COHO:0000124	National Study of Colorectal Cancer Genetics	correct	United_Kingdom	United_Kingdom	Sites of centres in the United Kingdom recruiting to NSCCG as of March 2007.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2360468/	yes	high	
COHO:0000125	Netherlands Twin Registry	correct	Netherlands	Netherlands	recruits approximately 40% of new-born twins or higher-order multiples in the Netherlands for longitudinal research.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7355279/	yes	high	
COHO:0000126	New England-based Case-Control Study of Ovarian Cancer	correct	United_States	United_States	The project recruited cases from Eastern Massachusetts and New Hampshire	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001034.v1.p1	yes	medium	
COHO:0000127	NIDDK	unverified	United_States		Apply for access to data from one or more studies in NIDDK-CR.	https://repository.niddk.nih.gov/home	no	low	No example study or disease population identifies which NIDDK cohort is intended; recruitment unverified.
COHO:0000128	Nijmegen Biomedical Study	correct	Netherlands	Netherlands	Subjects from the Netherlands were recruited within the ‘Nijmegen Biomedical Study’	https://pmc.ncbi.nlm.nih.gov/articles/PMC9136713/	yes	high	
COHO:0000129	Northern Ireland Cohort for Longitudinal Study of Ageing	correct	United_Kingdom	United_Kingdom	NICOLA has recruited 8,478 people from across Northern Ireland	https://nicola.qub.ac.uk/	no	medium	
COHO:0000130	Northern Sweden Population Health Study	correct	Sweden	Sweden	a health survey of the population in the parish of Karesuando, county of Norrbotten, Sweden	https://pmc.ncbi.nlm.nih.gov/articles/PMC3606982/	yes	high	
COHO:0000131	Norwegian Mother and Child Cohort study	correct	Norway	Norway	participants were recruited from all over Norway during 1999-2008	https://www.bmj.com/content/348/bmj.g1446	yes	high	
COHO:0000132	Orkney Complex Disease Study	correct	United_Kingdom	United_Kingdom	in the isolated archipelago of the Orkney Isles in northern Scotland	https://viking.ed.ac.uk/our-data-and-samples/cohorts	yes	medium	
COHO:0000136	Oxford Biobank	correct	United_Kingdom	United_Kingdom	the Oxford BioBank study recruited 5,425 adults (aged 29‐55 years) from the general population of Oxfordshire, UK	https://pmc.ncbi.nlm.nih.gov/articles/PMC6618903/	yes	high	
COHO:0000138	Parkinson Environment and Gene	correct	United_States	United_States	The Parkinson Environment and Genes (PEG) study is a population-based case-control study conducted in central California.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11915066/fullTextXML	yes	medium	
COHO:0000139	People of the British Isles	correct	United_Kingdom	United_Kingdom	in 2004 researchers started to collect DNA from volunteers at rural locations throughout the UK	https://www.oum.ox.ac.uk/settlers/	yes	medium	
COHO:0000140	Physical Activity and Nutrition in Children Study	wrong	Australia	Finland	a population sample of primary school children from the city of Kuopio, Finland	https://www.sciencedirect.com/science/article/pii/S1526590016300190	yes	high	
COHO:0000141	Population-based Colonoscopy study	wrong	Germany	Sweden	The Population-based Colonoscopy (PopCol) study is a cohort of Swedish-born individuals from Stockholm, Sweden	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8654685/fullTextXML	yes	high	
COHO:0000142	Precocious Coronary Artery Disease Study	wrong	India	United_Kingdom|Sweden|Germany|Italy	CHD cases were recruited from four European countries (UK, Italy, Sweden and Germany) between 2004 and 2008	https://pmc.ncbi.nlm.nih.gov/articles/PMC5922567/	yes	medium	
COHO:0000143	Pressioni Arteriose Monitorate E Loro Associazionie	correct	Italy	Italy	3200 subjects representative of the population of Monza (a town near Milan, Italy)	https://pmc.ncbi.nlm.nih.gov/articles/PMC9659864/	yes	high	
