ID	subset	status	action	accession	PMID	title	quote	URL	note
COHO:0000013	EGA	UNSURE	removed from subset (unconfirmed)	EGAS00001002305		The Ovarian Cancer Association Consortium OncoArray genome-wide association study	ovarian cancer cases and controls from multiple studies participating in the Ovarian Cancer Association Consortium, of which 54,747 passes QC.	https://ega-archive.org/studies/EGAS00001002305	"Plausible but unconfirmed: ACS is an OCAC study (Australian site with AOCS), but neither the EGA record nor the full texts of its 4 listed papers (PMIDs 27697780, 30576442, 34965383, 35027648) say ACS samples were analysed; the name appears only as a group author in reference lists. Other searches: EGA site/EBI Search ""Australian Cancer Study"" 0, ""Australia Cancer Study"" 0, ACS acronym hits unrelated; ""Australian Ovarian Cancer Study"" gives AOCS tumour-sequencing studies only (EGAS00001004248, EGAS00001000397); Europe PMC papers with EGA accessions naming ""Australian Cancer Study"" 0."
COHO:0000015	EGA	NOT FOUND	removed from subset						"No EGA study uses the Australian Twin Registry. EGA site search: ""Australian Twin Registry"" 1 (dbGaP phs000277 only, not an EGA study), ""Twins Research Australia"" 0, twins Australia 3 (0 EGAS), ATR 9 (none twins); EBI Search EGA: ""Australian Twin Registry"" 1 (same dbGaP record), ATR 43 (none relevant); no EGA study among the twin (49), twins (51), monozygotic (34), Australian (36) and Melbourne (13) hits mentions Australian twins. Europe PMC papers naming the registry and citing an EGA accession: 1 (PMID:38016992, which cites UK10K EGAD00001000776, not ATR data); local tables 0. EGA subset membership looks mistaken."
COHO:0000017	EGA	FOUND	example added	EGAS00001007383	PMID:37845283	Recurrent DNMT3B rearrangements are associated with unfavorable outcome in dicentric (9;20)-positive pediatric BCP-ALL.	Survival analyses were restricted to patients enrolled in the AIEOP-BFM ALL 2000 and 2009 studies, because these patients had sufficient follow-up time	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10681884/fullTextXML	Paper of EGA study EGAS00001007383 (listed on the EGA record, which itself names the AIEOP-BFM ALL 2017 study); childhood BCP-ALL patients enrolled in BFM trials (AIEOP-BFM ALL 2000/2009), with authors from the Berlin-Frankfurt-Münster ALL Study Group Germany in Kiel. Alternative: EGAS00001001847 (P2RY8-CRLF2 ALL; paper PMID:27899802 says cases were 'treated on BFM ALL 2000/09 (n=32)').
COHO:0000022	EGA	FOUND	example added	EGAS00001007563	PMID:37923752	Immunological and clinicopathological features predict HER2-positive breast cancer prognosis in the neoadjuvant NeoALTTO and CALGB 40601 randomized trials.	we investigated the complexity of B and T cell receptor (BCR and TCR) repertoires, reflecting antigen-specific immune response, in the context of two phase III trials, namely NeoALTTO and CALGB 40601	https://ega-archive.org/studies/EGAS00001007563	Local candidate (CALGB 40601) confirmed: CALGB 40601 is a Cancer and Leukemia Group B trial, a member of this aggregation; the paper (PMC10624889) spells it out as 'the cancer and leukemia group B (CALGB) 40601 trial' and validates its model in CALGB 40601 patients. The EGA dataset itself holds only the NeoALTTO RNA-seq.
COHO:0000024	EGA	NOT FOUND	removed from subset						"No EGA study uses CPS-II. EGA site search: ""Cancer Prevention Study"" 8, ""Cancer Prevention Study II"" 8, ""Cancer Prevention Study-II"" 8, ""CPS-II"" 6 and CPSII 2 results, all dbGaP (phs) records, none EGAS; CPS 8 (only EGAS00001006907, childhood haematological cancer, unrelated); EBI Search EGA: full names 1 hit each (dbGaP phs000346); PRACTICAL/BPC3/""Breast and Prostate Cancer Cohort Consortium"" give no EGA study that includes it. Europe PMC papers naming CPS-II and citing an EGA accession: 4, all citing other cohorts' data (e.g. PMID:28598434 cites EGAS00001002336, a UK-only renal cancer case set; PMID:42706231 cites UROMOL). EGA subset membership looks mistaken."
COHO:0000025	EGA	NOT FOUND	removed from subset						"No EGA study uses CAPS. EGA site search: ""Cancer Prostate in Sweden"" 0, ""Cancer of the Prostate in Sweden"" 1 (not EGAS), CAPS 2 and CAPS prostate 2 (0 EGAS), prostate cancer Sweden 6 (0 EGAS); EBI Search EGA: full names 0, CAPS prostate 6 (tumour datasets, unrelated); local tables 0. Europe PMC papers naming CAPS and citing an EGA accession (Hodgkin lymphoma GWAS PMID:30194254, PMID:29196614; myeloma GWAS PMID:30213928) only acknowledge CAPS among PRACTICAL OncoArray controls; the EGA studies they cite are cell-line Hi-C/ChIP-seq (EGAS00001003032/3, EGAS00001002614) or UK10K/WTCCC data, not CAPS samples. EGA subset membership looks mistaken."
COHO:0000026	EGA	NOT FOUND	removed from subset						"No EGA study uses the CHARM programme. EGA site search: full name 0, ""Candesartan in Heart failure"" 0, candesartan 0, CHARM 2 (EGAS00001006539 = cfDNA in Hereditary And High-Risk Malignancies, a different CHARM; phs002111 dbGaP); EBI Search EGA: full names 0, candesartan 0, CHARM 3 (same cfDNA study); Europe PMC papers citing an EGA accession: ""Candesartan in Heart failure"" 0, CHARM candesartan 0, CHARM heart failure GWAS/pharmacogenomic 0; local tables 0. EGA subset membership looks mistaken."
COHO:0000027	EGA	UNSURE	removed from subset (unconfirmed)	EGAS00001001427	PMID:26390057	Trans-ancestry genome-wide association study identifies 12 genetic loci influencing blood pressure and implicates a role for DNA methylation.	Participant recruitment, characterization and data generation. [...] CAGE Network:	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4719169/unicode	"EGA study EGAS00001001427 holds this BP GWAS's summary statistics (the paper says they were deposited there). In the paper's author-contributions section, under 'Participant recruitment, characterization and data generation', the CAGE studies listed are 'CAGE Network', 'CAGE-Amagasaki', 'CAGE-Fukuoka', 'CAGE-KING' and 'CAGE-Vietnam', so CAGE Network participants were used. Unsure because it doesn't show the Japanese T2D case-control collection in this cohort's definition was among them, and the full name is never spelled out. No better candidate: EGA site/EBI Search give 0 hits for ""Cardio-metabolic Genome Epidemiology"" and ""Cardiometabolic Genome Epidemiology""; the CAGE acronym hits (15 site, 3 EBI) are all CAGE sequencing, not this cohort; Europe PMC papers with EGA accessions naming the full name 0."
COHO:0000029	EGA	UNSURE	removed from subset (unconfirmed)	EGAS00001001225		Analysis_of_lowfrequency_coding_variants_in_cardiometabolic_traits	I will seek validation of initial findings through CARDIoGRAMplusC4D which comprises over 60,000 CAD/MI cases and 120,000 controls	https://ega-archive.org/studies/EGAS00001001225	"Local candidate (human-reviewed match) names the consortium, but the record is a grant-style proposal ('will seek validation ... through CARDIoGRAMplusC4D'), is 'pending for release' and has no publication, so use isn't shown. EGAS00001001226 has the same text and status. No released alternative: EGA site/EBI Search give 0 hits for CARDIoGRAMplusC4D, CARDIoGRAM, C4D and ""Coronary Artery Disease Genetics Consortium""; none of the released coronary-disease EGA studies checked (WTCCC CAD, Metabochip EGAS00000000115, Exomechip EGAS00001000584, Cardiogenics) names it; Europe PMC papers with EGA accessions naming CARDIoGRAM cite unrelated datasets (Understanding Society, FH GWAS)."
COHO:0000030	EGA	NOT FOUND	removed from subset						"No EGA study uses CHANCE. EGA site search: ""Carolina Head and Neck Cancer Epidemiology"" 0, ""Carolina Head and Neck Cancer"" 0, CHANCE head neck 0, head and neck cancer North Carolina 0, CHANCE 12 (none head and neck/North Carolina); EBI Search EGA: full names 0, CHANCE 56 (the word 'chance', none this study); Europe PMC papers citing an EGA accession: ""Carolina Head and Neck Cancer"" 0; CHANCE head neck 44, all the word 'chance' (the two HPV oral/oropharyngeal cancer papers checked, PMID:34903527 and PMID:30563911, do not name CHANCE); local tables 0. EGA subset membership looks mistaken."
COHO:0000031	EGA	FOUND	example added	EGAS00001001957	PMID:29187508	Relaxed Selection During a Recent Human Expansion.	we screened the ascending genealogies of 3916 individuals from the CARTaGENE cohort (Awadalla et al. 2013) that were linked to the BALSAC genealogical database	https://ega-archive.org/studies/EGAS00001001957	Local candidate confirmed: the EGA record names the CARTaGENE cohort (the Quebec biobank, Awadalla et al. 2013) and says 102 selected participants were exome-sequenced; its DAC is the CARTaGENE Sample and Data Access Committee.
COHO:0000032	EGA	NOT FOUND	removed from subset						"No EGA study uses UCLA's CART. EGA site search: ""Center for Autism Research and Treatment"" 0, autism UCLA 0, autism Los Angeles 0, CART 4 (none autism); EBI Search EGA: same queries 0, CART 4 (unrelated); local tables 0. Europe PMC papers naming the centre and citing an EGA accession (PMID:41034588, PMID:29562236, PMID:29483656) name it only as an author affiliation or cite other datasets (HRC EGAD00001002729, DDD EGAS00001000775). EGA subset membership looks mistaken."
COHO:0000033	EGA	NOT FOUND	removed from subset						"No EGA study uses the Colorado CADD. EGA site search: ""Center on Antisocial Drug Dependence"" 0, ""Antisocial Drug Dependence"" 1 (not EGAS), CADD 3 and CADD Colorado 1 (none this centre); EBI Search EGA: full name 0, CADD 1 (unrelated); Europe PMC papers citing an EGA accession: full name 0, ""Antisocial Drug Dependence"" 0, CADD Colorado 3 (all the CADD variant score); local tables 0. EGA subset membership looks mistaken."
COHO:0000034	EGA	NOT FOUND	removed from subset						"No EGA study analyses CEPH samples (CEPH families, HGDP-CEPH panel or CEU). EGA site search: ""Centre d'Etude du Polymorphisme Humain"" 0, ""CEPH families"" 0, ""HGDP-CEPH"" 0, ""Fondation Jean Dausset"" 0, CEPH 5 (0 EGAS), CEU 7 (2 EGAS that only use CEU as an imputation/ancestry label); EBI Search EGA: full name 0, CEPH 9 (dbGaP phs000268 plus imputation mentions). The only local hit, EGAS00001003120 (pending), sequenced Chinese populations 'not present in the HGDP-CEPH panel'. Europe PMC papers naming CEPH and citing an EGA accession name it only as an author affiliation or DNA-extraction lab (PMID:38172507, 27406316, 28598434, 25469539), or as the HapMap CEU LD reference (PMID:22513257). EGA subset membership looks mistaken (CEPH is defined as a research foundation)."
COHO:0000036	EGA	NOT FOUND	removed from subset						"No EGA study uses CAG. EGA site search: ""Chicago Asthma Genetics"" 2 and asthma Chicago 3 results, none EGAS (the dbGaP STAMPEED asthma record phs000355 holds CAG); CAG 25 (CAG repeats etc., none this cohort); EBI Search EGA: ""Chicago Asthma Genetics"" 1 (phs000355); local tables 0. Europe PMC papers naming CAG and citing an EGA accession (PMID:22694930, PMID:23541324) only cite the European GABRIEL study EGAS00000000077 for its summary results; GABRIEL did not include CAG. EGA subset membership looks mistaken."
COHO:0000038	EGA	NOT FOUND	removed from subset						"No EGA study uses CAP. EGA site search: ""Cholesterol and Atherosclerosis Pharmacogenetics"" 0, simvastatin 4 (0 EGAS), statin response 2 (0 EGAS), CAP 26 (none this study); EBI Search EGA: full name 0, simvastatin 1 and CAP 59, where the only match is the dbGaP record phs000481 'Cholesterol and Pharmacogenetics (CAP) Study'; the only statin-response EGA study (EGAS00000000121, WTCCC2) is Scottish, not CAP; Europe PMC papers citing an EGA accession: full name 0; local tables 0. EGA subset membership looks mistaken (CAP is in dbGaP)."
COHO:0000039	EGA	FOUND	example added	EGAS00001000620	PMID:30858532	Whole-Exome Sequencing in the Isolated Populations of Cilento from South Italy.	The aim of this project is to identify rare genetic variants of large effect implicated in complex diseases by focusing on the study of cardiovascular diseases and related quantitative traits in a well characterized isolated population in Cilento area, Italy.	https://ega-archive.org/studies/EGAS00001000620	Named in the EGA record, which also says 'We perform exome sequencing on samples from 250 individuals from the Campora and Gioi-Cardile populations', the villages in the definition. Also EGAS00001001116 (Cilento isolates WGS, no publication).
COHO:0000042	EGA	NOT FOUND	removed from subset						"No EGA study uses CORSA. The local candidate EGAS50000001205 is a different CORSA: an Italian SARS-CoV-2 vaccination trial in haematological malignancy (NCT04345315), not Austrian colorectal neoplasia; rejected. EGA site search: ""Colorectal Cancer Study of Austria"" 1 (not EGAS), CORSA 2 (only EGAS50000001205), colorectal Austria 1 (0 EGAS); EBI Search EGA: full name 0, CORSA colorectal 10 (tumour studies, none CORSA). The CRC GWAS (PMID:36539618) states 'CCFR, CORECT, CORSA_2 and GECCO are deposited in dbGaP'; its EGA studies are the UK NSCCG and COIN collections (EGAS00001005412, EGAS00001005421), which do not include CORSA. EGA subset membership looks mistaken (the COVID CORSA study likely caused the match)."
COHO:0000043	EGA	NOT FOUND	removed from subset						No EGA study uses CLEAR. EGA site search: the full name 2 and CLEAR rheumatoid 2, both dbGaP records (phs001360 NIAMS CLEAR; phs001222 CCDG T1DGC), 0 EGAS; CLEAR 141 (the word 'clear', none rheumatoid arthritis in African Americans); EBI Search EGA: full name 0, CLEAR rheumatoid 0; Europe PMC papers citing an EGA accession: full name 0 (CLEAR rheumatoid 79 hits are the common word); local tables 0. EGA subset membership looks mistaken (CLEAR's data are in dbGaP, phs001360).
COHO:0000044	EGA	FOUND	example added	EGAS00001007331	PMID:38317187	Novel functional insights into ischemic stroke biology provided by the first genome-wide association study of stroke in indigenous Africans.	The report also includes an African ancestry meta-analysis combining summary statistics from the COMPASS Consortium	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10840175/fullTextXML	EGA study EGAS00001007331 (H3Africa SIREN) is this paper's data deposit, per the paper's data-availability statement. The paper spells out 'Consortium of Minority Population GWAS of Stroke (COMPASS)' and meta-analyses 'SIREN and COMPASS data sets', so COMPASS results were analysed; the EGA datasets hold SIREN genotypes/phenotypes. This is the paper behind COMPASS's current example GCST90482715. Both local candidates (EGAS00001002543 PanCuRx, EGAS50000001091) are the COMPASS pancreatic cancer trial, a different COMPASS; rejected.
COHO:0000045	EGA	FOUND	example added	EGAS00000000097	PMID:22210626	Genome-wide association study in multiple human prion diseases suggests genetic risk factors additional to PRNP.	After quality control we analysed 2000 samples and 6015 control individuals (provided by the Wellcome Trust Case Control Consortium and KORA-gen), for 491032-511862 SNPs in the European study.	https://ega-archive.org/studies/EGAS00000000097	Local candidate confirmed: the paper (PMC3313791) says 'The WTCCC (UK) or KORA (German) provided 6507 controls', with KORA-gen authors at Helmholtz-Zentrum München, Institute for Epidemiology, i.e. the Augsburg KORA resource. The other local candidates (EGAS00001000050, EGAS00001000079, Cardiogenics) only say 'For controls we will consider individuals from the UKBS and KORA cohorts' (prospective).
COHO:0000046	EGA	NOT FOUND	removed from subset						"No EGA study uses the Copenhagen Hospital Biobank. EGA site search: ""Copenhagen Hospital Biobank"" 0, ""Copenhagen BB"" 0, CHB Copenhagen 0, Rigshospitalet 0, CHB 3 (none this biobank), Copenhagen 4, Danish 10 and Denmark 17 (no EGA study naming a hospital biobank); EBI Search EGA: full name 0, Rigshospitalet 0, CHB 20 (HapMap CHB/unrelated); Europe PMC papers citing an EGA accession: full name 1 (an ESHG abstract book citing EGAS00001000017, unrelated); CHB Copenhagen 9 (HapMap CHB/Copenhagen, other cohorts' data); local tables 0. EGA subset membership looks mistaken."
COHO:0000048	EGA	NOT FOUND	removed from subset						"No EGA study uses the Danish Glostrup Cohort. EGA site search: ""Danish Glostrup Cohort"" 0, ""Danish Glostrup"" 0, Glostrup 1 (not EGAS), DGC 4 (none this cohort); EBI Search EGA: full name 0, Glostrup 0, DGC 1 (unrelated); Europe PMC papers citing an EGA accession: ""Danish Glostrup"" 0; Glostrup 27, where Glostrup is only an author affiliation (e.g. PMID:29257133, PMID:37244984, PMID:29358691 checked); local tables 0. EGA subset membership looks mistaken."
COHO:0000049	EGA	NOT FOUND	removed from subset						"No EGA study uses DGP. EGA site search: ""Diabetes Genetics in Pakistan"" 0, Mirpur 2 (0 EGAS), Mirpuri 0, Punjabi diabetes 1 (0 EGAS), Pakistani diabetes 0, DGP 1 (unrelated); EBI Search EGA: full name 0, Mirpur/Mirpuri 2 (unrelated NOWAC study); Europe PMC papers citing an EGA accession: full name 0, Mirpur 0; local tables 0. Lead checked and rejected: the Birmingham autozygosity pilots (EGAS00001000511, EGAS00001000567) use 'existing British-Pakistani cohort samples from Birmingham', but DGP was recruited in Pakistan (PMC3176767: DGP approved by the Baqai Institute IRB, while the UK Birmingham study is UKADS). EGA subset membership looks mistaken."
COHO:0000050	EGA	NOT FOUND	removed from subset						"No EGA study uses the Diabetes in Mexico Study (SIGMA). EGA site search: ""Diabetes in Mexico Study"" 6 and SIGMA Mexico diabetes 6, all dbGaP records, 0 EGAS; Mexico diabetes 9 (0 EGAS); DMS 8 (none this study); EBI Search EGA: full name 0; Europe PMC papers with an EGA accession naming it: 2. The GLAD paper (PMID:39486408) took 'SIGMA Diabetes in Mexico Study' from dbGaP (phs001385); the EGA studies it cites (EGAS00001004995 Peruvian Genome Project, EGAS00001001245 EPIGEN) are other cohorts. Local tables 0. EGA subset membership looks mistaken (data are in dbGaP)."
COHO:0000051	EGA	FOUND	example added	EGAS00001001875	PMID:27500523	Variation in the glucose transporter gene SLC2A2 is associated with glycemic response to metformin.	In the DPP cohort of pre-diabetes participants, Cox proportional hazards regression was used to evaluate the genetic impact on the time to diabetes incidence	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5007158/fullTextXML	The EGA study has the paper's title and abstract (the record lists no publication, so the link is by title). Acronym confirmed by context: pre-diabetes participants on metformin, 'DPP investigators' as group author, and citations to Diabetes Prevention Program papers. DPP was analysed separately (reported in the paper's Supplementary Table 4), not in the main meta-analysis. The 'DPP' in the EGA record itself means DPP-4 inhibitor.
COHO:0000052	EGA	NOT FOUND	removed from subset						No EGA study uses the DREAM trial. EGA site search: full name 0, DREAM rosiglitazone 0, ramipril 0, rosiglitazone 2 (only EGAS00001007271, NFAT immunodeficiency scRNA-seq), DREAM 7 (none this trial); EBI Search EGA: full name 0, DREAM 11 (none this trial), rosiglitazone 1 (same study); Europe PMC papers citing an EGA accession: full name 0, DREAM rosiglitazone 0, ramipril 1 (UK Biobank-type reuse, not DREAM); local tables 0. EGA subset membership looks mistaken.
COHO:0000053	EGA	UNSURE	removed from subset (unconfirmed)	EGAS00001007041	PMID:40684475	The influence of metformin treatment on the circulating proteome.	This replication uses data from the IMI-DIRECT (DIabetes REsearCh on patient straTification) study: This cohort included 784 patients with recently diagnosed type 2 diabetes.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12301841/fullTextXML	"Found but indirect: the paper is one of three the EGA record 'IMI-RHAPSODY data' (EGAS00001007041) lists, and it analysed IMI-DIRECT participants in its replication. But the EGA study is the sister IMI-RHAPSODY project's SomaLogic deposit (DCS, GoDARTS); this paper reuses it, and the paper says IMI-DIRECT data are not public. RHAPSODY's own papers (PMID:37137910, 38374450) only cite DIRECT. Local candidate EGAS50000000968 is a different DIRECT (ctDNA in diffuse large B-cell lymphoma); rejected. EGA site/EBI Search: full name 0, ""IMI-DIRECT"" 0."
COHO:0000054	EGA	NOT FOUND	removed from subset						"No EGA study uses the Dortmund Health Study. EGA site search: ""Dortmund Health Study"" 0, Dortmund 0, DHS 3 (none this cohort); EBI Search EGA: ""Dortmund Health Study"" 0, Dortmund 0, DHS 0; Europe PMC papers citing an EGA accession: ""Dortmund Health Study"" 0 (Dortmund 13, all author affiliations such as TU Dortmund/IfADo, other studies' data); local tables 0. EGA subset membership looks mistaken."
COHO:0000055	EGA	NOT FOUND	removed from subset						"No EGA study uses the Duke Cognition Cohort. EGA site search: ""Duke Cognition Cohort"" 1 and Duke cognition 1, both the dbGaP record phs001406 (NIMH Duke Cognition Cohort), not an EGA study; DCC 4 (none this cohort); EBI Search EGA: ""Duke Cognition Cohort"" 0, DCC 37 (none cognition); Europe PMC papers citing an EGA accession: ""Duke Cognition Cohort"" 0 (Duke cognition 7: affiliations and other cohorts' data); local tables 0. EGA subset membership looks mistaken (the data are in dbGaP)."
COHO:0000057	EGA	FOUND	example added	EGAS00001002583		APCDR Durban Diabetes Study (DDS)	APCDR Durban Diabetes Study (DDS) Population-based cross-sectional survey using multistage cluster sampling of adults aged ≥18 years in Durban (eThekwini municipality), KwaZulu-Natal	https://ega-archive.org/studies/EGAS00001002583	"Local candidate (human-reviewed) confirmed as the cohort's own EGA study: the title is the COHO synonym and the description (population-based cross-sectional survey, eThekwini municipality) matches the definition. The quote is the record's title followed by its description. Caveat: the EGA page shows 'pending for release' (no datasets or publications). No released alternative: EGA site/EBI Search give 0 hits for ""Durban Diabetes Study""; the AGVP Zulu genomes (EGAS00001000286, '100 unrelated Zulu from Durban area') are not tied to DDS in the AGVP paper text."
COHO:0000058	EGA	FOUND	example added	EGAS00001000681		Genome-wide SNP-SNP interactions in COPD	We used the NELSON cohort as a discovery set, comprising 1,030 cases and 1,808 controls, and the LifeLines cohort as a replication set, with 711 cases and 3,013 controls.	https://ega-archive.org/studies/EGAS00001000681	Local candidate (human-reviewed) confirmed. Acronym checked by context: a Dutch COPD genetics study replicated in LifeLines. A related Dutch asthma/COPD GWAS (PMC4217133) describes 'The NELSON cohort study: a population-based cohort screening for lung cancer, including current or ex-smokers with at least 20 pack-years', whose COPD set also has 1,030 cases. Caveat: the EGA page shows 'pending for release', and no published paper for this study turned up. No other EGA study uses NELSON: EGA site/EBI Search give 0 hits for the full name, and EBI 'NELSON' hits are author names.
COHO:0000060	EGA	FOUND	example added	EGAS00000000103	PMID:22306652	Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke.	We thank the following who contributed to collection, phenotyping, sample processing and data management for the different cohorts. [...] Edinburgh Stroke Study:	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3303115/fullTextXML	The EGA study 'WTCCC2 Ischaemic Stroke study' has the paper's title as its description (its listed publications are only later reuses). The paper's table footnote says 'The UK discovery cohort was made of three British cohorts from London, Oxford and Edinburgh and used the shared WTCCC2 controls', and the acknowledgements name the Edinburgh Stroke Study among the cohorts collected and phenotyped. The quote is two verbatim pieces joined by [...] to leave out staff names. Cohort descriptions are in the supplement, which I did not fetch.
