accession_id	title	description	abstract	pubmed_ids	is_released	is_deprecated	original_cohort_matches	reviewer_notes	verified_cohort_matches	verification_status
EGAS00001007406	Whole genome sequencing of individuals from Latvia: the first step towards the population-specific reference of genetic variation		Understanding the extent of human genetic variation through whole genome sequencing (WGS) is limited by the scarce availability of genome sequences from underrepresented populations, even within Europe. Latvia represents a population with the highest degree of Western-European hunter-gatherer genetic ancestry and additional genetic data from Latvia has a potential to improve genomics research globally. To address this issue, we utilised the MGI DNBSEQTM platform to sequence 502 individuals from the Genome Database of Latvian Population as representatives of the Latvian population. Here we present a high-coverage WGS dataset, which allowed us to identify more than 19 million variants, of which 3.3% are not represented in gnomAD and dbSNP databases. We provide a detailed assessment of variant type, location, function, medical relevance and novelty of identified genetic variants. Principal component analysis (PCA) shows the clustering of the Latvian population inside the European sample, but distinct from other 1000G European populations. Additionally, we constructed a population-specific reference panel and compared its performance in imputation with the 1000G dataset. Our findings demonstrate that the Latvian population-specific reference panel performs better for common and low-frequency variants, both in terms of total count and accuracy, when compared to 1000G panel. In summary, our study provides the first data for a regional reference genome that will serve as a cornerstone for the development of precision medicine and will complement the global genome dataset to improve understanding of human genetic variation.		FALSE	FALSE	1000G	Incorrect -  Genome Database of Latvian Population	Genome Database of Latvian Population	Corrected by reviewer
EGAS00001002548	WGS__15x__of_139_Maasai_individuals_from_the_HapMap_collection	We have recently sequenced the whole RNA of 600 African 1000G and HapMap samples to be used in our African Transcriptome Project. The aim of the project was to generate high coverage RNAseq data (Illumina HiSeq) from 6 different populations across Africa; the first large-scale resource to examine eQTLs within Africa. The necessary complement to such resource is whole genome sequence data from the same samples. To date such data are publicly available for all but one population, the HapMap Maasai. We propose here to generate whole genome sequences for the Maasai population. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/	We have sequenced to medium depth (15x) 139 HapMap Maasai samples for which no WGS data were available previously. We have carried this sequencing as part of our African Transcriptome Project. The aim of the project was to generate high coverage RNAseq data (Illumina HiSeq) from 6 different populations across Africa; the first large-scale resource to examine eQTLs within Africa. The necessary complement to such resource is whole genome sequence data from the same samples.Maasai population.		FALSE	FALSE	African 1000G | HapMap	Correct but title should be African 1000G	1000G | HapMap	Corrected by reviewer
EGAS00001002624	The_genetics_of_thinness_compared_to_obesity	The variation in weight within a shared environment is largely attributable to genetic factors. Whilst many genes/loci confer susceptibility to obesity, little is known about the genetic architecture of thinness. In this study we performed a genome-wide association study of 1,622 persistently thin healthy individuals (STILTS), 1,985 severe childhood onset obesity cases (SCOOP) and 10,433 population based individuals (UKHLS) used as a common set of controls. All participants were genotyped on the Illumina Core Exome array, including 551,839 markers and imputed to the combined UK10K and 1000G (phase3) reference panel. We contrast the genetic architecture of thinness with that of severe early onset obesity and explore whether the genetic loci influencing thinness are the same as those influencing obesity pr whether there  are important genetic differences between them. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing	The variation in weight within a shared environment is largely attributable to genetic factors. Whilst many genes/loci confer susceptibility to obesity, little is known about the genetic architecture of thinness. In this study we performed a genome-wide association study of 1,622 persistently thin healthy individuals (STILTS), 1,985 severe childhood onset obesity cases (SCOOP) and 10,433 population based individuals (UKHLS) used as a common set of controls. All participants were genotyped on the Illumina Core Exome array, including 551,839 markers and imputed to the combined UK10K and 1000G (phase3) reference panel. The UKHLS data is available for download from the EGA with accession code EGAS00001001232.		TRUE	FALSE	1000G | SCOOP | UKHLS	Correct but includes a new cohort - STILTS	1000G | SCOOP | UKHLS | Study Into Lean and Thin Subjects (STILTS)	Confirmed correct + cohort(s) added by reviewer
EGAS00001002873	Clonal_haematopoiesis_in_patients_with_AAA	Recent advances in genomics have demonstrated that clonal haemopoiesis driven by leukaemia associated somatic mutations is a relatively common phenomenon that increases in frequency with advancing age. Whilst individuals with clonal haemopoiesis have an increased risk of developing haematological malignancies, they also have an increased mortality from other causes. Additionally, certain mutations are almost exclusively seen in individuals aged 70 years or older, whilst others are seen in individuals with non-haematological cancers including breast and ovarian. Recently, clonal haemopoiesis was found to be associated with a significantly increased risk of atherosclerotic cardiovascular disease. This association is thought to be causative with clonally-derived macrophages showing elevated expression of several chemokine and cytokine genes that contribute to atherosclerosis.  Another vascular pathology, abdominal aortic aneurysm (AAA), increases with age and shares risk factors with atherosclerosis (including smoking, male sex, high cholesterol). However, the impact of these risk factors and the overlap between AAA and atherosclerosis is poorly understood. To investigate a possible link between clonal haemopoiesis and AAA, we will study DNA samples from 300 patients with AAA and up to 200 controls for evidence of clonal haemopoiesis. This will be done using target DNA enrichment with biotinylated RNA baits followed by high throughput sequencing.	Recent advances in genomics have demonstrated that clonal haemopoiesis driven by leukaemia associated somatic mutations is a relatively common phenomenon that increases in frequency with advancing age. Whilst individuals with clonal haemopoiesis have an increased risk of developing haematological malignancies, they also have an increased mortality from other causes. Additionally, certain mutations are almost exclusively seen in individuals aged 70 years or older, whilst others are seen in individuals with non-haematological cancers including breast and ovarian. Recently, clonal haemopoiesis was found to be associated with a significantly increased risk of atherosclerotic cardiovascular disease. This association is thought to be causative with clonally-derived macrophages showing elevated expression of several chemokine and cytokine genes that contribute to atherosclerosis.  Another vascular pathology, abdominal aortic aneurysm (AAA), increases with age and shares risk factors with atherosclerosis (including smoking, male sex, high cholesterol). However, the impact of these risk factors and the overlap between AAA and atherosclerosis is poorly understood. To investigate a possible link between clonal haemopoiesis and AAA, we will study DNA samples from 300 patients with AAA and up to 200 controls for evidence of clonal haemopoiesis. This will be done using target DNA enrichment with biotinylated RNA baits followed by high throughput sequencing.		TRUE	FALSE		REVIEWED		Confirmed correct (human-reviewed)
EGAS00001003424	Genome Wide Association Study:GR@ACE Stage I	The Genome Research program at Fundacio ACE (GR@ACE, Barcelona, Spain), represents a new effort to study Alzheimer's Disease susceptibility. The GR@ACE study comprises 7,409 unrelated individuals. 4,120 AD cases were diagnosed at Fundació ACE Memory Clinic (Barcelona, Spain). 3,289 Controls were obtained from three collections (Fundació ACE, Barcelona; DNA National Biobank, Salamanca and HU Valme, Seville). Genotyping was carried out using the 815K Axiom Spain Biobank array (Affymetrix.) in the Spanish national center for genotyping (CEGEN, Santiago de Compostela, Spain). After genotyping, an extensive quality control was conducted, including re-sampling, gender match, stratification, relatedness, heterozygosity, differential missingness and HWD analyses.	The Genome Research program at Fundacio ACE (GR@ACE, Barcelona, Spain), represents a new effort to study Alzheimer's Disease susceptibility. The GR@ACE study comprises 7,409 unrelated individuals. 4,120 AD cases were diagnosed at Fundació ACE Memory Clinic (Barcelona, Spain). 3,289 Controls were obtained from three collections (Fundació ACE, Barcelona; DNA National Biobank, Salamanca and HU Valme, Seville). Genotyping was carried out using the 815K Axiom Spain Biobank array (Affymetrix.) in the Spanish national center for genotyping (CEGEN, Santiago de Compostela, Spain). After genotyping, an extensive quality control was conducted, including re-sampling, gender match, stratification, relatedness, heterozygosity, differential missingness and HWD analyses.		TRUE	FALSE	ACE | GR@ACE	Partially Correct - but just GR@ce Study	GR@ACE	Corrected by reviewer
EGAS50000001272	Non-small cell lung cancer molecular subtypes and vulnerability to immunotherapy treatment combinations	The phase 3 IMpower150 trial in treatment-naïve patients with metastatic non-small-cell lung cancer (NSCLC) demonstrated significantly longer progression-free (PFS) and overall survival (OS) with first-line atezolizumab (anti-PD-L1)-bevacizumab (anti-VEGF)-carboplatin-paclitaxel (ABCP) than with bevacizumab-carboplatin-paclitaxel (BCP). We characterised four molecular NSCLC subtypes identified by unsupervised clustering of transcriptomes of 564 pre-treatment primary tumour samples from IMpower150 using non-negative matrix factorization (NMF1-4). Each subtype had distinct tumour PD-L1 expression levels, epithelial characteristics, immune composition, and treatment outcomes. Both NMF2 (enriched in tumour proliferation signal, macrophages, and monocytes) and NMF4 (enriched in B-cells and T cells) had elevated tumour PD-L1 expression. Of these two, only NMF4 demonstrated PFS and OS benefits with ABCP versus either BCP or atezolizumab-carboplatin-paclitaxel (ACP). Patients with NMF1 (enriched in basal and squamous-like cells) had improved outcomes on ABCP compared with ACP or BCP; those with NMF3 (enriched in adenocarcinoma signatures) showed similar outcomes among treatments. These insights could help inform individualised first-line treatment for metastatic NSCLC.		[]	TRUE	FALSE	ACP	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001001843	The genome assembly project of Durio zibethinus	Durian (Durio zibethinus) is a South East Asian tropical plant species, well-known for its hefty spine-covered fruit and notorious odor, sometimes described as sulfury or onion-like. Here, we present a draft genome assembly of D. zibethinus—the third plant genus in the Malvales order and the first in its Helicteroideae subfamily. Comparative phylogenomics suggests a recent paleopolyploidy event in the durian lineage, distinct from whole-genome duplications described for cotton, another Malvales member. Transcriptomic comparisons between different durian plant organs, and across fruits from different evolutionary lineages, revealed upregulation of sulfur, ethylene, and lipid-related pathways in durian fruits, consistent with the latter’s striking phenotypic traits. Similar comparisons between distinct durian fruit cultivars (Musang King, Monthong, Puyat) also yielded molecular rationales for within-cultivar differences in smell and taste. We identified, within the durian lineage, specific gene family expansions in sulfur processing and in particular the MGL gene, which catalyzes production of volatile sulfur compounds (VSCs). Both MGL and the ethylene-related gene ACS are upregulated in durian fruits, suggesting that VSC production and ripening may be coupled by the Yang cycle, a biosynthetic pathway linking ethylene biosynthesis to methionine regeneration. The durian draft genome provides a valuable resource for tropical fruit biology and agronomy.	Durian (Durio zibethinus) is a South East Asian tropical plant species, well-known for its hefty spine-covered fruit and notorious odor, sometimes described as sulfury or onion-like. Here, we present a draft genome assembly of D. zibethinus—the third plant genus in the Malvales order and the first in its Helicteroideae subfamily. Comparative phylogenomics suggests a recent paleopolyploidy event in the durian lineage, distinct from whole-genome duplications described for cotton, another Malvales member. Transcriptomic comparisons between different durian plant organs, and across fruits from different evolutionary lineages, revealed upregulation of sulfur, ethylene, and lipid-related pathways in durian fruits, consistent with the latter’s striking phenotypic traits. Similar comparisons between distinct durian fruit cultivars (Musang King, Monthong, Puyat) also yielded molecular rationales for within-cultivar differences in smell and taste. We identified, within the durian lineage, specific gene family expansions in sulfur processing and in particular the MGL gene, which catalyzes production of volatile sulfur compounds (VSCs). Both MGL and the ethylene-related gene ACS are upregulated in durian fruits, suggesting that VSC production and ripening may be coupled by the Yang cycle, a biosynthetic pathway linking ethylene biosynthesis to methionine regeneration. The durian draft genome provides a valuable resource for tropical fruit biology and agronomy.		FALSE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001005342	Metabolomic and microbiome profiling reveals personalized risk factors for coronary artery disease	A comprehensive clinical and multi-omic profiling for 199 patients with acute coronary syndrome (ACS), an acute subcategory of CAD, that we recruited in two major Israeli hospitals. We demonstrate that ACS has distinct serum metabolome and gut microbial signatures, as compared to a control cohort. Metabolic aberrations linked with microbiome and diet show a gradual trend with significant metabolite deviations in control participants with metabolic impairment suggesting their involvement in earlier dysmetabolic phases preceding clinically overt CAD.	A comprehensive clinical and multi-omic profiling for 199 patients with acute coronary syndrome (ACS), an acute subcategory of CAD, that we recruited in two major Israeli hospitals. We demonstrate that ACS has distinct serum metabolome and gut microbial signatures, as compared to a control cohort. Metabolic aberrations linked with microbiome and diet show a gradual trend with significant metabolite deviations in control participants with metabolic impairment suggesting their involvement in earlier dysmetabolic phases preceding clinically overt CAD.		TRUE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001007263	Cardiovascular disease biomarkers derived from circulating cell-free DNA methylation	Acute coronary syndrome (ACS) remains a major cause of worldwide mortality. The syndrome occurs when blood flow to the heart muscle is decreased or blocked, causing muscle tissues to die or malfunction. There are three main types of ACS: Non-ST-elevation myocardial infarction, ST-elevation myocardial infarction, and unstable angina. The treatment depends on the type of ACS, and this is decided by a combination of clinical findings, such as electrocardiogram and plasma biomarkers. Circulating cell-free DNA (ccfDNA) is proposed as an additional marker for ACS since the damaged tissues can release DNA to the bloodstream. We used ccfDNA methylation profiles for differentiating between the ACS types and provided computational tools to repeat similar analysis for other diseases. We leveraged cell type specificity of DNA methylation to deconvolute the ccfDNA cell types of origin and to find methylation-based biomarkers that stratify patients. We identified hundreds of methylation markers associated with ACS types and validated them in an independent cohort. Many such markers were associated with genes involved in cardiovascular conditions and inflammation. ccfDNA methylation showed promise as a non-invasive diagnostic for acute coronary events. These methods are not limited to acute events, and may be used for chronic cardiovascular diseases as well.	Acute coronary syndrome (ACS) remains a major cause of worldwide mortality. The syndrome occurs when blood flow to the heart muscle is decreased or blocked, causing muscle tissues to die or malfunction. There are three main types of ACS: Non-ST-elevation myocardial infarction, ST-elevation myocardial infarction, and unstable angina. The treatment depends on the type of ACS, and this is decided by a combination of clinical findings, such as electrocardiogram and plasma biomarkers. Circulating cell-free DNA (ccfDNA) is proposed as an additional marker for ACS since the damaged tissues can release DNA to the bloodstream. We used ccfDNA methylation profiles for differentiating between the ACS types and provided computational tools to repeat similar analysis for other diseases. We leveraged cell type specificity of DNA methylation to deconvolute the ccfDNA cell types of origin and to find methylation-based biomarkers that stratify patients. We identified hundreds of methylation markers associated with ACS types and validated them in an independent cohort. Many such markers were associated with genes involved in cardiovascular conditions and inflammation. ccfDNA methylation showed promise as a non-invasive diagnostic for acute coronary events. These methods are not limited to acute events, and may be used for chronic cardiovascular diseases as well.		TRUE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001008346	European BestAgeing Study on microRNA candidates for cardiovascular disease	Background: Circulating miRNAs have emerged as promising biomarker candidates due to their stability and their role in regulating key pathological pathways in cardiovascular disease (CVD). Yet, large-scale, multicenter studies examining their diagnostic and prognostic potential are scarce. This study evaluates the potential of miRNA expression profiles to inform disease classification and risk stratification across major CVD phenotypes, including acute coronary syndrome (ACS), chronic coronary artery disease (CAD), dilated cardiomyopathy (DCM), and ischemic cardiomyopathy (ICM), in a large, multicenter European cohort. Methods: We assessed genome-wide miRNA expression profiles in a total of 1,209 cardiovascular patients and 848 controls in a uniform, standardized fashion, which renders this study one of the largest prospective miRNA studies. To focus on only the most biologically plausible miRNAs for clinical translation, we mined all original studies of miRNA candidates in CVD and performed differential miRNA expression and enrichment analysis. We then trained disease-specific binary classification models to evaluate the diagnostic potential of miRNA signatures. Finally, we evaluated prognosis and disease severity based on distinct miRNA levels.  Results: 634 original abstracts were identified, detailing 166 ACS, 181 CAD, 56 DCM, and 182 ICM miRNAs. Without further optimization, the signatures of a priori miRNAs already yielded very good diagnostic performance with ROC AUC of 0.83 – 0.95. There was an improvement when considering additional miRNAs in a discovery setting. Interestingly, in ACS, CAD and DCM we observed a significantly worse prognosis in probands with higher scores in the miRNA signatures, indicating additional prognostic information. Conclusions: The European BestAgeing miRNA study reveals emerging associations of several miRNA signatures with cardiovascular disease discrimination and prognostication, providing a foundation for future external validation and potential clinical translation of this class of markers.	Background: Circulating miRNAs have emerged as promising biomarker candidates due to their stability and their role in regulating key pathological pathways in cardiovascular disease (CVD). Yet, large-scale, multicenter studies examining their diagnostic and prognostic potential are scarce. This study evaluates the potential of miRNA expression profiles to inform disease classification and risk stratification across major CVD phenotypes, including acute coronary syndrome (ACS), chronic coronary artery disease (CAD), dilated cardiomyopathy (DCM), and ischemic cardiomyopathy (ICM), in a large, multicenter European cohort. Methods: We assessed genome-wide miRNA expression profiles in a total of 1,209 cardiovascular patients and 848 controls in a uniform, standardized fashion, which renders this study one of the largest prospective miRNA studies. To focus on only the most biologically plausible miRNAs for clinical translation, we mined all original studies of miRNA candidates in CVD and performed differential miRNA expression and enrichment analysis. We then trained disease-specific binary classification models to evaluate the diagnostic potential of miRNA signatures. Finally, we evaluated prognosis and disease severity based on distinct miRNA levels.  Results: 634 original abstracts were identified, detailing 166 ACS, 181 CAD, 56 DCM, and 182 ICM miRNAs. Without further optimization, the signatures of a priori miRNAs already yielded very good diagnostic performance with ROC AUC of 0.83 – 0.95. There was an improvement when considering additional miRNAs in a discovery setting. Interestingly, in ACS, CAD and DCM we observed a significantly worse prognosis in probands with higher scores in the miRNA signatures, indicating additional prognostic information. Conclusions: The European BestAgeing miRNA study reveals emerging associations of several miRNA signatures with cardiovascular disease discrimination and prognostication, providing a foundation for future external validation and potential clinical translation of this class of markers.		TRUE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001008349	European BestAgeing Study on microRNA candidates for cardiovascular disease	Background: Circulating miRNAs have emerged as promising biomarker candidates due to their stability and their role in regulating key pathological pathways in cardiovascular disease (CVD). Yet, large-scale, multicenter studies examining their diagnostic and prognostic potential are scarce. This study evaluates the potential of miRNA expression profiles to inform disease classification and risk stratification across major CVD phenotypes, including acute coronary syndrome (ACS), chronic coronary artery disease (CAD), dilated cardiomyopathy (DCM), and ischemic cardiomyopathy (ICM), in a large, multicenter European cohort. Methods: We assessed genome-wide miRNA expression profiles in a total of 1,209 cardiovascular patients and 848 controls in a uniform, standardized fashion, which renders this study one of the largest prospective miRNA studies. To focus on only the most biologically plausible miRNAs for clinical translation, we mined all original studies of miRNA candidates in CVD and performed differential miRNA expression and enrichment analysis. We then trained disease-specific binary classification models to evaluate the diagnostic potential of miRNA signatures. Finally, we evaluated prognosis and disease severity based on distinct miRNA levels.  Results: 634 original abstracts were identified, detailing 166 ACS, 181 CAD, 56 DCM, and 182 ICM miRNAs. Without further optimization, the signatures of a priori miRNAs already yielded very good diagnostic performance with ROC AUC of 0.83 – 0.95. There was an improvement when considering additional miRNAs in a discovery setting. Interestingly, in ACS, CAD and DCM we observed a significantly worse prognosis in probands with higher scores in the miRNA signatures, indicating additional prognostic information. Conclusions: The European BestAgeing miRNA study reveals emerging associations of several miRNA signatures with cardiovascular disease discrimination and prognostication, providing a foundation for future external validation and potential clinical translation of this class of markers.	Background: Circulating miRNAs have emerged as promising biomarker candidates due to their stability and their role in regulating key pathological pathways in cardiovascular disease (CVD). Yet, large-scale, multicenter studies examining their diagnostic and prognostic potential are scarce. This study evaluates the potential of miRNA expression profiles to inform disease classification and risk stratification across major CVD phenotypes, including acute coronary syndrome (ACS), chronic coronary artery disease (CAD), dilated cardiomyopathy (DCM), and ischemic cardiomyopathy (ICM), in a large, multicenter European cohort. Methods: We assessed genome-wide miRNA expression profiles in a total of 1,209 cardiovascular patients and 848 controls in a uniform, standardized fashion, which renders this study one of the largest prospective miRNA studies. To focus on only the most biologically plausible miRNAs for clinical translation, we mined all original studies of miRNA candidates in CVD and performed differential miRNA expression and enrichment analysis. We then trained disease-specific binary classification models to evaluate the diagnostic potential of miRNA signatures. Finally, we evaluated prognosis and disease severity based on distinct miRNA levels.  Results: 634 original abstracts were identified, detailing 166 ACS, 181 CAD, 56 DCM, and 182 ICM miRNAs. Without further optimization, the signatures of a priori miRNAs already yielded very good diagnostic performance with ROC AUC of 0.83 – 0.95. There was an improvement when considering additional miRNAs in a discovery setting. Interestingly, in ACS, CAD and DCM we observed a significantly worse prognosis in probands with higher scores in the miRNA signatures, indicating additional prognostic information. Conclusions: The European BestAgeing miRNA study reveals emerging associations of several miRNA signatures with cardiovascular disease discrimination and prognostication, providing a foundation for future external validation and potential clinical translation of this class of markers.		FALSE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001004155	Molecular profiling of human non-small cell lung cancer by single-cell RNA-seq	Lung cancer is a leading cause of cancer-related death worldwide is the one of the malignant tumors with the highest morbidity and mortality worldwide. To comprehensively analyze the molecular heterogeneity of non-small cell lung cancer (NSCLC), we performed single-cell RNA-seq analyses for 7,364 individual cells of tumor tissues and matched  normal tissues from 19 primary lung cancer patients as well as 1 pulmonary chondroid hamartoma patient. In six of these patients, we identified a significant proportion of cancer cells simultaneously express classical marker genes for two or even three  histologic subtypes different types of of lung cancerNSCLC  - adenocarcinoma (ADC), squamous cell carcinoma (SCC), and large cell neuroendocrine carcinoma (LCNEC), which was verified by co-immunostaining and RNA FISH. This indicates that these mixed-lineage tumor cells are highly plastic with mixed features of different types of NSCLC. Both of the CNV patterns and mitochondrial mutations  clearly showed that the mixed-lineage and single-lineage tumor cells in the same patient had common tumor ancestors rather than independent different origins. Based on the pseudotime trajectory of gene expression dynamics from normal epithelial cells to cancer cells, we identified a set ofa cancer specific gene set has been identifiedcancer specifically expressed genes, including AKR1B1 and RAMP1. Knockdown experiments verified that AKR1B1 and RAMP1 were necessary for tumor growth, suggesting that they can serve as candidate targets for tumor therapy. In summary, our work provides novel insights into the heterogeneity of NSCLC and offers clues for their subtype classification, diagnosis and treatment.	Lung cancer is a leading cause of cancer-related death worldwide is the one of the malignant tumors with the highest morbidity and mortality worldwide. To comprehensively analyze the molecular heterogeneity of non-small cell lung cancer (NSCLC), we performed single-cell RNA-seq analyses for 7,364 individual cells of tumor tissues and matched  normal tissues from 19 primary lung cancer patients as well as 1 pulmonary chondroid hamartoma patient. In six of these patients, we identified a significant proportion of cancer cells simultaneously express classical marker genes for two or even three  histologic subtypes different types of of lung cancerNSCLC  - adenocarcinoma (ADC), squamous cell carcinoma (SCC), and large cell neuroendocrine carcinoma (LCNEC), which was verified by co-immunostaining and RNA FISH. This indicates that these mixed-lineage tumor cells are highly plastic with mixed features of different types of NSCLC. Both of the CNV patterns and mitochondrial mutations  clearly showed that the mixed-lineage and single-lineage tumor cells in the same patient had common tumor ancestors rather than independent different origins. Based on the pseudotime trajectory of gene expression dynamics from normal epithelial cells to cancer cells, we identified a set ofa cancer specific gene set has been identifiedcancer specifically expressed genes, including AKR1B1 and RAMP1. Knockdown experiments verified that AKR1B1 and RAMP1 were necessary for tumor growth, suggesting that they can serve as candidate targets for tumor therapy. In summary, our work provides novel insights into the heterogeneity of NSCLC and offers clues for their subtype classification, diagnosis and treatment.		FALSE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001004562	RNASeq of PDX and CDX tumours treated with ADC	Enapotamab vedotin (EnaV), an antibody-drug conjugate (ADC) targeting AXL, effectively targets tumors that display insensitivity to immunotherapy and/or tumor-specific T cells in several melanoma and lung cancer models. Mechanistically, EnaV treatment induced an inflammatory response and immunogenic cell death in tumor cells, and promoted induction of a memory-like phenotype in cytotoxic T cells. Combining EnaV with tumor-specific T cells proved superior to any treatment alone in models of melanoma and lung cancer, and increased ICB benefit in models otherwise insensitive to anti-PD-1 treatment.	Enapotamab vedotin (EnaV), an antibody-drug conjugate (ADC) targeting AXL, effectively targets tumors that display insensitivity to immunotherapy and/or tumor-specific T cells in several melanoma and lung cancer models. Mechanistically, EnaV treatment induced an inflammatory response and immunogenic cell death in tumor cells, and promoted induction of a memory-like phenotype in cytotoxic T cells. Combining EnaV with tumor-specific T cells proved superior to any treatment alone in models of melanoma and lung cancer, and increased ICB benefit in models otherwise insensitive to anti-PD-1 treatment.		TRUE	FALSE	ACS	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001007070	RNA-seq of PDAC patient-derived xenograft tumors		We developed a novel antibody-drug conjugate (ADC), C6-EBET. To analyze mechanism of action of C6-EBET, we obtained bulk and single cell RNA-seq data of two patient-derived xenograft (PDX) models derived from pancreatic ductal adenocarcinoma (PDAC) patients. The two PDX models were treated with gemcitabine, C6-EBET or a non-targeting control ADC (HEL3-EBET), and then gene expression changes were analyzed with bulk RNA-seq. In addition, we characterized stromal cells of the two PDX models with scRNA-seq.		TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
EGAS50000000598	RNA-seq of CRC patient-derived xenograft tumors	We developed a novel antibody-drug conjugate (ADC), 84-EBET. To analyze mechanism of action of 84-EBET, we obtained bulk RNA-seq data of the patient-derived xenograft (PDX) model derived from colorectal cancer (CRC) patient. The PDX model was treated with 5-fluorouracil + oxaliplatin, 84-EBET or vehicle, and then gene expression changes were analyzed with bulk RNA-seq.		[]	TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
EGAS50000001334	EXPRESSION OF ANTIBODY-DRUG CONJUGATE TARGETS IN BREAST CANCER METASTASES AND NORMAL TISSUE	Using bulk mRNA sequencing, we investigated the expression of 72 ADC targets, which are clinically approved or under investigation, in 909 samples (64 primary untreated, 749 metastatic, 96 normal) from 30 female patients from our post-mortem tissue donation program UPTIDER (NCT04531696). The study explores changes in target expression across multiple samples to identify novel targets of clinical interest and validation		[]	TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001004610	RRBS MDACC Lung PreCancer	To study the evolution of DNA methylation at genome level and methylation intra-tumor heterogeneity (ITH) during early lung carcinogenesis, we performed multiregional reduced representation bisulfite sequencing (RRBS) of 62 resected lung nodules from 39 patients including atypical adenomatous hyperplasia (AAH, n=14), adenocarcinoma in situ (AIS, n=15), minimally invasive adenocarcinoma (MIA, n=22), and invasive adenocarcinoma (ADC, n=11).	To study the evolution of DNA methylation at genome level and methylation intra-tumor heterogeneity (ITH) during early lung carcinogenesis, we performed multiregional reduced representation bisulfite sequencing (RRBS) of 62 resected lung nodules from 39 patients including atypical adenomatous hyperplasia (AAH, n=14), adenocarcinoma in situ (AIS, n=15), minimally invasive adenocarcinoma (MIA, n=22), and invasive adenocarcinoma (ADC, n=11).		TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
EGAS50000000270	Whole exome sequencing of preneoplasia lung adenocarcinoma	Multi-region exome sequencing of 271 pulmonary nodules and matched adjacent lung tissue including lung preneoplasia atypical adenomatous hyperplasia (AAH, N=49), adenocarcinoma in situ (AIS, N=42), minimally invasive adenocarcinoma (MIA, N=37), invasive lung adenocarcinoma (ADC, N=57) and adjacent lung tissues (Normal, N=88).		[]	TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
EGAS50000000271	RNAseq of preneoplasia lung adenocarcinoma	RNA sequencing of 168 pulmonary samples including lung preneoplasia atypical adenomatous hyperplasia (AAH, N=38), adenocarcinoma in situ (AIS, N=22), minimally invasive adenocarcinoma (MIA, N=19) and invasive lung adenocarcinoma (ADC, N=38) and adjacent lung tissues (Normal, N=62).		[]	TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
EGAS50000000272	Whole genome sequencing of preneoplasia lung adenocarcinoma	Whole genome sequencing of 42 pulmonary samples including lung preneoplasia atypical adenomatous hyperplasia (AAH, N=5), adenocarcinoma in situ (AIS, N=7), minimally invasive adenocarcinoma (MIA, N=6) and invasive lung adenocarcinoma (ADC, N=8) and adjacent lung tissues (Normal, N=16).		[]	TRUE	FALSE	ADC	Incorrect		Confirmed no valid match (human-reviewed)
