acronym	name	origin	decision	ID	label	note
EuroEPINOMICS	EuroEPINOMICS	ready-to-add list	minted	COHO:0000253	EuroEPINOMICS	EGA review 2026-09-22: exome sequencing of paroxysmal neurological disorder cases collected by the consortium's members
GENCODE Consortium	GENCODE Consortium	ready-to-add list	not added			a genome annotation consortium; the study sequenced HapMap and clinical samples with its exome design
LGDB	Genome Database of Latvian Population	ready-to-add list	minted	COHO:0000256	Genome Database of Latvian Population	EGA review 2026-09-22 (corrected by the reviewer)
GDAP	Genome Diversity in Africa Project	ready-to-add list	minted	COHO:0000257	Genome Diversity in Africa Project	EGA review 2026-09-22
MalariaGEN	Genomic Epidemiology of Malaria Project	ready-to-add list	minted	COHO:0000294	Malaria Genomic Epidemiology Network	EGA review 2026-09-22 (corrected by the reviewer): one of the network's low-coverage sequencing studies of African populations (EGAS00001000629 to EGAS00001000640)
German Cancer Consortium	German Cancer Consortium	ready-to-add list	minted	COHO:0000260	German Cancer Consortium	EGA review 2026-09-22 (corrected by the reviewer): the consortium's MASTER programme study
German MI cohort	German Myocardial Infarction cohort	ready-to-add list	minted	COHO:0000261	German MI cohort	EGA review 2026-09-22: the Cardiogenics re-sequencing study, which used the cohort's early-onset patients
HAPIEE	Health, Alcohol and Psychosocial factors In Eastern Europe study	ready-to-add list	minted	COHO:0000265	Health, Alcohol and Psychosocial factors In Eastern Europe study	EGA review 2026-09-22 (corrected by the reviewer)
HELIUS cohort study	Healthy Life in an Urban Setting Cohort	ready-to-add list	minted	COHO:0000266	Healthy Life in an Urban Setting	EGA review 2026-09-22 (corrected by the reviewer)
HGDP-CEPH	Human Genetic Diversity Cell Line Panel	ready-to-add list	minted	COHO:0000284	International HapMap Project	EGA review 2026-09-22: whole-genome sequencing of the HapMap Maasai collection; other studies use HapMap only as a reference panel
HT	Hypertension cohort (HT)	ready-to-add list	minted	COHO:0000359	WTCCC case-control study for Hypertension	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
ICGA	International Cancer Genomes Atlas	ready-to-add list	minted	COHO:0000282	International Cancer Genome Consortium	EGA review 2026-09-22: one of the consortium's project studies; the acronym moves here from COHO:0000101, the consortium's chronic lymphocytic leukaemia project
ICGC CAGEKID	IGC Cancer Genomics of the Kidney	ready-to-add list	minted	COHO:0000231	Cancer Genomics of the Kidney	EGA review 2026-09-22
ICGC India Project	ICGC India Project	ready-to-add list	minted	COHO:0000269	ICGC India Project	EGA review 2026-09-22: the project's first-year study; EGAS00001001028 is its second year
ICGC MMML-Seq Consortium	ICGC Malignant Lymphoma Master Study (MMML) Consortium	ready-to-add list	minted	COHO:0000271	ICGC MMML-Seq	EGA review 2026-09-22; later studies of the project are EGAS00001001394 and EGAS00001002198
ICGC CLL	ICGC The Chronic Lymphocytic Leukemia (CLL) Genome Project	ready-to-add list	existing	COHO:0000101	International Cancer Genome Consortium-Chronic Lymphocytic Leukemia	synonyms added; the bare acronym ICGC moves to the new consortium term
ICGC GCS	ICGC Gynecological Carcinosarcoma	ready-to-add list	minted	COHO:0000268	ICGC Gynecological Carcinosarcoma project	EGA review 2026-09-22
ICGC India	ICGC India	ready-to-add list	minted	COHO:0000269	ICGC India Project	EGA review 2026-09-22: the project's first-year study; EGAS00001001028 is its second year
ICGC Oesophageal Adenocarcinoma project	ICGC Oesophageal Adenocarcinoma project	ready-to-add list	minted	COHO:0000272	ICGC Oesophageal Adenocarcinoma project	EGA review 2026-09-22: the project's tumour samples; EGAS00001000724, EGAS00001000726 and EGAS00001000727 hold its other sample sets
ICGC PedBrain	ICGC PedBrain Tumour Project	ready-to-add list	minted	COHO:0000274	ICGC PedBrain Tumor Project	EGA review 2026-09-22; further studies of the project are EGAS00001000561, EGAS00001000565 and EGAS00001001139
ICGC Prostate Group	ICGC Prostate Group	ready-to-add list	minted	COHO:0000275	ICGC Prostate Cancer UK project	EGA review 2026-09-22
ICGC LICA-CN	ICGC Liver Cancer in China	ready-to-add list	minted	COHO:0000270	ICGC Liver Cancer China project	EGA review 2026-09-22 (verified as ICGC)
ICGC GACA-CN project.	ICGC Gastric Cancer from China Project	ready-to-add list	minted	COHO:0000267	ICGC Gastric Cancer China project	EGA review 2026-09-22 (verified as ICGC)
ICGC Pancreatic Cancer Project	ICGC Pancreatic Cancer Project	ready-to-add list	minted	COHO:0000273	ICGC Pancreatic Cancer project	EGA review 2026-09-22 (verified as ICGC)
ICR MOPOPGEN UK exome control series	ICR MOPOPGEN UK exome control series	ready-to-add list	minted	COHO:0000276	ICR MOPOPGEN UK exome control series	EGA review 2026-09-22
IMPACT 2	Initiative for Molecular Profiling and Advanced Cancer Therapy 2 (IMPACT 2) Study	ready-to-add list	minted	COHO:0000281	Initiative for Molecular Profiling and Advanced Cancer Therapy 2	EGA review 2026-09-22
InterPregGen	InterPregGen	ready-to-add list	minted	COHO:0000285	InterPregGen	EGA review 2026-09-22: the consortium's maternal GWAS meta-analysis; EGAS00001000417, EGAS00001000416 and EGAS00001001048 are its other components
Liverpool Preterm Birth Biomarker Study	Liverpool Preterm Birth Biomarker Study	ready-to-add list	minted	COHO:0000289	Liverpool Preterm Birth Biomarker Study	EGA review 2026-09-22 (corrected by the reviewer)
MESOMICS Project	multi-omic characterization of Malignant Pleural Mesothelioma (MPM)	ready-to-add list	minted	COHO:0000299	MESOMICS	EGA review 2026-09-22 (corrected by the reviewer)
MRCE family panel	MRCE family panel	ready-to-add list	minted	COHO:0000305	MRCE family panel	EGA review 2026-09-22 (corrected by the reviewer)
Maastricht IBS studies	Maastricht IBS studies	ready-to-add list	minted	COHO:0000293	Maastricht IBS studies	EGA review 2026-09-22 (corrected by the reviewer)
MyBrCa	Malaysian hospital-based cohort (MyBrCa)	ready-to-add list	minted	COHO:0000295	Malaysian Breast Cancer cohort	EGA review 2026-09-22 (added by the reviewer)
MeDALL	Mechanisms of the Development of ALLergy	ready-to-add list	minted	COHO:0000297	Mechanisms of the Development of Allergy	EGA review 2026-09-22 (added by the reviewer): the project's epigenetics study combining four birth cohorts
Methylation of Ewing sarcoma tumors Study	Methylation of Ewing sarcoma tumors Study	ready-to-add list	not added			a single ICGC-related sequencing study of Ewing sarcoma tumours without a cohort name
MolPAGE	Molecular Phenotyping to Accelerate Genomic Epidemiology	ready-to-add list	minted	COHO:0000303	Molecular Phenotyping to Accelerate Genomic Epidemiology	EGA review 2026-09-22 (corrected by the reviewer)
MuTHER	Multiple Tissue Human Expression Resource Cohort	ready-to-add list	minted	COHO:0000307	Multiple Tissue Human Expression Resource	EGA review 2026-09-22 (added by the reviewer); EGAS00001000097 holds chromatin profiling of the same resource
NEW (65 Asian Prostate Cancer Patients)	NEW (65 Asian Prostate Cancer Patients)	ready-to-add list	not added			an unnamed sample of 65 patients; the reviewer marked it NEW without a name
NIHR BioResource Common Disease Patients 2016	NIHR BioResource Common Disease Patients 2016	ready-to-add list	minted	COHO:0000312	NIHR BioResource	EGA review 2026-09-22 (corrected by the reviewer): the 2016 common disease patients dataset of 13,489 blood donors
Nala GSI GSAv3 PGx Study	Nala GSI GSAv3 PGx Study	ready-to-add list	minted	COHO:0000308	Nala GSI GSAv3 PGx Study	EGA review 2026-09-22 (corrected by the reviewer)
NeoALTTO	NeoALTTO	ready-to-add list	minted	COHO:0000311	NeoALTTO	EGA review 2026-09-22 (added by the reviewer): immune repertoire study of the NeoALTTO and CALGB 40601 trials
ORGANOIDS	ORGANOIDS	ready-to-add list	not added			a reviewer tag for organoid biobank studies, not a cohort
PCAWG	Pancancer Analysis of Whole Genomes	ready-to-add list	minted	COHO:0000313	Pan-Cancer Analysis of Whole Genomes	EGA review 2026-09-22 (corrected by the reviewer); EGAS00001001707 and EGAS00001001722 are further records of the same project
Pca Cohort	Prostate Cancer Cohort	ready-to-add list	not added			the same unnamed prostate cancer sample
InterPregGen	Preeclampsia InterPregGen Consortium	ready-to-add list	minted	COHO:0000285	InterPregGen	EGA review 2026-09-22: the consortium's maternal GWAS meta-analysis; EGAS00001000417, EGAS00001000416 and EGAS00001001048 are its other components
Princess Margaret Cancer Centre human acute myeloid leukemia patient cohort	Princess Margaret Cancer Centre human acute myeloid leukemia patient cohort	ready-to-add list	minted	COHO:0000325	Princess Margaret Cancer Centre acute myeloid leukemia patient cohort	EGA review 2026-09-22 (corrected by the reviewer)
RODAM	RODAM study	ready-to-add list	minted	COHO:0000327	Research on Obesity and Diabetes among African Migrants	EGA review 2026-09-22 (corrected by the reviewer)
SCOT trial	how long to give chemotherapy after surgery for bowel cancer (SCOT) trial	ready-to-add list	existing	COHO:0000154	Short Course Oncology Treatment trial	SCOT is already a synonym
SG10K_Pilot	SG10K Pilot	ready-to-add list	minted	COHO:0000332	SG10K Pilot	EGA review 2026-09-22 (corrected by the reviewer)
STREP GENE	Genetics and Severe Streptococcal Infections	ready-to-add list	minted	COHO:0000334	STREP GENE	EGA review 2026-09-22 (corrected by the reviewer)
STILTS	Study Into Lean and Thin Subjects	ready-to-add list	minted	COHO:0000336	Study Into Lean and Thin Subjects	EGA review 2026-09-22 (added by the reviewer); EGAS00001000923 is the study's earlier genotyping proposal
SweGen	SweGen	ready-to-add list	minted	COHO:0000337	SweGen	EGA review 2026-09-22 (added by the reviewer)
T2D-GENES	Type 2 Diabetes Genetic Exploration by Next-generation sequencing in multi-Ethnic Samples	ready-to-add list	minted	COHO:0000344	Type 2 Diabetes Genetic Exploration by Next-generation sequencing in multi-Ethnic Samples	EGA review 2026-09-22 (corrected by the reviewer); the GoDARTS component is EGAS00001002937
Hipo_K08K	THE PHASE II GMMG-BIRMA TRIAL	ready-to-add list	minted	COHO:0000262	GMMG-BIRMA trial	EGA review 2026-09-22 (corrected by the reviewer); the reviewer's HIPO project code Hipo_K08K is not a name
The Low coverage Kuusamo whole genome sequencing study	The Low coverage Kuusamo whole genome sequencing study	ready-to-add list	minted	COHO:0000290	Low coverage Kuusamo whole genome sequencing study	EGA review 2026-09-22; the EGA study is marked deprecated but is the only record of the sample
MGRB	The Medical Genome Reference BioBank	ready-to-add list	minted	COHO:0000298	Medical Genome Reference Bank	EGA review 2026-09-22 (corrected by the reviewer)
NMDs	The Rare Neuromuscular Disorders cohort	ready-to-add list	minted	COHO:0000349	UK10K Rare Neuromuscular Disorders cohort	EGA review 2026-09-22 (added by the reviewer); EGAS00001000321 holds the cohort's whole-genome sequences
The Singapore Living Biobank	The Singapore Living Biobank	ready-to-add list	existing	COHO:0000109	Living Biobank	synonym added
TrypanoGEN project	TrypanoGEN project	ready-to-add list	minted	COHO:0000342	TrypanoGEN	EGA review 2026-09-22 (corrected by the reviewer)
T2D Cohort	Type 2 Diabetes Cohort (T2D)	ready-to-add list	minted	COHO:0000365	WTCCC case-control study for Type 2 Diabetes	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
UBKEC consortium	UK Brain Expression Consortium	ready-to-add list	existing	COHO:0000177	UK Brain Expression Consortium	a misspelling of UKBEC; its EGA study EGAS00001001478 is given as a curated example
UK BHF CAD/MI cohort	UK BHF CAD/MI cohort	ready-to-add list	minted	COHO:0000346	UK BHF CAD/MI cohort	EGA review 2026-09-22: the Cardiogenics re-sequencing study, which used the cohort's early-onset patients; the reviewer's parent UK BioBank confuses it with the UKBS controls of the same study
UK Blood Service Control Group	UK Blood Service Control Group	ready-to-add list	minted	COHO:0000347	UK Blood Service Control Group	EGA review 2026-09-22 (added by the reviewer); the group is also the shared control set of the WTCCC studies from EGAS00000000001 and of EGAS00001000050
UK10K	UK10K	ready-to-add list	minted	COHO:0000348	UK10K	EGA review 2026-09-22 (added by the reviewer): the project's ALSPAC cohort study; the project spans EGAS00001000090 to EGAS00001000321
asthma familial cohort	asthma familial cohort	ready-to-add list	existing	COHO:0000149	Saguenay-Lac-Saint-Jean asthma study	synonym added
lungNENomics	lungNENomics	ready-to-add list	minted	COHO:0000292	lungNENomics	EGA review 2026-09-22 (corrected by the reviewer)
WTCCC case-control study for BD	WTCCC case-control study for Bipolar Disorder	ready-to-add list	minted	COHO:0000356	WTCCC case-control study for Bipolar Disorder	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Coronary Artery Disease	WTCCC case-control study for Coronary Artery Disease	ready-to-add list	minted	COHO:0000358	WTCCC case-control study for Coronary Artery Disease	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for IBD	WTCCC case-control study for Inflammatory Bowel Disease	ready-to-add list	minted	COHO:0000360	WTCCC case-control study for Inflammatory Bowel Disease	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC for RA	WTCCC case-control study for Rheumatoid Arthritis	ready-to-add list	minted	COHO:0000362	WTCCC case-control study for Rheumatoid Arthritis	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Hypertension	WTCCC case-control study for Hypertension	ready-to-add list	minted	COHO:0000359	WTCCC case-control study for Hypertension	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Type 1 Diabetes	WTCCC case-control study for Type 1 Diabetes	ready-to-add list	minted	COHO:0000364	WTCCC case-control study for Type 1 Diabetes	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Rheumatoid Arthritis	WTCCC case-control study for Rheumatoid Arthritis	ready-to-add list	minted	COHO:0000362	WTCCC case-control study for Rheumatoid Arthritis	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Type 2 Diabetes	WTCCC case-control study for Type 2 Diabetes	ready-to-add list	minted	COHO:0000365	WTCCC case-control study for Type 2 Diabetes	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Ankylosing Spondylitis	WTCCC case-control study for Ankylosing Spondylitis	ready-to-add list	minted	COHO:0000354	WTCCC case-control study for Ankylosing Spondylitis	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Autoimmune Thyroid Disease	WTCCC case-control study for Autoimmune Thyroid Disease	ready-to-add list	minted	COHO:0000355	WTCCC case-control study for Autoimmune Thyroid Disease	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Multiple Sclerosis	WTCCC case-control study for Multiple Sclerosis	ready-to-add list	minted	COHO:0000361	WTCCC case-control study for Multiple Sclerosis	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Breast cancer	WTCCC case-control study for Breast cancer	ready-to-add list	minted	COHO:0000357	WTCCC case-control study for Breast cancer	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
WTCCC case-control study for Tuberculosis	WTCCC case-control study for Tuberculosis	ready-to-add list	minted	COHO:0000363	WTCCC case-control study for Tuberculosis	EGA review 2026-09-22 (verified as WTCCC)
BAMSE (Swedish abbreviation for Children, Allergy, Milieu, Stockholm, Epidemiology)	BAMSE (Swedish abbreviation for Children, Allergy, Milieu, Stockholm, Epidemiology)	ready-to-add list	existing	COHO:0000037	Children, Allergy, Milieu, Stockholm, Epidemiology	BAMSE is already a synonym
UPTIDER	breast cancer post-mortem tissue donation program	ready-to-add list	minted	COHO:0000351	UPTIDER	EGA review found no cohort in this study; the name comes from James McLaughlin's ready-to-add list of 2026-09-22 and the study text names the programme
ELGH	East Lonodon Genes and Health	ready-to-add list	minted	COHO:0000244	East London Genes and Health	EGA review 2026-09-22 (verified as Born in Bradford; the study is the ELGH genotyping project)
MI	Milieu Intérieur cohort	ready-to-add list	minted	COHO:0000301	Milieu Intérieur	EGA search 2026-09-22 for the ready-to-add list's name; the acronym MI is added as the project's short form
MyBrCa	Malaysian Breast Cancer research cohort and genomics project	ready-to-add list	minted	COHO:0000295	Malaysian Breast Cancer cohort	EGA review 2026-09-22 (added by the reviewer)
The PROMPT project	The PROMPT project	ready-to-add list	not added			not identifiable; no EGA study of that name was found
UK Heamtological Malignancy Research Network	UK Heamtological Malignancy Research Network	ready-to-add list	minted	COHO:0000264	Haematological Malignancy Research Network	EGA search 2026-09-22 for the ready-to-add list's name; EGAS00001004649 is the network's Burkitt lymphoma study
COH TNBC Cohort	City of Hope National Medical Center Triple negative breast cancer cohort	ready-to-add list	minted	COHO:0000235	City of Hope triple negative breast cancer cohort	EGA review 2026-09-22 (verified as COH); EGAS00001006002 holds the cohort's transcriptomes
TARGET	Therapeutically Applicable Research to Generate Effective Treatments	ready-to-add list	minted	COHO:0000339	Therapeutically Applicable Research to Generate Effective Treatments	the ready-to-add list's name; the initiative's data are at dbGaP (phs000218, mirrored in EGA) and the EGA study EGAS00001006276 compares its childhood AML cohort with it
Australian childhood AML cohort	Australian childhood AML cohort	ready-to-add list	minted	COHO:0000220	Australian childhood AML cohort	EGA search 2026-09-22 for the ready-to-add list's name
ACCE	African Collaborative Centre for Microbiome and Geomics Research	ready-to-add list	minted	COHO:0000212	African Collaborative Center for Microbiome and Genomics Research	the ready-to-add list's names ACCE; the H3Africa centre's data are at dbGaP (phs001945, mirrored in EGA), so its cohort paper is the example
GENIE	Genomics Evidence Neoplasia Information Exchange, Foundation Medicine (FM)	ready-to-add list	minted	COHO:0000209	AACR Project GENIE	EGA review 2026-09-22 matched the study's GENIE to COHO:0000186, a Korean health-examination cohort; the study uses the AACR registry, so the ready-to-add list separates them. The acronym is shared with COHO:0000186 and disambiguated by editor notes on both
Hipo_K09R	Hipo_K09R	ready-to-add list	not added			a HIPO project code, not a cohort name; the study EGAS00001006533 describes a neuroblastoma cohort by that code only
lungNENomics project	lungNENomics project	ready-to-add list	minted	COHO:0000292	lungNENomics	EGA review 2026-09-22 (corrected by the reviewer)
Recodid	Recodid	ready-to-add list	not added			ReCoDID is a data-harmonisation project of the EUCAN programme, not a cohort
SCHEMA	Schizophreia Exome Sequencing Meta-analysis consortium	ready-to-add list	minted	COHO:0000330	Schizophrenia Exome Sequencing Meta-analysis consortium	the ready-to-add list's name; no EGA study of the consortium itself was found, so the consortium's exome meta-analysis paper is the example
TARGET cohort	TARGET cohort	ready-to-add list	minted	COHO:0000339	Therapeutically Applicable Research to Generate Effective Treatments	the ready-to-add list's name; the initiative's data are at dbGaP (phs000218, mirrored in EGA) and the EGA study EGAS00001006276 compares its childhood AML cohort with it
POPs2	The Pregnancy Outcome Prediction Study	ready-to-add list	minted	COHO:0000321	Pregnancy Outcome Prediction study	EGA search 2026-09-22 for the ready-to-add list's name
TRACERx	TRAcking Cancer Evolution through therapy	ready-to-add list	minted	COHO:0000340	TRACERx	EGA search 2026-09-22 for the ready-to-add list's name: the first 100 TRACERx tumours; further studies are EGAS00001000809, EGAS00001002415, EGAS00001003458, EGAS00001006494 and EGAS00001006523
TransplantLines	TransplantLines	ready-to-add list	minted	COHO:0000341	TransplantLines	EGA search 2026-09-22 for the ready-to-add list's name
UW Cohort	UW Cohort	ready-to-add list	minted	COHO:0000350	University of Washington ovarian carcinoma cohort	EGA search 2026-09-22 for the ready-to-add list's name; the companion of the City of Hope cohort
Vietnam Rotavirus Vaccine Perturbation Study	Vietnam Rotavirus Vaccine Perturbation Study	ready-to-add list	not added			no EGA study of that name was found on 2026-09-22
WCDT	West Coast Dream Team Cohort	ready-to-add list	minted	COHO:0000353	West Coast Prostate Cancer Dream Team	EGA search 2026-09-22 for the ready-to-add list's name; further studies are EGAS00001006604 and EGAS00001006698
European BestAgeing miRNA Study	European BestAgeing Study	ready-to-add list	minted	COHO:0000254	European BestAgeing Study	EGA review found no cohort in this study; the name comes from the ready-to-add list of 2026-09-22 and the study text names the study
DIAMONDS	Diagnosis and Management of Febrile Illness using RNA Personalised Molecular Signature Diagnosis cohort	ready-to-add list	minted	COHO:0000241	Diagnosis and Management of Febrile Illness using RNA Personalised Molecular Signature Diagnosis	EGA search 2026-09-22 for the ready-to-add list's name
200-HIV Cohort Study		ready-to-add list	not added			no EGA study of the Human Functional Genomics Project's 200HIV cohort was found on 2026-09-22
300BCG Cohort		ready-to-add list	minted	COHO:0000208	300BCG	EGA search 2026-09-22 for the ready-to-add list's name
AC-ANGIOPREDICT Phase II trial		ready-to-add list	minted	COHO:0000210	AC-ANGIOPREDICT Phase II trial	EGA search 2026-09-22 for the ready-to-add list's name; EGAS00001002724 and EGAS00001002617 are the earlier ANGIOPREDICT studies
African Collaborative Centre for Microbiome and Geomics Research		ready-to-add list	minted	COHO:0000212	African Collaborative Center for Microbiome and Genomics Research	the ready-to-add list's names ACCE; the H3Africa centre's data are at dbGaP (phs001945, mirrored in EGA), so its cohort paper is the example
AHA Uganda Study		ready-to-add list	not added			not identifiable; no EGA or literature record of that name was found. If it means the APCDR Uganda studies, those are the Uganda General Population Cohort
ALL06 Cohort		ready-to-add list	minted	COHO:0000216	ALLG ALL06	EGA search 2026-09-22 for the ready-to-add list's name
AlpeDPD Study Cohort		ready-to-add list	minted	COHO:0000217	Alpe-DPD study	EGA search 2026-09-22 for the ready-to-add list's name
ALSPAC		ready-to-add list	existing	COHO:0000016	Avon Longitudinal Study of Parents and Children	already a synonym
ALTTO Clnical Trail		ready-to-add list	minted	COHO:0000211	Adjuvant Lapatinib and/or Trastuzumab Treatment Optimisation trial	EGA review 2026-09-22 (corrected by the reviewer from TCGA)
Atlas of Blood Cancer Genomes Project		ready-to-add list	minted	COHO:0000219	Atlas of Blood Cancer Genomes	EGA review found no cohort in this study; the name comes from the ready-to-add list of 2026-09-22 and the study is the project's blastic plasmacytoid dendritic cell neoplasm cohort
Australian childhood AML cohort	Australian Cohort	ready-to-add list	minted	COHO:0000220	Australian childhood AML cohort	EGA search 2026-09-22 for the ready-to-add list's name
BCp-ALL patients		ready-to-add list	not added			a disease group, not a cohort name; the study EGAS00001007383 names none
BEAT AML Cohort		ready-to-add list	minted	COHO:0000222	Beat AML	the ready-to-add list's name; the programme's data are at dbGaP (phs001657, mirrored in EGA), so its functional genomic landscape paper is the example
Bellini Trail		ready-to-add list	minted	COHO:0000224	BELLINI trial	EGA search 2026-09-22 for the ready-to-add list's name
Blood First Assay Screening Trail		ready-to-add list	minted	COHO:0000225	Blood First Assay Screening Trial	EGA search 2026-09-22 for the ready-to-add list's name
Canadian Prostate Cancer Genome Network Project		ready-to-add list	minted	COHO:0000230	Canadian Prostate Cancer Genome Network	EGA search 2026-09-22 for the ready-to-add list's name
CHILD cohort Study		ready-to-add list	minted	COHO:0000234	CHILD Cohort Study	EGA search 2026-09-22 for the ready-to-add list's name
City of Hope National Medical Center Triple negative breast cancer cohort	COH TNBC Cohort	ready-to-add list	minted	COHO:0000235	City of Hope triple negative breast cancer cohort	EGA review 2026-09-22 (verified as COH); EGAS00001006002 holds the cohort's transcriptomes
CLUSTER Consortium		ready-to-add list	minted	COHO:0000236	CLUSTER consortium	EGA search 2026-09-22 for the ready-to-add list's name: the consortium's RNA sequencing study of the methotrexate-treated cohort
CLUSTER consortium - Childhood arthritis and its associated uveitis: stratification through endotypes and mechanism to deliver benefit)		ready-to-add list	minted	COHO:0000236	CLUSTER consortium	EGA search 2026-09-22 for the ready-to-add list's name: the consortium's RNA sequencing study of the methotrexate-treated cohort
CLUSTER RNAseq Study		ready-to-add list	minted	COHO:0000236	CLUSTER consortium	EGA search 2026-09-22 for the ready-to-add list's name: the consortium's RNA sequencing study of the methotrexate-treated cohort
COH cohort		ready-to-add list	minted	COHO:0000235	City of Hope triple negative breast cancer cohort	EGA review 2026-09-22 (verified as COH); EGAS00001006002 holds the cohort's transcriptomes
CRCbiome Study (substudy of Bowel Cancer Screening in Norway)		ready-to-add list	minted	COHO:0000239	CRCbiome	EGA search 2026-09-22 for the ready-to-add list's name
DermAtlas		ready-to-add list	minted	COHO:0000240	DERMATLAS	EGA review found no cohort in this study; the name comes from the ready-to-add list of 2026-09-22 and the study is the project's squamous and basal cell carcinoma methylation set
