name,cohorts,id,label,match,candidates,note
advanced colorectal lesions,1,MONDO:0006498,adenomatous colon polyp,judged,MONDO:0005575 colorectal cancer (0.886) | MONDO:0006157 colorectal adenosquamous carcinoma (0.865) | MONDO:0002271 colon adenocarcinoma (0.864) | MONDO:0021055 classic familial adenomatous polyposis (0.862) | MONDO:0006498 adenomatous colon polyp (0.861) | MONDO:0005008 colorectal adenocarcinoma (0.860),advanced adenomas
advanced pancreatic cancer,1,MONDO:0006047,pancreatic adenocarcinoma,judged,"MONDO:1013310 pancreatic adenocarcinoma, non-human animal (0.886) | MONDO:0044727 pancreatic carcinoma with mixed differentiation (0.879) | MONDO:0002666 pancreatic signet ring cell adenocarcinoma (0.876) | MONDO:0006047 pancreatic adenocarcinoma (0.875) | MONDO:0015278 familial pancreatic carcinoma (0.871) | MONDO:0013235 pancreatic cancer, susceptibility to, 2 (0.870)","adenocarcinoma, the usual type; advanced"
adverse drug reactions,2,HP:0020172,Adverse drug response,judged,"MONDO:1017650 adverse drug reaction, non-human animal (0.947) | MONDO:1017725 adverse reaction to antibiotic drug, non-human animal (0.916) | MONDO:1017705 adverse reaction to antibiotic, non-human animal (0.911) | MONDO:1017704 adverse reaction to substance, non-human animal (0.906) | MONDO:1017724 adverse reaction, non-human animal (0.904) | MONDO:1017660 adverse reaction to vaccination, non-human animal (0.900)",
adverse pregnancy outcomes,2,MONDO:0024575,pregnancy disorder,judged,"MONDO:0041526 pregnancy disorder with abortive outcome (0.845) | MONDO:1017027 abortion/fetal death - premature birth, non-human animal (0.839) | MONDO:0000144 pregnancy loss, recurrent, susceptibility (0.833) | MONDO:0800310 pregnancy loss, recurrent, 4 (0.830) | MONDO:0013727 pregnancy loss, recurrent, susceptibility to, 1 (0.822) | MONDO:0013728 pregnancy loss, recurrent, susceptibility to, 2 (0.822)",
affective disorder,1,MONDO:0005371,mood disorder,judged,MONDO:0004572 cyclothymic disorder (0.900) | MONDO:0012882 major affective disorder 9 (0.826) | MONDO:0012877 major affective disorder 8 (0.822) | MONDO:0012319 major affective disorder 3 (0.821) | MONDO:0012881 major affective disorder 7 (0.820) | MONDO:0024613 bipolar depression (0.819) | MONDO:0024612 manic bipolar affective disorder (lex),
age-related cataract,1,MONDO:0005129,cataract,judged,MONDO:0012175 cataract 28 (0.891) | MONDO:0013406 age related macular degeneration 6 (0.888) | MONDO:0012540 age related macular degeneration 4 (0.888) | MONDO:0013416 age related macular degeneration 8 (0.887) | MONDO:0007932 age related macular degeneration 2 (0.887) | MONDO:0012659 age related macular degeneration 9 (0.887) | MONDO:0010196 Werner syndrome (lex),age-related
age-related eye disease,1,MONDO:0005328,eye disorder,judged,MONDO:0013406 age related macular degeneration 6 (0.926) | MONDO:0012540 age related macular degeneration 4 (0.926) | MONDO:0013416 age related macular degeneration 8 (0.926) | MONDO:0007932 age related macular degeneration 2 (0.925) | MONDO:0012419 age related macular degeneration 7 (0.925) | MONDO:0013409 age related macular degeneration 5 (0.925) | MONDO:0018203 LMNA-related cardiocutaneous progeria syndrome (lex) | MONDO:0018174 hereditary glaucoma (lex),age-related
age-related eye diseases,4,MONDO:0005328,eye disorder,judged,MONDO:0013406 age related macular degeneration 6 (0.913) | MONDO:0013416 age related macular degeneration 8 (0.913) | MONDO:0012540 age related macular degeneration 4 (0.912) | MONDO:0012419 age related macular degeneration 7 (0.912) | MONDO:0012659 age related macular degeneration 9 (0.912) | MONDO:0013409 age related macular degeneration 5 (0.911) | MONDO:0018203 LMNA-related cardiocutaneous progeria syndrome (lex) | MONDO:0018174 hereditary glaucoma (lex),age-related
age-related macular degeneration,12,MONDO:0005150,age-related macular degeneration,exact,"MONDO:1010351 age-related macular degeneration, non-human animal (0.956) | MONDO:0007932 age related macular degeneration 2 (0.956) | MONDO:0012540 age related macular degeneration 4 (0.955) | MONDO:0012659 age related macular degeneration 9 (0.955) | MONDO:0013406 age related macular degeneration 6 (0.955) | MONDO:0100174 age related macular degeneration, susceptibility to (0.955) | MONDO:0005150 age-related macular degeneration (lex) | MONDO:0012419 age related macular degeneration 7 (lex)",
aging-related movement and cognitive disturbances,1,,,none,"MONDO:1060159 complex movement disorder with or without neurodevelopmental features (0.808) | MONDO:0060642 neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features (0.799) | MONDO:0060759 neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures (0.793) | MONDO:0014957 language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia (0.792) | MONDO:0859176 neurodevelopmental disorder with motor and speech delay and behavioral abnormalities (0.792) | MONDO:0013680 cognitive impairment with or without cerebellar ataxia (0.789)",too general
AIDS,5,MONDO:0012268,AIDS,exact,MONDO:0024571 AIDS-related disorder (0.931) | MONDO:0012268 AIDS (0.928) | MONDO:0004951 susceptibility to HIV infection (0.922) | MONDO:0005639 AIDS related complex (0.909) | MONDO:0003740 AIDS phobia (0.907) | MONDO:0005798 HIV-associated nephropathy (0.895) | MONDO:0020689 AIDS dementia complex (lex),
alcohol dependence,4,MONDO:0007079,alcohol dependence,exact,MONDO:0002326 alcohol-induced mental disorder (0.902) | MONDO:0005433 alcohol withdrawal (0.894) | MONDO:0021699 alcohol-induced disorders (0.894) | MONDO:0021698 alcohol-related disorders (0.893) | MONDO:0005432 alcohol and nicotine codependence (0.892) | MONDO:0044333 alcohol-induced Wernicke-Korsakoff's syndrome (0.891) | MONDO:0007079 alcohol dependence (lex) | MONDO:0002046 alcohol abuse (lex),
alcohol use disorder,1,MONDO:0007079,alcohol dependence,judged,MONDO:0002326 alcohol-induced mental disorder (0.894) | MONDO:0016011 fetal alcohol syndrome (0.890) | MONDO:0000395 alcohol-related birth defect (0.888) | MONDO:0021699 alcohol-induced disorders (0.888) | MONDO:0044333 alcohol-induced Wernicke-Korsakoff's syndrome (0.886) | MONDO:0005433 alcohol withdrawal (0.886) | MONDO:0021698 alcohol-related disorders (lex) | MONDO:0010198 Wernicke-Korsakoff syndrome (lex),alcohol use disorder taken as alcohol dependence
alcohol-related cirrhosis,1,MONDO:0006644,alcoholic liver cirrhosis,judged,"MONDO:0006644 alcoholic liver cirrhosis (0.945) | MONDO:0043693 alcoholic liver disease (0.882) | MONDO:0021104 alcoholic fatty liver disease (0.878) | MONDO:0004640 alcoholic gastritis (0.866) | MONDO:1013071 cirrhosis of liver, non-human animal (0.853) | MONDO:0000395 alcohol-related birth defect (0.851) | MONDO:0007256 hepatocellular carcinoma (lex)",
alcohol-related liver disease,1,MONDO:0043693,alcoholic liver disease,judged,MONDO:0006644 alcoholic liver cirrhosis (0.924) | MONDO:0043693 alcoholic liver disease (0.911) | MONDO:0021104 alcoholic fatty liver disease (0.909) | MONDO:0021105 NAFLD1 (0.878) | MONDO:0016011 fetal alcohol syndrome (0.870) | MONDO:0000395 alcohol-related birth defect (0.869) | MONDO:0800180 CPOX-related hereditary coproporphyria (lex),
alcoholic cirrhosis,1,MONDO:0006644,alcoholic liver cirrhosis,exact,"MONDO:0006644 alcoholic liver cirrhosis (0.963) | MONDO:0043693 alcoholic liver disease (0.887) | MONDO:0021104 alcoholic fatty liver disease (0.886) | MONDO:0004640 alcoholic gastritis (0.877) | MONDO:1013071 cirrhosis of liver, non-human animal (0.858) | MONDO:0001505 alcoholic hepatitis (0.855) | MONDO:0007256 hepatocellular carcinoma (lex)",
alcoholism,1,MONDO:0007079,alcohol dependence,judged,MONDO:0021698 alcohol-related disorders (0.926) | MONDO:0021699 alcohol-induced disorders (0.923) | MONDO:0007079 alcohol dependence (0.915) | MONDO:0002326 alcohol-induced mental disorder (0.915) | MONDO:0002046 alcohol abuse (0.910) | MONDO:0005433 alcohol withdrawal (0.906) | MONDO:0021702 alcohol amnestic disorder (lex) | MONDO:0000408 fetal alcohol spectrum disorder (lex),alcoholism taken as alcohol dependence rather than the synonym match alcohol abuse
allergic conditions,1,MONDO:0005271,allergic disease,judged,"MONDO:0005271 allergic disease (0.943) | MONDO:0100177 allergic rhinitis, susceptibility to (0.934) | MONDO:0700226 food allergy (0.933) | MONDO:0000777 gastrointestinal allergy (0.929) | MONDO:1011130 allergic rhinitis, cattle (0.928) | MONDO:0011786 allergic rhinitis (0.927) | MONDO:0001752 alveolar periostitis (lex) | MONDO:0005202 atopic IgE-mediated allergic disorder (lex)",
allergic disease,2,MONDO:0005271,allergic disease,exact,"MONDO:0005271 allergic disease (0.954) | MONDO:0700226 food allergy (0.943) | MONDO:0000777 gastrointestinal allergy (0.941) | MONDO:0100177 allergic rhinitis, susceptibility to (0.933) | MONDO:1011130 allergic rhinitis, cattle (0.929) | MONDO:0000771 allergic respiratory disease (0.927)",
allergic diseases,6,MONDO:0005271,allergic disease,judged,"MONDO:0005271 allergic disease (0.951) | MONDO:0700226 food allergy (0.940) | MONDO:0000777 gastrointestinal allergy (0.939) | MONDO:0100177 allergic rhinitis, susceptibility to (0.930) | MONDO:1011130 allergic rhinitis, cattle (0.927) | MONDO:0000771 allergic respiratory disease (0.925)",
allergic rhinitis,3,MONDO:0011786,allergic rhinitis,exact,"MONDO:1011130 allergic rhinitis, cattle (0.958) | MONDO:0100177 allergic rhinitis, susceptibility to (0.957) | MONDO:1010284 allergic rhinitis, non-human animal (0.952) | MONDO:0011786 allergic rhinitis (0.943) | MONDO:0000771 allergic respiratory disease (0.890) | MONDO:0005642 atopic conjunctivitis (0.888) | MONDO:0024332 perennial allergic rhinitis (lex)",
allergic sensitization,1,MONDO:0005271,allergic disease,judged,"MONDO:0100177 allergic rhinitis, susceptibility to (0.915) | MONDO:0700226 food allergy (0.902) | MONDO:0006525 allergic contact dermatitis (0.900) | MONDO:0005271 allergic disease (0.898) | MONDO:1011130 allergic rhinitis, cattle (0.898) | MONDO:1010284 allergic rhinitis, non-human animal (0.896) | MONDO:0000605 hypersensitivity reaction disease (lex) | MONDO:0021952 progestogen hypersensitivity (lex)",sensitisation taken as allergic disease
allergies,1,MONDO:0005271,allergic disease,judged,MONDO:0011786 allergic rhinitis (0.926) | MONDO:0000772 obsolete pollen allergy [obsolete] (0.922) | MONDO:0005271 allergic disease (0.921) | MONDO:0005741 obsolete egg allergy [obsolete] (0.920) | MONDO:0006872 obsolete nut allergic reaction [obsolete] (0.920) | MONDO:0005902 obsolete peanut allergic reaction [obsolete] (0.918) | MONDO:0014218 severe dermatitis-multiple allergies-metabolic wasting syndrome (lex) | MONDO:0000775 drug allergy (lex),
allergy,5,MONDO:0005271,allergic disease,exact,MONDO:0000772 obsolete pollen allergy [obsolete] (0.926) | MONDO:0006872 obsolete nut allergic reaction [obsolete] (0.925) | MONDO:0005741 obsolete egg allergy [obsolete] (0.924) | MONDO:0005902 obsolete peanut allergic reaction [obsolete] (0.923) | MONDO:0005271 allergic disease (0.921) | MONDO:0007021 obsolete wheat allergic disease [obsolete] (0.921) | MONDO:0014218 severe dermatitis-multiple allergies-metabolic wasting syndrome (lex) | MONDO:0000775 drug allergy (lex),
alpha-1 antitrypsin deficiency,1,MONDO:0013282,alpha 1-antitrypsin deficiency,exact,"MONDO:0013282 alpha 1-antitrypsin deficiency (0.918) | MONDO:0009883 alpha-2-plasmin inhibitor deficiency (0.803) | MONDO:0013538 obsolete alpha-2-macroglobulin deficiency [obsolete] (0.797) | MONDO:0018485 glycogen storage disease due to acid maltase deficiency, late-onset (0.792) | MONDO:0017694 glycogen storage disease due to acid maltase deficiency, infantile onset (0.788) | MONDO:0008761 obsolete alpha-2-deficient collagen disease [obsolete] (0.784)",
Alzheimer disease,5,MONDO:0004975,Alzheimer disease,exact,MONDO:0007089 Alzheimer disease 2 (0.955) | MONDO:0011913 Alzheimer disease 3 (0.954) | MONDO:0011777 Alzheimer disease 8 (0.953) | MONDO:0011743 Alzheimer disease 4 (0.953) | MONDO:0011647 Alzheimer disease 7 (0.952) | MONDO:0011561 Alzheimer disease 6 (0.952) | MONDO:0004975 Alzheimer disease (lex),
Alzheimer disease related dementia,1,MONDO:0004975,Alzheimer disease,judged,"MONDO:0007089 Alzheimer disease 2 (0.907) | MONDO:0011743 Alzheimer disease 4 (0.904) | MONDO:0011561 Alzheimer disease 6 (0.904) | MONDO:0011647 Alzheimer disease 7 (0.903) | MONDO:0011913 Alzheimer disease 3 (0.903) | MONDO:0014316 Alzheimer disease 19 (0.902) | MONDO:0017948 ABetaA21G amyloidosis (lex) | MONDO:0017949 ABeta amyloidosis, Arctic type (lex)",
Alzheimer's clinical syndrome,1,MONDO:0004975,Alzheimer disease,judged,MONDO:0007089 Alzheimer disease 2 (0.865) | MONDO:0011743 Alzheimer disease 4 (0.863) | MONDO:0011401 Alzheimer disease without neurofibrillary tangles (0.862) | MONDO:0011647 Alzheimer disease 7 (0.862) | MONDO:0011913 Alzheimer disease 3 (0.862) | MONDO:0011777 Alzheimer disease 8 (0.861),
Alzheimer's disease,54,MONDO:0004975,Alzheimer disease,exact,MONDO:0007089 Alzheimer disease 2 (0.958) | MONDO:0011913 Alzheimer disease 3 (0.957) | MONDO:0011777 Alzheimer disease 8 (0.956) | MONDO:0011743 Alzheimer disease 4 (0.956) | MONDO:0011561 Alzheimer disease 6 (0.956) | MONDO:0011647 Alzheimer disease 7 (0.956),
Alzheimer's disease and related disorders,1,MONDO:0004975,Alzheimer disease,judged,MONDO:0011913 Alzheimer disease 3 (0.924) | MONDO:0100087 familial Alzheimer disease (0.924) | MONDO:0007089 Alzheimer disease 2 (0.924) | MONDO:0011777 Alzheimer disease 8 (0.923) | MONDO:0014316 Alzheimer disease 19 (0.923) | MONDO:0011561 Alzheimer disease 6 (0.923),and related dementias (MONDO:0001627)
amblyopia,1,MONDO:0001020,amblyopia,exact,MONDO:0001020 amblyopia (0.923) | MONDO:0001021 ametropic amblyopia (0.861) | MONDO:0001019 suppression amblyopia (0.825) | MONDO:0018998 Leber congenital amaurosis (0.816) | MONDO:0043310 amaurosis fugax (0.815) | MONDO:0008766 amaurosis-hypertrichosis syndrome (0.809),
amyotrophic lateral sclerosis,7,MONDO:0004976,amyotrophic lateral sclerosis,exact,MONDO:0007103 amyotrophic lateral sclerosis type 1 (0.956) | MONDO:0011691 amyotrophic lateral sclerosis type 3 (0.956) | MONDO:0013891 amyotrophic lateral sclerosis type 18 (0.955) | MONDO:0957538 amyotrophic lateral sclerosis 28 (0.954) | MONDO:0012753 amyotrophic lateral sclerosis type 9 (0.954) | MONDO:0014223 amyotrophic lateral sclerosis type 19 (0.954) | MONDO:0004976 amyotrophic lateral sclerosis (lex),
ankylosing spondylitis,2,MONDO:0005306,ankylosing spondylitis,exact,"MONDO:1011150 ankylosing spondylitis, dog (0.967) | MONDO:0005306 ankylosing spondylitis (0.966) | MONDO:1010292 ankylosing spondylitis, non-human animal (0.957) | MONDO:0007127 diffuse idiopathic skeletal hyperostosis (0.908) | MONDO:0008007 tooth ankylosis (0.852) | MONDO:0024512 spondyloarthropathy, susceptibility to (0.841)",
anorexia nervosa,2,MONDO:0005351,anorexia nervosa,exact,"MONDO:0005351 anorexia nervosa (0.952) | MONDO:0011727 anorexia nervosa, susceptibility to, 1 (0.923) | MONDO:0001177 anorectal stricture (0.816) | MONDO:0000754 anal fistula (0.806) | MONDO:0019938 anorectal malformation (0.806) | MONDO:0002027 avoidant personality disorder (0.805)",
anxiety,1,MONDO:0011918,anxiety,exact,MONDO:0011918 anxiety (0.928) | MONDO:0005618 anxiety disorder (0.926) | MONDO:0002027 avoidant personality disorder (0.907) | MONDO:0005351 anorexia nervosa (0.812) | MONDO:0100053 anaphylaxis (0.796) | MONDO:0005383 panic disorder (0.788),
anxiety disorders,2,MONDO:0005618,anxiety disorder,judged,MONDO:0011918 anxiety (0.925) | MONDO:0002027 avoidant personality disorder (0.907) | MONDO:0005618 anxiety disorder (0.904) | MONDO:0044144 panic disorder with agoraphobia (0.837) | MONDO:0044141 panic disorder without agoraphobia (0.834) | MONDO:0008187 panic disorder 1 (0.833) | MONDO:0001098 separation anxiety disorder (lex),
aortic disease,1,MONDO:0005561,aortic disorder,judged,MONDO:0003803 aortic valve disorder (0.947) | MONDO:0005561 aortic disorder (0.944) | MONDO:0000980 aortic atherosclerosis (0.936) | MONDO:0032783 aortic valve disease 3 (0.936) | MONDO:0013902 aortic valve disease 2 (0.935) | MONDO:0024523 aortic valve disease 1 (0.934),
aortic stenosis,1,MONDO:0042981,aortic valve stenosis,exact,"MONDO:7770584 aortic valve stenosis, dog (0.964) | MONDO:0042981 aortic valve stenosis (0.956) | MONDO:1013014 aortic valve stenosis, non-human animal (0.951) | MONDO:0003803 aortic valve disorder (0.920) | MONDO:0005648 aortic valve insufficiency (0.918) | MONDO:0013902 aortic valve disease 2 (0.916) | MONDO:0008504 supravalvular aortic stenosis (lex)",
aortic valve disease,2,MONDO:0003803,aortic valve disorder,exact,"MONDO:0003803 aortic valve disorder (0.962) | MONDO:7770584 aortic valve stenosis, dog (0.956) | MONDO:0013902 aortic valve disease 2 (0.953) | MONDO:0032783 aortic valve disease 3 (0.953) | MONDO:0024523 aortic valve disease 1 (0.950) | MONDO:0042981 aortic valve stenosis (0.946)",
arterial aneurysm,1,MONDO:0005160,aortic aneurysm,judged,"MONDO:1014005 arterial aneurysm, non-human animal (0.949) | MONDO:0006714 coronary aneurysm (0.896) | MONDO:0019821 aneurysm or dilatation of ascending aorta (0.888) | MONDO:0012053 aneurysm, intracranial berry, 2 (0.874) | MONDO:0012194 aneurysm, intracranial berry, 3 (0.874) | MONDO:0012443 aneurysm, intracranial berry, 4 (0.874) | MONDO:0005695 central nervous system AIDS arteritis (lex) | MONDO:0019825 congenital coronary artery aneurysm (lex)",aortic aneurysm; MONDO has no general arterial aneurysm term
arteriosclerosis,1,MONDO:0002277,arteriosclerosis disorder,exact,"MONDO:0002277 arteriosclerosis disorder (0.958) | MONDO:0042495 arteriosclerotic retinopathy (0.952) | MONDO:0006659 arteriosclerosis obliterans (0.945) | MONDO:0008819 arteriosclerosis, severe juvenile (0.944) | MONDO:0021661 coronary atherosclerosis (0.934) | MONDO:0006658 arteriolosclerosis (0.896) | MONDO:0003310 Monckeberg arteriosclerosis (lex)",
