ID,label,type,participants,counts,cases,controls,year,quote,source,quote verified,confidence,needs,note,batch
COHO:0000014,Australian Ovarian Cancer Study,cohort,,"women with invasive or borderline ovarian tumours among 2,456 consenting cases (2002-2006); controls enrolled",1859,1065,2006,"Between 2002 and 2006, a total of 2,456 women with suspected epithelial ovarian cancer from all Australian states consented to take part in the study, of whom 1859 had invasive or borderline ovarian tumours.",http://www.aocstudy.org/background.html,yes,medium,,"Controls from the same page: 'Detailed epidemiological data have been collected from cases and demographically matched control women (1,065 enrolled), allowing us to refine information about known environmental risk factors, and understand how environmental and genetic risk for ovarian cancer may intersect and guide prevention strategies.' No source states a case-plus-control total, so participants is null. The definition source PMID:18086758 gives different figures (cases: 'Of those invited to participate, 2,714 (85%) agreed to take part'; controls: '1,614 (47%) agreed to take part'; '87% of eligible cases (n = 1717) and 85% of controls (n = 1287) provided a sample of blood'), possibly including cases recruited through the parallel Australian Cancer Study. The AOCS cohort page reports 2,157 case and 1,064 control questionnaires.",s001
COHO:0000015,Australian Twin Registry,cohort,75000,"twin members of Twins Research Australia (the renamed Australian Twin Registry), current website",,,,"We are non-profit with our research made possible through the incredible volunteer efforts of our 75,000 twin members Australia-wide.",https://www.twins.org.au/,yes,medium,,"The registry profile (PMID:23200298) counts pairs, not people: 'Since the late 1970s the ATR has enrolled more than 40,000 twin pairs of all zygosities' and 'Our twin membership is comprised of more than 40,000 twin pairs and HOM.' The website's rounded count of individual members is given because the profile states no count of individuals; the website figure is undated.",s001
COHO:0000016,Avon Longitudinal Study of Parents and Children,cohort,14775,"live-born index children in the enrolled sample (from 15 247 enrolled pregnancies, by age 18)",,,2012,"The ‘Children of the 90s’ ‘enrolled sample’ consists of 14 775 (75.7% of the 19 600 eligible live births) live-born children from the 15 247 pregnancies (15 458 foetuses) where an individual, either the mother/primary caregiver or the child, has provided data.",PMID:22507743,yes,high,,"Index-offspring cohort profile. 14 541 pregnancies were recruited antenatally in 1990–92, rising to 15 247 enrolled pregnancies by age 18; 14 701 children were alive at one year. Mothers and partners are counted separately in companion profiles, which were not read; later profile updates (after 2012) may give slightly larger numbers.",s001
COHO:0000017,Berlin-Frankfurt-Münster trials,cohort aggregation,6609,children treated in the five consecutive ALL-BFM trials 1981-2000 (pooled long-term analysis),,,2000,"Between 1981 and 2000, 6609 children (<18 years of age) were treated in five consecutive trials of the Berlin-Frankfurt-Münster (BFM) study group for childhood acute lymphoblastic leukemia (ALL).",PMID:20010625,yes,medium,,"The pooled report covers only the trials ALL-BFM 81 to 95; earlier (1970s) and later trials (e.g. AIEOP-BFM ALL 2000 onwards) are not counted, so the number understates all BFM trials together. Abstract read; the full text is subscription-only.",s001
COHO:0000018,Bladder Cancer Prognosis Programme,cohort,1550,patients enrolled December 2005-October 2011 on cystoscopic findings suggestive of bladder cancer,,,2011,"Briefly, during the enrolment period (December 2005–October 2011), a total of 1,550 male and female patients (age ≥18 years) were enrolled based on abnormal cystoscopic findings suggestive of bladder cancer.",PMID:30112441,yes,medium,,"Sources disagree slightly: PMID:30903352 says 'During the recruitment period (2005–2011), 1536 participants were enrolled', of whom 326 did not have primary bladder cancer. The design paper (PMID:19751260) gives an interim 771 patients recruited since December 2005. Enrolment was on suspicion of bladder cancer, so the enrolled number includes people later found not to have it.",s001
COHO:0000019,Brazilian Cohort,cohort,45,babies whose exomes were sequenced,,,,Here we provide a catalogue of variants called after sequencing the exomes of 45 babies from Rio Grande do Nord in Brazil.,PMID:33087711,yes,high,,"The full text says 'The sample comprised 45 babies (26 males ...; 19 females ...), 44 with confirmed Zika-associated congenital microcephaly and one baby with familial congenital microcephaly.'",s001
COHO:0000020,Breast Cancer Association Consortium,cohort aggregation,35568,invasive breast cancer cases from 34 member studies pooled in the 2011 risk-factor and tumour-subtype analysis,35568,,2011,We pooled tumor marker and epidemiological risk factor data from 35568 invasive breast cancer case patients from 34 studies participating in the Breast Cancer Association Consortium.,PMID:21191117,yes,medium,,"Taken from the definition source, whose pooled analysis the definition describes; the case-control part used 12 population-based studies without a total stated in the abstract. BCAC's later genome-wide analyses are much larger: PMID:29059683 reports 'a genome-wide association study of breast cancer in 122,977 cases and 105,974 controls of European ancestry and 14,068 cases and 13,104 controls of East Asian ancestry' (no single total stated, and it includes data beyond BCAC). PMID:24943594 reports the BCAC COGS component as 53 835 cases and 50 156 controls.",s001
COHO:0000021,Bruneck study,cohort,933,"women and men examined at the 1990 baseline (of 1,000 invited)",,,1990,"A total of 933 women and men participated in the baseline examination in 1990 (participation rate, 93.3%); 703 of 764 individuals being alive in 2000 participated in the 2000 re‐evaluation (participation rate, 92.0%).",PMID:32172649,yes,medium,,"The study website (definition source) gives only the invited sample: 'a sex- and age-stratified random sample of all inhabitants of Bruneck (n=1,000) was invited to participate in the study.' The example study (PMID:22199011) used n=786 Bruneck participants. The baseline number comes from a later Bruneck paper rather than a cohort profile; other Bruneck papers may report a slightly different baseline count.",s001
COHO:0000022,Cancer and Leukemia Group B,cohort aggregation,,,,,,,,,low,PMID:16740784,"Cooperative trials group (now part of the Alliance for Clinical Trials in Oncology); no source read states a total enrolment across its trials or a number of member institutions/trials. Read: abstract of PMID:16740784 (full text on aacrjournals.org returned 403, not cached); PMC3886682 (CALGB 50-year history) gives only per-trial numbers (e.g. 1572 randomised in CALGB 8541) and 'hundreds of members'; example PMID:34528705 pools 1,520 patients from CALGB 80303, 40503, 80405 and ICON7 (a GWAS subset, not the group). A group-wide accrual statement from the history paper's full text or the Alliance website would settle it.",s002
COHO:0000023,Cancer Genome Atlas,cohort aggregation,11160,"patients whose tumours TCGA characterised across 33 cancer types (TCGA-CDR, whole program)",,,2018,"By the end of this 10-year project, TCGA network investigators had characterized the molecular landscape of tumors from 11,160 patients across 33 cancer types and defined their many molecular subtypes.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6066282/,yes,high,,"From the TCGA Pan-Cancer Clinical Data Resource paper (PMID:29625055, Cell 2018), fetched from PMC. Its abstract says 'more than 11,000 human tumors across 33 different cancer types'. The NCI program page (https://www.cancer.gov/ccg/research/genome-sequencing/tcga) says 'over 20,000 primary cancer and matched normal samples spanning 33 cancer types', which counts samples, not people. Example PMID:32585557 is closed (only abstract cached) and was not used.",s002
COHO:0000024,Cancer Prevention Study,cohort,1200000,American men and women enrolled in CPS-II in 1982,,,1982,"The Cancer Prevention Study II (CPS-II), which began in 1982, is a prospective mortality study of approximately 1.2 million American men and women.",https://www.cancer.org/research/population-science/pop-sci/prevention-studies/cps-2.html,yes,high,,"The ACS CPS-II page states approximately 1.2 million (recorded as 1200000). The same page: the CPS-II Nutrition Survey subcohort obtained updated information for 184,194 men and women in 1992-1993, and blood samples from 40,000 and cheek cells from 70,000 Nutrition cohort participants. Example PMID:37783704 used 1712 CPSII participants (a validation subset).",s002
COHO:0000025,Cancer Prostate in Sweden,cohort,,prostate cancer cases and controls recruited 2001-2003,3161,2149,2001-2003,"The CAPS (Cancer of the Prostate in Sweden) study represents a large Swedish population- based cancer study, comprising 3,161 cases and 2,149 controls, recruited between 2001 and 2003.",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fng.3094/MediaObjects/41588_2014_BFng3094_MOESM58_ESM.pdf,yes,medium,,"Cases and controls from the supplementary note of the 2014 PRACTICAL meta-analysis (doi:10.1038/ng.3094); no source read states the total, so participants is left null. The example study's supplement (PMID:23535732, ng.2560 MOESM4) says 'a population-based prostate cancer case-control study with 3,030 cases and 1,960 controls who donated blood samples during 2001-2003'. The definition source PMID:15087412 (abstract only) analysed 1383 cases and 780 controls; PMC4422072 describes 2,618 cases and 1,728 controls; PMC3435290 calls CAPS1 'over 1,400 cases and 700 controls'. A CAPS design paper stating the total recruited would settle participants.",s002
COHO:0000026,Candesartan in Heart failure Assessment of Reduction in Mortality and morbidity,cohort aggregation,7601,patients randomised across the three CHARM trials (CHARM-Overall),,,2003,"Overall, 7601 patients (7599 with data) were randomly assigned candesartan (n=3803, titrated to 32 mg once daily) or matching placebo (n=3796), and followed up for at least 2 years.",PMID:13678868,yes,high,,"Quote from the abstract of the CHARM-Overall results paper (Lancet 2003), read via the Europe PMC API. The design paper PMID:10496201 planned 6,500 patients ('CHARM is intended to randomize 6,500 patients'). The example PMID:35736394 says the primary endpoint occurred in 2460 of 7599 patients in the overall programme and genotyped 2727 patients of European ancestry.",s002
COHO:0000027,Cardio-metabolic Genome Epidemiology Network,cohort aggregation,,,,,,,,,low,,"No source read states a pooled number of participants or a number of member studies for the CAGE Network. The definition source (PMID:26648100, PMC4673465) describes it only qualitatively and gives member cohorts' sizes (Amagasaki Study 5,743 individuals; Kyushu University Fukuoka Cohort 12,959 subjects). Other cached papers give only analysed subsets or member cohorts (CAGE GWAS 1,547 Japanese in the AGEN-BP meta-analysis; CAGE 988 in the kidney-trait GWAS, ng.2352; CAGE-KING 3,975). The example PMID:34059833 does not describe CAGE's size. A CAGE Network overview stating its total enrolment would settle it.",s002
COHO:0000028,Cardiogenics Study,cohort,918,participants recruited in five centres (MI patients and controls),459,459,,"This initiative recruited 918 participants (459 patients with myocardial infarction and 459 normal controls) in five centres: Cambridge (UK), Leicester (UK), Lübeck (Germany), Regensburg (Germany), and Paris (France).",https://pmc.ncbi.nlm.nih.gov/articles/PMC3314981/,yes,medium,,"From the definition source PMID:22325189 (Lancet 2012, Y chromosome), which cites the Cardiogenics design reference; the same paper says 1533 samples (849 monocytes, 684 macrophages) were available for RNA analysis. The example PMID:21965548 analysed monocyte transcriptomes 'from 395 healthy blood donors and 363 patients with premature MI assembled by the Cardiogenics consortium', which does not match the 459/459 split, so the Cardiogenics design paper would confirm the figure.",s002
COHO:0000029,CARDIoGRAMplusC4D,cohort aggregation,185000,CAD cases and controls in the 2015 1000 Genomes-based meta-analysis (approximate),60801,123504,2015,"Leveraging phased haplotypes from the 1000 Genomes Project, we report a GWAS meta-analysis of ∼185,000 CAD cases and controls, interrogating 6.7 million common (minor allele frequency (MAF) > 0.05) and 2.7 million low-frequency (0.005 < MAF < 0.05) variants.",PMID:26343387,yes,medium,,"Flagship analysis taken as the 2015 1000 Genomes-based CARDIoGRAMplusC4D meta-analysis (Nikpay et al., PMID:26343387), the GWAS the definition source (PMID:38060277) uses: 'In total, the GWAS includes 60,801 CAD cases, 123,504 control samples, and 9.4 million variants.' The cases and controls come from its full text (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4589895/fullTextXML): 'We assembled 60,801 cases and 123,504 controls from 48 studies for a GWAS meta-analysis of CAD; 34,997 (57.5%) of the cases and 49,512 (40.1%) of the controls had been previously included in our Metabochip-based CAD meta-analysis (Supplementary Fig. 1)3.' The abstract's ∼185,000 is approximate. The earlier 2013 Metabochip meta-analysis (example PMID:23202125) analysed 63,746 CAD cases and 130,681 controls, and the 2022 analysis (Aragam et al.) is described as 'over a million participants' in a reference title only.",s002
COHO:0000030,Carolina Head and Neck Cancer Epidemiology,cohort,,"interviewed head and neck cancer cases and controls, 2002-2006",1389,1396,2002-2006,"Interview data were available for 1,389 cases and 1,396 controls.",https://pmc.ncbi.nlm.nih.gov/articles/PMC2925153/,yes,medium,,"From the definition source PMID:20049634 (oral health and head and neck cancer in CHANCE). No source read states the total; the same paper's analysed set is 'The final dataset included 2,650 subjects, with 1,289 cases and 1,361 controls (93 and 97% of eligible cases and controls, respectively).' (after excluding lip cancers, proxy interviews, other race and missing data). A pooled-consortium table lists CHANCE with 940 and 1,087 (genotyped subset). The example PMID:34642315 gives no CHANCE size. A CHANCE design paper stating the total enrolled would settle participants.",s002
COHO:0000031,"CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)",cohort,43000,men and women aged 40-69 recruited in phases A and B (over 43 000),,,,CARTaGENE recruited over 43 000 men and women aged 40-69 in two phases (A and B).,PMID:39153764,yes,high,,"From the abstract of the 2024 CARTaGENE Cohort Nutrition Study profile (read via the Europe PMC API), the most recent profile found; it adds 'In phase A, a total of 19 784 men and women were enrolled between 2009 and 2010.' The 2013 cohort profile (definition source PMID:23071140, abstract only) says 'Over 20,000 participants consented to visiting 1 of 12 assessment sites', i.e. phase A. The example PMID:38970920 used 20,010 CARTaGENE controls and genotype data for 25,653 subjects.",s002
COHO:0000032,Center for Autism Research and Treatment,cohort,,,,,,,,,low,,"UCLA CART is a research and clinical centre whose participants are recruited study by study; no source read states a number of participants for the centre as a whole. Read: the mission page (definition source), the CART history page (https://teams.semel.ucla.edu/autism/our-history), which mentions only the related Autism Center of Excellence network reaching 'over 500 families with autism' (a separate network study), and the example PMID:22318914, which recruited 19 ASD participants through CART. Probably no single enrolment figure exists.",s002
COHO:0000033,Center on Antisocial Drug Dependence,cohort,,,,,,,,,low,,CADD is a research centre with several samples (the example's supplement names the Colorado longitudinal twin sample and community twin sample); no source read states a total number of participants. Numbers seen are analysed subsets only: 'n = 601 for the Colorado based CADD study' in the example PMID:35534559 (height/BMI meta-analysis); CADD N 853 in the cannabis-use GWAS (PMC4872459); CADD cases and controls in the PGC alcohol dependence (PMC6430207) and cannabis use disorder (PMC7674631) tables. The definition source (IBG 50-year history page) gives no size. A CADD design paper (e.g. its Colorado Twin Registry or clinical-sample description) stating total enrolment would settle it.,s002
COHO:0000034,Centre dEtude du Polymorphisme Humain,cohort,,,,,,,,,low,,"The term is the CEPH foundation; its reference family panel (whose Utah trios form the HapMap/1000 Genomes CEU population used by the example PMID:26432245) is counted only in families. The CEPH site (https://www.fjd-ceph.org/familles-de-r%C3%A9f%C3%A9rence-du-ceph) says 'une collection de 40 familles de référence (puis 61)' (10 French, 48 Utah Mormon, 1 Amish, 2 Venezuelan families, averaging more than eight children), 30 CEU trios for HapMap, and selections of 91 trios and 192 unrelated individuals; no number of individuals for the whole panel. The home page also lists the separate HGDP-CEPH panel of 1063 cell lines from 1048 individuals in 52 populations. A statement of the number of individuals in the 61 reference families would settle it.",s002
COHO:0000036,Chicago Asthma Genetics,cohort,,,,,,,,,low,,"No source read states how many people the Chicago Asthma Genetics study enrolled. The definition source PMID:21798578 (PMC3548570) describes recruitment criteria and analyses 79 Chicago cases with childhood-onset asthma; the example PMID:23146381 names CAG only within the combined STAMPEED/EVE samples. The EVE asthma meta-analysis (PMC3445408, fetched from PMC) and the EVE sex-interaction study (PMC4159149) report CAG only pooled with CSGA and SARP (e.g. 843 European American and 644 African American asthma cases for CAG/CSGA/SARP). A CAG design description (the study's reference 36 in PMC3548570) stating enrolment would settle it.",s002
COHO:0000037,"Children, Allergy, Milieu, Stockholm, Epidemiology",cohort,4093,"children enrolled at 3-4 months of age, 1994-1996",,,1996,"In November 1996, this number was reached (4,093).",PMID:12688617,yes,high,,"From the abstract of the BAMSE design paper (definition source); the preceding sentence gives the target: 'To reach sufficient power, 4,000 children had to be included.' The same abstract says 97.7% of the original 4,093 children remained at the time. No later cohort profile was found in Europe PMC. The example PMID:29496485 (MeDALL EWAS) gives only analysed subsets across cohorts.",s002
COHO:0000038,Cholesterol and Atherosclerosis Pharmacogenetics,cohort,944,African-American and white adults enrolled who completed the 6-week simvastatin trial,,,,"We enrolled 944 African-American and white men and women who completed an open-label, 6-week pharmacogenetics trial of 40 mg of simvastatin.",PMID:16516587,yes,high,,"From the abstract of the CAP design/phenotype paper (definition source). The example PMID:20339536 (PMC2842298) agrees: 'The Cholesterol and Pharmacogenetics (CAP) trial involved 944 healthy volunteers, 609 of whom were Caucasian'; it genotyped 304 CAP participants in stage I.",s002
COHO:0000039,Cilento study,cohort,2137,"participants recruited in Campora, Gioi and Cardile, 2003-2008",,,2003-2008,"The sample for this study was based on the initial cohort of 2,137 participants, which were recruited in the Genetic Park of Cilento and Vallo di Diano Project between 2003 and 2008.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6411969/,yes,high,,"From the definition source PMID:30858532 (exome sequencing of 247 individuals; 1,617 genotyped on Illumina arrays). The example PMID:34413389 analysed 2068 individuals from the three villages (1600 in the discovery sample), which exceeds this 2003-2008 figure, so recruitment may have continued; a later Cilento design description would confirm the current total.",s002
COHO:0000040,COIN,cohort,2445,"patients randomised to the three COIN arms, 2005-2008",,,2005-2008,"Between March 9, 2005, and May 9, 2008, 2445 patients were randomly allocated to treatment groups at 111 centres in the UK and Ireland, with 1630 patients assigned to the comparison of continuous versus intermittent treatment.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3159416/fullTextXML,yes,high,,"From the COIN intermittent-versus-continuous results paper (PMID:21641867, Lancet Oncol 2011), full text fetched from Europe PMC; the arm A vs B paper (PMID:21641636, PMC3159415) gives the same total. The definition source PMID:26889974 covers only arms A and C: 'A total of 1630 patients were assigned to the continuous (N=815) or intermittent (N=815) arms.' The example PMID:35467766 studied 2671 patients from COIN and COIN-B together.",s002
COHO:0000041,COIN-B,cohort,226,"patients enrolled (randomised) in COIN-B, of 401 registered",,,,"We registered 401 patients, 226 of whom were enrolled.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4012566/,yes,high,,"From the COIN-B results paper (definition source PMID:24703531); results are reported for the 169 with KRAS wild-type tumours. The example PMID:35467766 states 'COIN‐B patients were randomised 1:1 to receive intermittent chemotherapy and cetuximab (n = 112) or intermittent chemotherapy and continuous cetuximab (n = 114)', consistent with 226 randomised; 401 is the number registered (screened for KRAS status).",s002
COHO:0000042,Colorectal Cancer Study of Austria,cohort,13000,"participants recruited since 2003 (more than 13,000; cases, adenomas and colonoscopy-negative controls)",,,,"In the ongoing CRC study of Austria (CORSA), more than 13,000 Caucasian participants have been recruited within the province-wide screening project “Burgenland Prevention Trial of Colorectal Disease with Immunological Testing” (B-PREDICT) since 200313 .",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-018-0286-6/MediaObjects/41588_2018_286_MOESM1_ESM.pdf,yes,medium,,"From the supplementary text of the example PMID:30510241 (Huyghe et al., Nat Genet 2019); the '13' after 2003 is a reference number in the extracted text. It gives no split into cases and controls. The earlier definition source PMID:22495810 (abstract only): 'The study population of our ongoing colorectal cancer study of Austria (CORSA) comprised 3,842 Caucasian participants.', of whom 3,264 were genotyped (142 CRC cases, 492 high-risk polyps, 837 low-risk polyps, 1,793 polyp-free controls).",s002
COHO:0000043,Consortium for the Longitudinal Evaluation of African Americans with Early Rheumatoid Arthritis,cohort aggregation,,"member counts only: 2 member registries (CLEAR I, CLEAR II)",,,2010,"At the time of this interim analysis, a total of 357 and 418 patients had been enrolled in CLEAR I and II, respectively; baseline radiographic were available in 294 for CLEAR I and 167 for CLEAR II and are included in these analyses.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3052790/,yes,medium,,"No source read states a pooled total for the consortium; it reports its two member registries separately: CLEAR I (early RA, 2000-2005) 357 and CLEAR II (cross-sectional, from 2006, still enrolling; ~600 planned) 418 at the 2010 interim analysis. A later paper (PMID:35468261, PMC9592673) says 'The CLEAR I study recruited 354 self-identified African American patients diagnosed with RA within two years of disease duration between 2000 and 2006'. The example study (PMID:35925860) used 'a GWAS of AAs with RA (916 RA cases and 1370 controls) as part of the Consortium for the Longitudinal Evaluation of AA with RA (CLEAR)registry'. A current registry total from the consortium would settle it.",s003
COHO:0000044,Consortium of Minority Population Genome-Wide Association Studies of Stroke,cohort aggregation,,cases and controls of African ancestry in the 2020 COMPASS meta-analysis of 13 cohorts,3734,18317,2020,"The COMPASS (Consortium of Minority Population Genome-Wide Association Studies of Stroke) has conducted a genome-wide association meta-analysis of stroke in >22 000 individuals of African ancestry (3734 cases, 18 317 controls) from 13 cohorts.",PMID:32693751,yes,medium,,"The 2020 meta-analysis (abstract read from Europe PMC) states the total only as '>22 000', so participants is left null; cases and controls are as stated. The earlier 2015 analysis (definition source PMID:26089329) states 'we conducted meta-analyses of GWAS in 14,746 African-Americans (1,365 ischemic and 1,592 total stroke cases) from COMPASS' in the abstract and 'COMPASS comprises 14,745 African-Americans including 1,365 ischemic and 1,592 total stroke cases' in the results. If a single figure is wanted, the 2015 14,746 is the only exact stated total.",s003
COHO:0000045,Cooperative Health Research in the Region of Augsburg,cohort aggregation,17602,participants of the four baseline surveys S1-S4 (1984-2001),,,2001,"In total, 17.602 participants were randomly selected from population registries in the study region.",https://www.helmholtz-munich.de/en/epi/cohort/kora,yes,high,"PMID:16032513 (Gesundheitswesen 2005, Thieme bot challenge; only the abstract, which gives no number, could be read)","The KORA website says the cohort 'consists of four cross-sectional baseline surveys from 1984 – 2001'; the figure is written with a German thousands separator (17.602 = 17,602). The AMI registry is not included in this count. The example study (PMID:28240269) gives member-survey numbers: 'KORA F4 is the follow-up study of the KORA S4 survey conducted in 1999–2001 (4,261 participants)' and 'The KORA F4 study is a population-based cohort of 3,080 subjects living in southern Germany'.",s003
COHO:0000046,Copenhagen Hospital Biobank,cohort,425000,patients in the biobank (approximate),,,2023,"At present, the biobank counts ~425,000 patients (Table 4).",PMID:36852012,yes,medium,"PMID:33169150 (Data Resource Profile, Int J Epidemiol 2021; subscription, not readable)","Taken from a 2023 review of Danish biobanks (Europe PMC full text of PMC9960719), since the CHB's own data resource profile is closed. Other figures: the CHB-CVDC cohort profile (PMID:36070241, 2021) says 'Presently, CHB contains samples from more than 450 000 individuals.' and 'CHB is continuously growing with ~40 000 samples/year.'; the same review says genome-wide genotype data are available for '∼330,000 patients (January 2022)'. The approximate figure is recorded as stated; the profile paper would settle the enrolled count.",s003
COHO:0000047,CROATIA-Korcula Study,cohort,2701,adult volunteers recruited 2007-2014 (entire cohort),,,2014,"This study describes whole genome sequencing (TruSeq Nano, Illumina) run on a HiSeqX  platform at 30X coverage on 200 individuals best capturing the genetic variation of the entire cohort (N= 2701); they were selected using ANCHAP, an identity by descent inference tool (PMID 23361219).",https://metadata.ega-archive.org/studies/EGAS00001008043,yes,high,,"The EGA study abstract (definition source) gives the whole cohort as N= 2701 (the quote keeps the source's double space after 'HiSeqX'). The example study (PMID:35332118) says the cohort 'includes samples of blood DNA, plasma and serum, anthropometric and physical measurements, information related to general health, medical history, lifestyle and diet for ~3000 residents of the Croatian island of Korčula' and analysed 948-951 samples.",s003
