PMID	title
20205615	Relation of coffee consumption and serum liver enzymes in Japanese men and women with reference to effect modification of alcohol use and body mass index.
20231156	A variant at chromosome 9p21 is associated with recurrent myocardial infarction and cardiac death after acute coronary syndrome: the GRACE Genetics Study.
20339536	Genome-wide association of lipid-lowering response to statins in combined study populations.
20400780	Candidate gene association resource (CARe): design, methods, and proof of concept.
20453842	Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci.
20485516	Common genetic variants near the Brittle Cornea Syndrome locus ZNF469 influence the blinding disease risk factor central corneal thickness.
20567021	Use of bisphosphonates and risk of postmenopausal breast cancer.
20614474	Calcium supplementation and the risks of atherosclerotic vascular disease in older women: results of a 5-year RCT and a 4.5-year follow-up.
20628086	Variation at the NFATC2 locus increases the risk of thiazolidinedione-induced edema in the Diabetes REduction Assessment with ramipril and rosiglitazone Medication (DREAM) study.
20700438	The 5p15.33 locus is associated with risk of lung adenocarcinoma in never-smoking females in Asia.
20732625	Meta-analysis of genome-wide association studies of attention-deficit/hyperactivity disorder.
20801717	Chromosome 9p21 in sporadic amyotrophic lateral sclerosis in the UK and seven other countries: a genome-wide association study.
20835238	Common variants near CAV1 and CAV2 are associated with primary open-angle glaucoma.
20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.
20860503	A large-scale, consortium-based genomewide association study of asthma.
21082022	Genome-wide association study of blood pressure extremes identifies variant near UMOD associated with hypertension.
21104233	Polymorphisms in the ALOX12 gene and osteoporosis.
21116278	Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.
21203820	Dietary intake of micronutrients and the risk of developing bladder cancer: results from the Belgian case-control study on bladder cancer risk.
21239051	Identification of ADAMTS7 as a novel locus for coronary atherosclerosis and association of ABO with myocardial infarction in the presence of coronary atherosclerosis: two genome-wide association studies.
21249187	Accuracy of CNV Detection from GWAS Data.
21345099	Exposure to environmental microorganisms and childhood asthma.
21606135	A genome-wide association study identifies LIPA as a susceptibility gene for coronary artery disease.
21642962	Whole-genome sequencing identifies recurrent mutations in chronic lymphocytic leukaemia.
21655089	Multiple common susceptibility variants near BMP pathway loci GREM1, BMP4, and BMP2 explain part of the missing heritability of colorectal cancer.
21673961	Estrogen receptor beta rs1271572 polymorphism and invasive ovarian carcinoma risk: pooled analysis within the Ovarian Cancer Association Consortium.
21705063	Effect of early intensive multifactorial therapy on 5-year cardiovascular outcomes in individuals with type 2 diabetes detected by screening (ADDITION-Europe): a cluster-randomised trial.
21738479	Genome-wide association study of white blood cell count in 16,388 African Americans: the continental origins and genetic epidemiology network (COGENT).
21750109	European genome-wide association study identifies SLC14A1 as a new urinary bladder cancer susceptibility gene.
21812969	Genome-wide association study identifies candidate genes for Parkinson's disease in an Ashkenazi Jewish population.
21826061	Genome-wide association studies establish that human intelligence is highly heritable and polygenic.
21874001	Genome-wide association study in individuals of South Asian ancestry identifies six new type 2 diabetes susceptibility loci.
21876681	Genome-wide gene-environment study identifies glutamate receptor gene GRIN2A as a Parkinson's disease modifier gene via interaction with coffee.
21926972	Large-scale genome-wide association analysis of bipolar disorder identifies a new susceptibility locus near ODZ4.
21931564	A genome-wide metabolic QTL analysis in Europeans implicates two loci shaped by recent positive selection.
21949744	Effects of 16 genetic variants on fasting glucose and type 2 diabetes in South Asians: ADCY5 and GLIS3 variants may predispose to type 2 diabetes.
21965548	Four genetic loci influencing electrocardiographic indices of left ventricular hypertrophy.
21966275	Large-scale gene-centric analysis identifies novel variants for coronary artery disease.
21983785	Genome-wide association study identifies a new melanoma susceptibility locus at 1q21.3.
21998595	Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.
22039354	Mendelian randomization study of B-type natriuretic peptide and type 2 diabetes: evidence of causal association from population studies.
22113997	The chromosome 2p21 region harbors a complex genetic architecture for association with risk for renal cell carcinoma.
22158537	Meta-analysis of genome-wide association studies identifies eight new loci for type 2 diabetes in east Asians.
22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.
22162987	RANTES/CCL5 and risk for coronary events: results from the MONICA/KORA Augsburg case-cohort, Athero-Express and CARDIoGRAM studies.
22190364	Genome-wide meta-analysis identifies novel multiple sclerosis susceptibility loci.
22199011	Association between chromosome 9p21 variants and the ankle-brachial index identified by a meta-analysis of 21 genome-wide association studies.
22210626	Genome-wide association study in multiple human prion diseases suggests genetic risk factors additional to PRNP.
22271044	Y chromosome haplogroups and prostate cancer in populations of European and Ashkenazi Jewish ancestry.
22306652	Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke.
22318914	An fMRI investigation of responses to peer rejection in adolescents with autism spectrum disorders.
22383894	Genome-wide association study identifies chromosome 10q24.32 variants associated with arsenic metabolism and toxicity phenotypes in Bangladesh.
22436128	Inorganic arsenic and basal cell carcinoma in areas of Hungary, Romania, and Slovakia: a case-control study.
22472876	A mega-analysis of genome-wide association studies for major depressive disorder.
22479202	Novel loci for adiponectin levels and their influence on type 2 diabetes and metabolic traits: a multi-ethnic meta-analysis of 45,891 individuals.
22570627	Common genetic determinants of intraocular pressure and primary open-angle glaucoma.
22570697	Genome-wide association study of multiple sclerosis confirms a novel locus at 5p13.1.
22763110	Identification of new susceptibility loci for osteoarthritis (arcOGEN): a genome-wide association study.
22773825	Fertility drugs and young-onset breast cancer: results from the Two Sister Study.
22792071	WNT16 influences bone mineral density, cortical bone thickness, bone strength, and osteoporotic fracture risk.
22792082	Genome-wide association analysis in asthma subjects identifies SPATS2L as a novel bronchodilator response gene.
22848412	Genetic markers enhance coronary risk prediction in men: the MORGAM prospective cohorts.
22923054	A genome-wide association study of breast cancer in women of African ancestry.
22933647	Profile: Agincourt health and socio-demographic surveillance system.
22939635	Genome-wide association and population genetic analysis of C-reactive protein in African American and Hispanic American women.
22961001	Common variants at the MHC locus and at chromosome 16q24.1 predispose to Barrett's esophagus.
22961080	A genome-wide association study identifies GRK5 and RASGRP1 as type 2 diabetes loci in Chinese Hans.
23001564	Genome-wide meta-analysis points to CTC1 and ZNF676 as genes regulating telomere homeostasis in humans.
23041239	Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies.
23066387	Association study of genes associated to asthma in a specific environment, in an asthma familial collection located in a rural area influenced by different industries.
23074152	Meta-analysis of genome-wide studies identifies WNT16 and ESR1 SNPs associated with bone mineral density in premenopausal women.
23143594	Identification of 15 new psoriasis susceptibility loci highlights the role of innate immunity.
23143601	Genome-wide association analysis identifies new lung cancer susceptibility loci in never-smoking women in Asia.
23146381	A meta-analysis of genome-wide association studies for serum total IgE in diverse study populations.
23151390	Neural responses to threat and reward interact to predict stress-related problem drinking: A novel protective role of the amygdala.
23184150	Common variation at 2q22.3 (ZEB2) influences the risk of renal cancer.
23202125	Large-scale association analysis identifies new risk loci for coronary artery disease.
23347264	Replication of established common genetic variants for adult BMI and childhood obesity in Greek adolescents: the TEENAGE study.
23377640	Common genetic variation and antidepressant efficacy in major depressive disorder: a meta-analysis of three genome-wide pharmacogenetic studies.
23513043	Analysis of over 10,000 Cases finds no association between previously reported candidate polymorphisms and ovarian cancer outcome.
23535732	Identification of 23 new prostate cancer susceptibility loci using the iCOGS custom genotyping array.
23563134	N-terminal pro-B-type natriuretic peptide for risk assessment in patients with atrial fibrillation: insights from the ARISTOTLE Trial (Apixaban for the Prevention of Stroke in Subjects With Atrial Fibrillation).
23599335	Copy number variation at chromosome 5q21.2 is associated with intraocular pressure.
23717212	Imputation-based meta-analysis of severe malaria in three African populations.
23754956	Genetic architecture of vitamin B12 and folate levels uncovered applying deeply sequenced large datasets.
23768512	Mutations in GDP-mannose pyrophosphorylase B cause congenital and limb-girdle muscular dystrophies associated with hypoglycosylation of α-dystroglycan.
23793025	Genome-wide meta-analysis identifies new susceptibility loci for migraine.
23817572	Recurrent somatic alterations of FGFR1 and NTRK2 in pilocytic astrocytoma.
23974872	Genome-wide association analysis identifies 13 new risk loci for schizophrenia.
24001895	Genome-wide association study meta-analysis reveals transethnic replication of mean arterial and pulse pressure loci.
24068962	Meta-analysis of genome-wide association studies identifies six new Loci for serum calcium concentrations.
24084763	Germline variants and advanced colorectal adenomas: adenoma prevention with celecoxib trial genome-wide association study.
24124113	Insulin sensitivity and insulin clearance are heritable and have strong genetic correlation in Mexican Americans.
24139898	Hypermutation of the inactive X chromosome is a frequent event in cancer.
24292195	Mutational landscape of gingivo-buccal oral squamous cell carcinoma reveals new recurrently-mutated genes and molecular subgroups.
24343240	A rare functional cardioprotective APOC3 variant has risen in frequency in distinct population isolates.
24390345	Sequence variants in SLC16A11 are a common risk factor for type 2 diabetes in Mexico.
24448986	Genome-wide association study identifies a new SMAD7 risk variant associated with colorectal cancer risk in East Asians.
24484606	Targeted prostate cancer screening in BRCA1 and BRCA2 mutation carriers: results from the initial screening round of the IMPACT study.
24514567	A genome-wide association study of anorexia nervosa.
24647736	Multiple nonglycemic genomic loci are newly associated with blood level of glycated hemoglobin in East Asians.
24676807	Estimating genome-wide significance for whole-genome sequencing studies.
24688116	Genome-wide association meta-analysis of human longevity identifies a novel locus conferring survival beyond 90 years of age.
24770850	Genome-wide association study of sexual maturation in males and females highlights a role for body mass and menarche loci in male puberty.
24816252	An atlas of genetic influences on human blood metabolites.
24836286	Large-scale genetic study in East Asians identifies six new loci associated with colorectal cancer risk.
24880342	Rare variants of large effect in BRCA2 and CHEK2 affect risk of lung cancer.
24943594	Common non-synonymous SNPs associated with breast cancer susceptibility: findings from the Breast Cancer Association Consortium.
24958192	Genome-wide association interaction analysis for Alzheimer's disease.
24974849	Whole-genome sequence variation, population structure and demographic history of the Dutch population.
25133637	Genome-wide association studies and heritability estimates of body mass index related phenotypes in Bangladeshi adults.
25229638	Dysfunction of emotional brain systems in individuals at high risk of mood disorder with depression and predictive features prior to illness.
25236618	DNA copy number analysis of fresh and formalin-fixed specimens by shallow whole-genome sequencing with identification and exclusion of problematic regions in the genome assembly.
25262651	De novo mutations in synaptic transmission genes including DNM1 cause epileptic encephalopathies.
25279460	The associations of serum serotonin with bone traits are age- and gender-specific.
25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.
25282103	Defining the role of common variation in the genomic and biological architecture of adult human height.
25349970	Evidence for a time-dependent association between FOLR1 expression and survival from ovarian carcinoma: implications for clinical testing. An Ovarian Tumour Tissue Analysis consortium study.
25429525	Recurrent urinary tract infection and risk of bladder cancer in the Nijmegen bladder cancer study.
25470054	The African Genome Variation Project shapes medical genetics in Africa.
25472670	Suitability of circulating miRNAs as potential prognostic markers in colorectal cancer.
25502724	Large-scale metabolomic profiling identifies novel biomarkers for incident coronary heart disease.
25534755	A genome-wide association study of autism using the Simons Simplex Collection: Does reducing phenotypic heterogeneity in autism increase genetic homogeneity?
25625282	Identification and functional characterization of G6PC2 coding variants influencing glycemic traits define an effector transcript at the G6PC2-ABCB11 locus.
25632367	Antithrombotic therapy in patients with acute coronary syndrome in the intermountain heart collaborative study.
25637336	Genetics of hand grip strength in mid to late life.
25748612	Genetic risk, coronary heart disease events, and the clinical benefit of statin therapy: an analysis of primary and secondary prevention trials.
25758996	Genome-wide association analysis on five isolated populations identifies variants of the HLA-DOA gene associated with white wine liking.
25869804	GWAS for executive function and processing speed suggests involvement of the CADM2 gene.
25891430	Association of CLEC16A with human common variable immunodeficiency disorder and role in murine B cells.
26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.
26046553	The Swedish MS registry – clinical support tool and scientific resource.
26068415	Genome-wide association study identifies novel genetic variants contributing to variation in blood metabolite levels.
26124090	Origin and dynamics of admixture in Brazilians and its effect on the pattern of deleterious mutations.
26176920	Sparse whole-genome sequencing identifies two loci for major depressive disorder.
26237428	Genome-wide meta-analysis identifies five new susceptibility loci for cutaneous malignant melanoma.
26250998	Usefulness of Low-Density Lipoprotein Cholesterol and Non-High-Density Lipoprotein Cholesterol as Predictors of Cardiovascular Disease in Chinese.
26319774	Cohort profile: LifeLines DEEP, a prospective, general population cohort study in the northern Netherlands: study design and baseline characteristics.
26343387	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.
26366554	Genome sequencing elucidates Sardinian genetic architecture and augments association analyses for lipid and blood inflammatory markers.
26390057	Trans-ancestry genome-wide association study identifies 12 genetic loci influencing blood pressure and implicates a role for DNA methylation.
26406445	Targeted Sequencing of the Mitochondrial Genome of Women at High Risk of Breast Cancer without Detectable Mutations in BRCA1/2.
26432245	A global reference for human genetic variation.
26540294	Metabolomic Quantitative Trait Loci (mQTL) Mapping Implicates the Ubiquitin Proteasome System in Cardiovascular Disease Pathogenesis.
26631737	Genome-wide Association Studies Identify Genetic Loci Associated With Albuminuria in Diabetes.
26691988	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.
26840454	Germline polymorphisms in an enhancer of PSIP1 are associated with progression-free survival in epithelial ovarian cancer.
26881390	A genetic study and meta-analysis of the genetic predisposition of prostate cancer in a Chinese population.
26940866	Health and population effects of rare gene knockouts in adult humans with related parents.
26950853	Genome-Wide Association Study for Incident Myocardial Infarction and Coronary Heart Disease in Prospective Cohort Studies: The CHARGE Consortium.
26997371	Genome-wide DNA methylation levels and altered cortisol stress reactivity following childhood trauma in humans.
27005778	Genome-wide study for circulating metabolites identifies 62 loci and reveals novel systemic effects of LPA.
27023175	Genome-wide association study of lifetime cannabis use based on a large meta-analytic sample of 32 330 subjects from the International Cannabis Consortium.
27030319	Genome-wide significant results identified for plasma apolipoprotein H levels in middle-aged and older adults.
27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.
27135401	Five endometrial cancer risk loci identified through genome-wide association analysis.
27151655	The PROFILE Feasibility Study: Targeted Screening of Men With a Family History of Prostate Cancer.
27174798	Development and Validation of a Model to Predict Absolute Vascular Risk Reduction by Moderate-Intensity Statin Therapy in Individual Patients With Type 2 Diabetes Mellitus: The Anglo Scandinavian Cardiac Outcomes Trial, Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial, and Collaborative Atorvastatin Diabetes Study.
27322543	Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine.
27329137	Rare disruptive mutations and their contribution to the heritable risk of colorectal cancer.
27329260	Genomewide meta-analysis identifies loci associated with IGF-I and IGFBP-3 levels with impact on age-related traits.
27346685	Exome Genotyping Identifies Pleiotropic Variants Associated with Red Blood Cell Traits.
27363682	Genome-wide association study identifies multiple susceptibility loci for multiple myeloma.
27387956	Genome-wide search identifies a gene-gene interaction between 20p13 and 2q14 in asthma.
27398621	The genetic architecture of type 2 diabetes.
27409342	Meta-dimensional data integration identifies critical pathways for susceptibility, tumorigenesis and progression of endometrial cancer.
27418945	High-risk HPV is not associated with epithelial ovarian cancer in a Caucasian population.
27445529	Identification of Susceptibility Genes of Adult Asthma in French Canadian Women.
27500523	Variation in the glucose transporter gene SLC2A2 is associated with glycemic response to metformin.
27598322	Association between Adult Height and Risk of Colorectal, Lung, and Prostate Cancer: Results from Meta-analyses of Prospective Studies and Mendelian Randomization Analyses.
27618452	The genetics of blood pressure regulation and its target organs from association studies in 342,415 individuals.
27647854	The Genetic Landscape of Renal Complications in Type 1 Diabetes.
27649491	Prediction of Bone Mineral Density and Fragility Fracture by Genetic Profiling.
27694927	A genome-wide association study identifies risk loci for childhood acute lymphoblastic leukemia at 10q26.13 and 12q23.1.
27697780	The OncoArray Consortium: A Network for Understanding the Genetic Architecture of Common Cancers.
27814508	Host and Environmental Factors Influencing Individual Human Cytokine Responses.
27814519	The Human Functional Genomics Project: Understanding Generation of Diversity.
27869829	Contribution of copy number variants to schizophrenia from a genome-wide study of 41,321 subjects.
27899403	Meta-Analysis of Genome-Wide Association Studies for Abdominal Aortic Aneurysm Identifies Four New Disease-Specific Risk Loci.
28053049	Genome-wide association study with additional genetic and post-transcriptional analyses reveals novel regulators of plasma factor XI levels.
28056824	The emerging landscape of dynamic DNA methylation in early childhood.
28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.
28093568	GWAS meta-analysis reveals novel loci and genetic correlates for general cognitive function: a report from the COGENT consortium.
28159758	Longitudinal study of weight, energy intake and physical activity change across two decades in older Scottish women.
28165464	Genome-wide association analysis implicates dysregulation of immunity genes in chronic lymphocytic leukaemia.
28195142	A genome-wide association study yields five novel thyroid cancer risk loci.
28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.
28245255	Extending the use of GWAS data by combining data from different genetic platforms.
28302734	Time-dependent genetic effects on gene expression implicate aging processes.
28322283	Susceptibility to neurofibrillary tangles: role of the PTPRD locus and limited pleiotropy with other neuropathologies.
28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.
28346443	Genome-wide association study of glioma subtypes identifies specific differences in genetic susceptibility to glioblastoma and non-glioblastoma tumors.
28385611	Description of the EuroTARGET cohort: A European collaborative project on TArgeted therapy in renal cell cancer-GEnetic- and tumor-related biomarkers for response and toxicity.
28419249	Cohort Profile: African Collaborative Center for Microbiome and Genomics Research's (ACCME's) Human Papillomavirus (HPV) and Cervical Cancer Study.
28445112	Tracking the Evolution of Non-Small-Cell Lung Cancer.
28481548	Cross-Sectional Association of Salivary Proteins with Age, Sex, Body Mass Index, Smoking, and Education.
28506689	Genetic Factors Interact With Tobacco Smoke to Modify Risk for Inflammatory Bowel Disease in Humans and Mice.
28530674	Fifteen new risk loci for coronary artery disease highlight arterial-wall-specific mechanisms.
28588112	The Hoorn Diabetes Care System (DCS) cohort. A prospective cohort of persons with type 2 diabetes treated in primary care in the Netherlands.
28596592	Sequence variant at 4q25 near PITX2 associates with appendicitis.
28598434	Genome-wide association study identifies multiple risk loci for renal cell carcinoma.
28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.
28604732	Meta-analysis of five genome-wide association studies identifies multiple new loci associated with testicular germ cell tumor.
28644415	Genome-Wide Association Study of Dietary Pattern Scores.
28654678	Genetic factors affecting EBV copy number in lymphoblastoid cell lines derived from the 1000 Genome Project samples.
28817493	DNA methylation of the glucocorticoid receptor gene promoter in the placenta is associated with blood pressure regulation in human pregnancy.
28832569	SweGen: a whole-genome data resource of genetic variability in a cross-section of the Swedish population.
28878392	Multivariate discovery and replication of five novel loci associated with Immunoglobulin G N-glycosylation.
28915241	The relative contribution of DNA methylation and genetic variants on protein biomarkers for human diseases.
28937204	J-Resolved 1H NMR 1D-Projections for Large-Scale Metabolic Phenotyping Studies: Application to Blood Plasma Analysis.
28961250	Estimation of kinship coefficient in structured and admixed populations using sparse sequencing data.
29058716	Identification of ten variants associated with risk of estrogen-receptor-negative breast cancer.
29117387	Two Novel Susceptibility Loci for Prostate Cancer in Men of African Ancestry.
29187508	Relaxed Selection During a Recent Human Expansion.
29273806	Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.
29378355	A Genome-wide Study of Common and Rare Genetic Variants Associated with Circulating Thrombin Activatable Fibrinolysis Inhibitor.
29489755	Pan-cancer genome and transcriptome analyses of 1,699 paediatric leukaemias and solid tumours.
29496485	DNA methylation in childhood asthma: an epigenome-wide meta-analysis.
29531354	Multiancestry genome-wide association study of 520,000 subjects identifies 32 loci associated with stroke and stroke subtypes.
29574091	Genetic Risk Score Is Associated With Prevalence of Advanced Neoplasms in a Colorectal Cancer Screening Population.
29593016	GCAT|Genomes for life: a prospective cohort study of the genomes of Catalonia.
29611518	3 versus 6 months of adjuvant oxaliplatin-fluoropyrimidine combination therapy for colorectal cancer (SCOT): an international, randomised, phase 3, non-inferiority trial.
29662167	Sequencing of prostate cancers identifies new cancer genes, routes of progression and drug targets.
29674426	Association of polygenic risk score with the risk of chronic lymphocytic leukemia and monoclonal B-cell lymphocytosis.
29875488	Genomic atlas of the human plasma proteome.
29892016	Association analyses of more than 140,000 men identify 63 new prostate cancer susceptibility loci.
29917119	Novel Common Genetic Susceptibility Loci for Colorectal Cancer.
29925420	Hepatic steatosis risk is partly driven by increased de novo lipogenesis following carbohydrate consumption.
29988082	Prediction of acute myeloid leukaemia risk in healthy individuals.
30006587	Dynamics of Plasma Lipidome in Progression to Islet Autoimmunity and Type 1 Diabetes - Type 1 Diabetes Prediction and Prevention Study (DIPP).
30044860	The genetic underpinnings of variation in ages at menarche and natural menopause among women from the multi-ethnic Population Architecture using Genomics and Epidemiology (PAGE) Study: A trans-ethnic meta-analysis.
30103784	Exploring causality in the association between circulating 25-hydroxyvitamin D and colorectal cancer risk: a large Mendelian randomisation study.
30104761	Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.
30124842	Meta-analysis of genome-wide association studies for height and body mass index in ∼700000 individuals of European ancestry.
30158200	Assessment of the genetic and clinical determinants of fracture risk: genome wide association and mendelian randomisation study.
30206357	Exploring rare and low-frequency variants in the Saguenay-Lac-Saint-Jean population identified genes associated with asthma and allergy traits.
30218040	Autosomal genetic variation is associated with DNA methylation in regions variably escaping X-chromosome inactivation.
30262460	Genetic Tools for Coronary Risk Assessment in Type 2 Diabetes: A Cohort Study From the ACCORD Clinical Trial.
30267046	Myocilin Gene Gln368Ter Variant Penetrance and Association With Glaucoma in Population-Based and Registry-Based Studies.
30333627	Functional genomic landscape of acute myeloid leukaemia.
30405126	Cohort-wide deep whole genome sequencing and the allelic architecture of complex traits.
30470734	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.
30482948	Transancestral GWAS of alcohol dependence reveals common genetic underpinnings with psychiatric disorders.
30510241	Discovery of common and rare genetic risk variants for colorectal cancer.
30554720	Polygenic Risk Scores for Prediction of Breast Cancer and Breast Cancer Subtypes.
30624603	Fine mapping of genome-wide association study signals to identify genetic markers of the plasma triglyceride response to an omega-3 fatty acid supplementation.
30718454	Genome-wide by environment interaction studies of depressive symptoms and psychosocial stress in UK Biobank and Generation Scotland.
30787307	Association study in African-admixed populations across the Americas recapitulates asthma risk loci in non-African populations.
30796134	Genome-wide association meta-analysis of functional outcome after ischemic stroke.
30804558	Identification of common genetic risk variants for autism spectrum disorder.
30817158	A Novel Metabolic Signature To Predict the Requirement of Dialysis or Renal Transplantation in Patients with Chronic Kidney Disease.
30850646	Genome-wide association study in frontal fibrosing alopecia identifies four susceptibility loci including HLA-B*07:02.
30858532	Whole-Exome Sequencing in the Isolated Populations of Cilento from South Italy.
30887811	An Unbiased Lipid Phenotyping Approach To Study the Genetic Determinants of Lipids and Their Association with Coronary Heart Disease Risk Factors.
31089142	Association analyses identify 31 new risk loci for colorectal cancer susceptibility.
31110091	Sociodemographic factors in relation to hypertension prevalence, awareness, treatment and control in a multi-ethnic Asian population: a cross-sectional study.
31118516	Exome sequencing of 20,791 cases of type 2 diabetes and 24,440 controls.
31152163	A catalog of genetic loci associated with kidney function from analyses of a million individuals.
31250787	Genetic Contributions to Health Literacy.
31277774	Genome-wide Association Study for Tumour Stage, Grade, Size, and Age at Diagnosis of Non-muscle-invasive Bladder Cancer.
31349112	Association of PPP2R1A with Alzheimer's disease and specific cognitive domains.
31431621	A metabolic profile of all-cause mortality risk identified in an observational study of 44,168 individuals.
31469419	Identification of novel epithelial ovarian cancer loci in women of African ancestry.
31537649	Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.
31553449	A Polygenic Risk Score for Breast Cancer in US Latinas and Latin American Women.
31604244	Multiple sclerosis genomic map implicates peripheral immune cells and microglia in susceptibility.
31676865	Genome-wide association analysis of venous thromboembolism identifies new risk loci and genetic overlap with arterial vascular disease.
31684996	Genetic regulation of gene expression and splicing during a 10-year period of human aging.
31707363	Age-associated changes in human CD4+ T cells point to mitochondrial dysfunction consequent to impaired autophagy.
31784700	A bird's-eye view of Italian genomic variation through whole-genome sequencing.
31792337	A Weighted Genetic Risk Score of Adult Glioma Susceptibility Loci Associated with Pediatric Brain Tumor Risk.
31802016	The GenomeAsia 100K Project enables genetic discoveries across Asia.
31919107	Large-Scale Whole-Genome Sequencing Reveals the Genetic Architecture of Primary Membranoproliferative GN and C3 Glomerulopathy.
31919934	Genetic risk and atrial fibrillation in patients with heart failure.
31959993	Multitrait analysis of glaucoma identifies new risk loci and enables polygenic prediction of disease susceptibility and progression.
32005116	The incidence and characteristics of accelerated knee osteoarthritis among women: the Chingford cohort.
32066700	Genome-wide study of immune biomarkers in cerebrospinal fluid and serum from patients with bipolar disorder and controls.
32071038	The effect of training GPs in motivational interviewing on incident cardiovascular disease and mortality in people with screen-detected diabetes. Results from the ADDITION-Denmark randomised trial.
