ID	label	proposed type	definition	source URL	source PMID	quote	quote verified	confidence	remark
COHO:0000012	Atopic Dermatitis Research Network	cohort aggregation	A consortium of academic medical centres conducting clinical investigations in people with atopic dermatitis to understand skin immunity and susceptibility to bacterial and viral infections and to develop approaches to prevent infectious complications.	https://www.nationaljewish.org/research-science/clinical-translational-research/atopic-dermatitis-research-network-adrn/overview		a consortium of academic medical centers that will conduct clinical research studies	yes	high	Proposed type change: cohort -> cohort aggregation. The label denotes the research network and its multiple clinical studies; the ADRN registry is one component.
COHO:0000013	Australia Cancer Study	cohort	A case-control collection of women with epithelial ovarian cancer and population controls in Australia, with cases recruited through the New South Wales and Victorian cancer registries alongside the Australian Ovarian Cancer Study to investigate ovarian-cancer risk.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2666187/unicode	PMID:18086758	recruitment through the New South Wales and Victorian Cancer Registries	yes	medium	The input identifies the ovarian-cancer component of the Australian Cancer Study; the label is broader than this documented component.
COHO:0000014	Australian Ovarian Cancer Study	cohort	A case-control collection of Australian women aged 18–79 years with newly diagnosed epithelial ovarian cancer and population controls, recruited during 2002–2006 to investigate ovarian-cancer susceptibility.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2666187/unicode	PMID:18086758	national population-based case-control study of ovarian cancer, the AOCS.	yes	medium	
COHO:0000015	Australian Twin Registry	cohort	A registry of volunteer twin pairs and higher-order multiples in Australia, enrolling members since the late 1970s to support health, medical and scientific research.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Australian+Twin+Registry%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:23200298	The Australian Twin Registry (ATR) is a national volunteer resource of twin pairs and higher-order multiples	yes	high	
COHO:0000016	Avon Longitudinal Study of Parents and Children	cohort	A birth cohort of children and their families recruited through pregnancies in the Bristol area of the United Kingdom during 1990–1992, with later recruitment of eligible children, followed prospectively to investigate genetic and environmental influences on health and development across the life course.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Cohort+profile%22+AND+TITLE%3A%22Avon%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:22507743	Recruitment sought to enroll pregnant women in the Bristol area of the UK during 1990-92	yes	high	
COHO:0000017	Berlin-Frankfurt-Münster trials	cohort aggregation	A project combining successive Berlin–Frankfurt–Münster treatment trials in children and adolescents with acute lymphoblastic leukaemia at centres in Germany, Austria and Switzerland to evaluate risk-adapted treatment, survival and toxicity.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A20010625+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:20010625	6609 children (<18 years of age) were treated in five consecutive trials of the Berlin-Frankfurt-Münster (BFM) study group	yes	medium	Proposed type change: cohort -> cohort aggregation. The plural label denotes a sequence of trials, rather than one trial cohort; the cited report covers 1981–2000.
COHO:0000018	Bladder Cancer Prognosis Programme	cohort	A cohort of patients with newly diagnosed bladder cancer in the West Midlands, United Kingdom, recruited from December 2005 and followed prospectively to investigate lifestyle factors, molecular predictors, recurrence, progression and quality of life.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22West+Midlands+Bladder+Cancer+Prognosis+Programme%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:19751260	a prospective longitudinal cohort study of all patients with newly diagnosed bladder cancer within the West Midlands (UK)	yes	high	
COHO:0000019	Brazilian Cohort	cohort	A cohort of 45 babies from Rio Grande do Norte, Brazil, whose exomes provide population-specific reference variants for genetic investigation and diagnosis of rare diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22Reference+Exome+Data%22+AND+Brazil+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:33087711	sequencing the exomes of 45 babies from Rio Grande do Nord in Brazil.	yes	medium	Identified through the verified exome study; the source spells the state name 'Rio Grande do Nord'.
COHO:0000020	Breast Cancer Association Consortium	cohort aggregation	A consortium of breast-cancer studies that pools participant-level tumour characteristics and epidemiological data to investigate breast-cancer risk factors and differences in the causes of tumour subtypes.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Breast+Cancer+Association+Consortium%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:21191117	34 studies participating in the Breast Cancer Association Consortium.	yes	medium	The retrieved analysis supplies no single recruitment population or period for the consortium.
COHO:0000021	Bruneck study	cohort	A cohort of residents of Bruneck, Italy, sampled by age and sex in 1990 and followed through repeated examinations to investigate atherosclerosis, cardiovascular disease and other age-related disorders.	https://epicenter.i-med.ac.at/research/studies/proof-athero/bruneck/		The Bruneck Study is a general population study based in Bruneck, Italy.	yes	high	
COHO:0000022	Cancer and Leukemia Group B	cohort aggregation	A consortium of institutional cancer trial cohorts, established in 1956 as the Acute Leukemia Group B, that coordinates trials of treatments for adult solid tumours and haematological malignancies to improve patient outcomes and investigate malignant disease biology.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22A+Concise+History+of+the+Cancer+and+Leukemia+Group+B%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:16740784	clinical trials executed uniformly as a cooperative effort among several institutions	yes	medium	The label denotes a cooperative trials group encompassing multiple participant cohorts.
COHO:0000023	Cancer Genome Atlas	cohort aggregation	A project combining genomic characterisation of 33 cancer types through collaboration between the United States National Cancer Institute and National Human Genome Research Institute to map cancer-associated molecular changes and support prevention, diagnosis and treatment.	https://www.cancer.gov/ccg/research/genome-sequencing		has generated comprehensive, multi-dimensional maps of the key genomic changes in 33 types of cancer.	yes	high	Proposed type change: cohort -> cohort aggregation. The label denotes the cross-cancer genomic programme rather than one tumour-type cohort.
COHO:0000024	Cancer Prevention Study	cohort	A cohort of adult men and women across all United States states, the District of Columbia and Puerto Rico, enrolled by the American Cancer Society in 1982 and followed prospectively for mortality in relation to lifestyle, medical history and other exposures.	https://www.cancer.org/research/population-science/pop-sci/prevention-studies/cps-2.html		The Cancer Prevention Study II (CPS-II), which began in 1982, is a prospective mortality study of approximately 1.2 million American men and women.	yes	high	The generic CPS label is interpreted as CPS-II because the verified location source identifies CPS-II; CPS-I and CPS-3 are separate cohorts.
COHO:0000025	Cancer Prostate in Sweden	cohort	A case-control collection of men with newly diagnosed prostate cancer and controls matched by age and residence in Sweden, used to investigate inherited susceptibility to prostate cancer.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22Cancer+Prostate+in+Sweden%22+AND+%22case-control%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:15087412	1383 newly diagnosed prostate cancer patients and 780 age- and residence-matched controls in Sweden.	yes	medium	CAPS here denotes Cancer Prostate in Sweden, not the Caerphilly Prospective Study.
COHO:0000026	Candesartan in Heart failure Assessment of Reduction in Mortality and morbidity	cohort aggregation	A project combining three parallel placebo-controlled trials of candesartan in people with symptomatic heart failure, with reduced or preserved left ventricular function, across 26 countries, to evaluate mortality and hospitalisation; recruitment begins in March 1999.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3ACHARM+AND+%28TITLE%3Adesign+OR+TITLE%3Arationale%29+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:10496201	the CHARM program consists of 3 independent, parallel, placebo-controlled studies	yes	high	Proposed type change: temporary unclassified -> cohort aggregation. The named CHARM programme combines three distinct trial cohorts.
COHO:0000027	Cardio-metabolic Genome Epidemiology Study	cohort	A case-control collection of people with type 2 diabetes and controls from Japan contributing genome-wide association and replication data to investigations of type 2 diabetes susceptibility through the Cardiometabolic Genome Epidemiology Network.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3582398/unicode	PMID:22158537	the Japan Cardiometabolic Genome Epidemiology Network(CAGE)	yes	low	Proposed type change: temporary unclassified -> cohort. The source identifies CAGE as a Japanese case-control contributor; recruitment dates and finer population details are not supplied in the retrieved passage.
COHO:0000028	Cardiogenics Study	cohort	A case-control collection of patients with myocardial infarction and unaffected controls recruited in Cambridge, Leicester, Lübeck, Regensburg and Paris for investigation of coronary-disease genetics, including gene expression in monocytes and macrophages.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3314981/	PMID:22325189	five centres: Cambridge (UK), Leicester (UK), Lübeck (Germany), Regensburg (Germany), and Paris (France)	yes	medium	
COHO:0000029	CARDIoGRAMplusC4D	cohort aggregation	A consortium of coronary-disease genetic studies combining European, South Asian and East Asian case-control data to identify susceptibility variants for coronary artery disease and myocardial infarction. CARDIoGRAMplusC4D joins the Coronary Artery Disease Genome-wide Replication and Meta-analysis and Coronary Artery Disease Genetics consortia.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10703441/unicode	PMID:38060277	combined genetic data from diverse large-scale studies to determine risk loci for CAD and myocardial infarction	yes	medium	Proposed type change: cohort -> cohort aggregation.
COHO:0000030	Carolina Head and Neck Cancer Epidemiology	cohort	A case-control collection of people with newly diagnosed squamous-cell head and neck cancer and controls matched by age, race and sex, recruited during 2002–2006 in 46 North Carolina counties to investigate cancer risk factors.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2925153/unicode	PMID:20049634	carried out in 2002–2006 in 46 counties in North Carolina.	yes	medium	
COHO:0000031	CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)	cohort	A biobank of men and women aged 40–69 years sampled from four metropolitan areas in Quebec, with prospective health information and biological specimens for investigating genetic and environmental determinants of chronic disease.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3ACARTaGENE+AND+%28TITLE%3Acohort+OR+TITLE%3Ahealth%29+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:23071140	CaG targeted the segment of the population that is most at risk of developing chronic disorders, that is 40-69 years of age	yes	high	
COHO:0000032	Center for Autism Research and Treatment	not a cohort	A research and clinical centre at the University of California, Los Angeles, that investigates autism, provides patient care and trains researchers and clinicians working with autistic children and adults and their families.	https://teams.semel.ucla.edu/autism/mission		through its research, patient care, and training of the next generation of researchers and clinical practitioners.	yes	high	Proposed type change: cohort -> not a cohort. The label denotes a university centre; people recruited through the centre are a separate participant collection.
COHO:0000033	Center on Antisocial Drug Dependence	not a cohort	A Colorado research centre founded in 1997 that investigates genetic contributions to adolescent externalising behaviours, including drug abuse and conduct disorder.	https://www.colorado.edu/ibg/about-ibg/institute-behavioral-genetics-50-years-excellence-1967-2017		Colorado Center on Antisocial Drug Dependence, founded in 1997	yes	high	Proposed type change: cohort -> not a cohort. The label denotes the research centre; its family, twin and adoption samples are distinct participant collections.
COHO:0000034	Centre dEtude du Polymorphisme Humain	not a cohort	A research foundation, the Centre d’Etude du Polymorphisme Humain, that investigates human genetic variation, particularly in complex diseases, to improve understanding, diagnosis and personalised medicine.	https://www.fjd-ceph.org/		participe aux efforts nationaux et internationaux de recherche pour mieux déterminer le rôle du polymorphisme génétique chez l’Homme	yes	high	Proposed type change: cohort -> not a cohort. The label denotes the Jean Dausset–CEPH foundation; CEPH reference families are a distinct collection and require their own cohort label.
COHO:0000035	Centre National de Génotypage	not a cohort	A nonprofit genomics research organisation established in 1998 by the French Ministry of Research and New Technologies at Genopole in Évry, near Paris, taking over the genomic activities of Généthon.	https://ec.europa.eu/health/ph_threats/non_com/docs/ev_pre2005_frep_en.pdf		The CNG is a non-profit research organisation based at Genopole, Evry, near Paris.	no	medium	Proposed type change: cohort -> not a cohort. The label denotes a genotyping research institution, not a participant collection; source is its description in a European Commission conference report.
COHO:0000036	Chicago Asthma Genetics	cohort	A cohort of adults and children aged at least six years with clinically confirmed asthma, recruited through asthma clinics at the University of Chicago Medical Center for genetic investigation of asthma.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3548570/unicode	PMID:21798578	Participants were recruited through the adult and pediatric asthma clinics at the University of Chicago Medical Center	yes	medium	
COHO:0000037	Children, Allergy, Milieu, Stockholm, Epidemiology	cohort	A birth cohort of children enrolled at three to four months of age between 1994 and 1996 for prospective investigation of environmental, genetic and socioeconomic determinants of childhood asthma, allergic disease and their prognosis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3ABAMSE+AND+%28TITLE%3Acohort+OR+TITLE%3Abirth%29+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:12688617	establish crucial risk factors for asthma and other allergic diseases in childhood	yes	high	The retrieved design-paper abstract does not specify recruitment location.
COHO:0000038	Cholesterol and Atherosclerosis Pharmacogenetics	cohort	A cohort of African-American and White men and women completing six weeks of open-label simvastatin treatment to investigate genetic, demographic and clinical determinants of lipid-lowering response.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Cholesterol+and+Pharmacogenetics%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:16516587	944 African-American and white men and women who completed an open-label, 6-week pharmacogenetics trial of 40 mg of simvastatin.	yes	medium	The retrieved paper calls CAP 'Cholesterol and Pharmacogenetics'; the ontology label adds 'Atherosclerosis'. Recruitment place is absent from the abstract.
COHO:0000039	Cilento study	cohort	A cohort of residents of the genetically isolated villages Campora, Gioi and Cardile in Cilento, southern Italy, providing genealogical and genomic data to investigate human genetic variation and the inherited determinants of complex traits and disease.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC6411969/unicode	PMID:30858532	three small villages (Campora, Gioi, and Cardile) located in an inland area of the “National Park of Cilento and Vallo di Diano”, in Southern Italy	yes	medium	
COHO:0000040	COIN	cohort	A randomised trial cohort of patients with advanced colorectal cancer in the Continuous or Intermittent (COIN) trial, comparing uninterrupted oxaliplatin and fluoropyrimidine chemotherapy with planned treatment breaks to assess survival and treatment burden.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4800295/unicode	PMID:26889974	patients with advanced colorectal cancer were randomised to receive intermittent vs continuous systemic therapy with oxaliplatin and fluoropyrimidine.	yes	medium	Proposed type change: temporary unclassified -> cohort. The cited analysis describes the continuous-versus-intermittent comparison; recruitment geography is not specified in the retrieved passage.
COHO:0000041	COIN-B	cohort	A randomised trial cohort of patients with advanced colorectal cancer and no previous chemotherapy for metastases, recruited at 30 UK hospitals and one in Cyprus to compare intermittent chemotherapy combined with either intermittent or continuous cetuximab.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22COIN-B%22+AND+cetuximab+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:24703531	COIN-B was an open-label, multicentre, randomised, exploratory phase 2 trial done at 30 hospitals in the UK and one in Cyprus.	yes	medium	Proposed type change: temporary unclassified -> cohort. The primary trial report uses COIN-B without an expanded name.
COHO:0000042	Colorectal Cancer Study of Austria	cohort	A case-control collection of Austrian participants with colorectal cancer or colorectal polyps and colonoscopy-confirmed polyp-free controls, assembled to investigate genetic susceptibility to colorectal neoplasia.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22Colorectal+Cancer+Study+of+Austria%22+AND+%28TITLE%3Adesign+OR+TITLE%3Agenetic%29+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:22495810	our ongoing colorectal cancer study of Austria (CORSA) comprised 3,842 Caucasian participants	yes	medium	
COHO:0000043	Consortium for the Longitudinal Evaluation of African Americans with Early Rheumatoid Arthritis	cohort aggregation	A project combining longitudinal and cross-sectional registry cohorts of African Americans with rheumatoid arthritis recruited through United States clinical centres to investigate genetic, clinical and environmental determinants of disease severity.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3052790/	PMID:20461784	CLEAR I, a longitudinal cohort of early RA (disease duration <2 years) from 2000 to 2005	yes	medium	Proposed type change: cohort -> cohort aggregation. The source distinguishes CLEAR I and CLEAR II as separate cohorts; the umbrella label encompasses both.
COHO:0000044	Consortium of Minority Population Genome-Wide Association Studies of Stroke	cohort aggregation	A consortium of stroke cohorts from minority populations, including African Americans, that combines genome-wide association results to identify genetic susceptibility to stroke.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22Consortium+of+Minority+Population%22+AND+TITLE%3Astroke+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:26089329	The Consortium of Minority Population Genome-Wide Association Studies of Stroke (COMPASS) was established to identify stroke susceptibility loci in minority populations.	yes	medium	Proposed type change: cohort -> cohort aggregation.
COHO:0000045	Cooperative Health Research in the Region of Augsburg	cohort aggregation	A project combining population surveys, follow-up cohorts and an acute myocardial infarction registry in the Augsburg region, established in 1996 to extend MONICA and support epidemiological, genetic, health-economic and health-care research.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3AKORA+AND+TITLE%3Aplatform+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:16032513	a regional research platform for population-based surveys and subsequent follow-up studies in the fields of epidemiology, health economics, and health care research.	yes	high	Proposed type change: cohort -> cohort aggregation. KORA is described as a research platform containing multiple MONICA/KORA cohorts and a registry.
COHO:0000046	Copenhagen Hospital Biobank	cohort	A biobank of patients receiving hospital care in the Capital Region of Denmark, established at Rigshospitalet in Copenhagen in February 2009 and subsequently expanded to other hospitals, retaining leftover clinical blood samples to enable research on health and disease.	https://academic.oup.com/ije/article/50/3/719/5965137	PMID:33169150	in early 2012 was expanded to also include leftover blood samples from the remaining general hospitals in the capital area of the Region.	no	high	
COHO:0000047	CROATIA-Korcula Study	cohort	A cohort of adult volunteers recruited on Korčula island, Croatia, from 2007 to 2014 for family-based, cross-sectional investigation of genetic variants associated with common diseases, including cardiovascular disease, diabetes, glaucoma and stroke.	https://metadata.ega-archive.org/studies/EGAS00001008043		adult volunteers recruited in the island of Korčula, Croatia between 2007 and 2014.	yes	medium	Official EGA study description.
COHO:0000048	Danish Glostrup Cohort	cohort	A cohort of men and women in the Danish Glostrup population examined at age 60 to investigate inflammatory, haemostatic and genetic correlates of atherosclerosis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A12871360+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:12871360	We have evaluated 325 men and 370 women of 60 years, participating in the Danish Glostrup study.	yes	medium	The source identifies a Glostrup cohort examined at age 60 but does not explicitly confirm the ontology's 1936 birth-year qualifier.
COHO:0000049	Diabetes Genetics in Pakistan	cohort	A case-control collection of people of Punjabi ancestry, predominantly originating from Mirpur, Pakistan, with type 2 diabetes or normal glucose regulation, assembled to investigate genetic susceptibility to diabetes and related glycaemic traits.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3176767/unicode	PMID:21949744	the Diabetes Genetics in Pakistan study (DGP; 821 participants with type 2 diabetes, 1167 without).	yes	medium	
COHO:0000050	Diabetes in Mexico Study	cohort	A cohort of people with type 2 diabetes and controls in Mexico City, Mexico, with a prospective design and genetic data used to investigate susceptibility to type 2 diabetes.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4127086/unicode	PMID:24390345	Diabetes in Mexico Study (DMS) Mexico City, Mexico Prospective Cohort	yes	medium	Distinct from the Mexico City Diabetes Study, which appears separately in the source table.
COHO:0000051	Diabetes Prevention Program	cohort	A randomised trial cohort of people with impaired glucose tolerance and elevated fasting glucose recruited at 27 United States centres to compare lifestyle intervention, metformin and placebo for delaying or preventing type 2 diabetes.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A10189543+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:10189543	testing strategies to prevent or delay the development of type 2 diabetes in high-risk individuals with elevated fasting plasma glucose concentrations and impaired glucose tolerance.	yes	high	
COHO:0000052	Diabetes Reduction Assessment with Ramipril and Rosiglitazone Medication	cohort	A randomised trial cohort of people with impaired fasting glucose or impaired glucose tolerance from 21 countries, assigned in a factorial design to ramipril, rosiglitazone or corresponding placebos to evaluate prevention of diabetes and effects on atherosclerosis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A15322749+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:15322749	People with impaired fasting glucose or impaired glucose tolerance were randomised to ramipril (15 mg/day) or placebo and rosiglitazone (8 mg/day) or placebo	yes	high	
COHO:0000053	Diabetes Research on Patient Stratification	cohort aggregation	A project combining prospective European cohorts of people with prediabetes and newly diagnosed type 2 diabetes to discover biomarkers of glycaemic deterioration, treatment response and diabetes subtypes through repeated metabolic and molecular assessment.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22IMI+DIRECT%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:24695864	This paper describes two new prospective cohort studies conducted as part of DIRECT.	yes	high	Proposed type change: temporary unclassified -> cohort aggregation. DIRECT includes two distinct prospective cohorts within a wider biomarker consortium.
COHO:0000054	Dortmund Health Study	cohort	A cohort of residents of Dortmund recruited during 2003–2004 and followed through questionnaires to investigate the frequency and consequences of headache and other chronic conditions, including their relationships with social factors.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22736161+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:22736161	assessment of the prevalence and incidence of different headache types as well as other chronic conditions	yes	high	DHS is the Dortmund Health Study, not the deCODE Health Study or Diabetes Heart Study; the abstract does not state the country.
COHO:0000055	Duke Cognition Cohort	cohort	A cohort of adults in the United States with cognitive and genetic measurements contributing to research on genetic influences on general cognitive function.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5322272/unicode	PMID:28093568	DCC Duke Cognition Cohort USA 1193 27.1 11.6 18 77	yes	low	Cohort identification and age range occur in a consortium table; recruitment procedures are not described in the retrieved passage.
