ID	label	verdict	example study	PMID	quote	URL	quote verified	confidence	remark
COHO:0000015	Australian Twin Registry	found	GCST000289	PMID:19060911	Australian twin registry	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2687074/unicode	yes	high	
COHO:0000016	Avon Longitudinal Study of Parents and Children	confirmed, upheld on re-review	EGAS00001005273		Avon Longitudinal Study of Parents and Children	https://ega-archive.org/studies/EGAS00001005273	yes	high	
COHO:0000017	Berlin_Frankfurt_Munster trials	found	GCST003798	PMID:27694927	ascertained through the Berlin–Frankfurt–Münster (BFM) trials (1993–2004)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5336191	yes	high	
COHO:0000018	Bladder Cancer Prognosis Programme	replaced	EGAS00001004358	PMID:35655252	as part of the Bladder Cancer Prognosis Programme (BCPP)	https://europepmc.org/articles/PMC9164468	yes	low	Replacement is a BCPP sequencing study with released EGA RNA data. Original catalog lists BCPP, but original full cohort description could not be accessed.
COHO:0000019	Brazilian Cohort	confirmed, unverified on re-review	EGAS00001004112		identified in at least one individual in this Brazilian Cohort	https://ega-archive.org/studies/EGAS00001004112	yes	low	Identity unresolved: this is a descriptive phrase for 45 Brazilian babies, not an identifiable named cohort; COHO and list.tsv provide no provenance linking their generic label to these participants.
COHO:0000020	Breast Cancer Association Consortium	confirmed, upheld on re-review	EGAS50000001477		17,265 breast cancer patients of European descent, from studies participating in the Breast Cancer Association Consortium	https://ega-archive.org/studies/EGAS50000001477	yes	high	
COHO:0000021	Bruneck study	confirmed, upheld on re-review	EGAS00001004453		Elderly microbiome from the Bruneck study	https://ega-archive.org/studies/EGAS00001004453	yes	high	
COHO:0000022	Cancer and Leukemia Group B	confirmed, upheld on re-review	GCST90020034	PMID:34528705	The phase III clinical trials included in this study are from the Cancer and Leukemia Group B	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8627468/unicode	yes	high	
COHO:0000023	Cancer Genome Atlas	confirmed, upheld on re-review	EGAS00001004001	PMID:32585557	normal mucosa miRNA expression data from The Cancer Genome Atlas database	https://ega-archive.org/studies/EGAS00001004001	yes	high	
COHO:0000024	Cancer Prevention Study	found		PMID:37783704	Cancer Prevention Study II (CPSII)	https://europepmc.org/articles/PMC10545678	yes	high	CPS-II used as an independent colorectal cancer PRS validation cohort.
COHO:0000025	Cancer Prostate in Sweden	replaced	GCST001942	PMID:23535732	Cancer of the Prostate in Sweden (CAPS)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3832790	yes	high	Original CaPS match refers to the Caerphilly Prospective Study.
COHO:0000026	Candesartan in Heart failure Assessment of Reduction in Mortality and morbidit	found	GCST90134326	PMID:35736394	Candesartan in Heart failure Assessment of Reduction in Mortality and morbidity (CHARM)	https://europepmc.org/articles/PMC9715825	yes	high	
COHO:0000027	Cardio-metabolic Genome Epidemiology Study	confirmed, upheld on re-review	GCST90002243	PMID:34059833	Cardiometabolic Genome Epidemiology 1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7610958/supplementaryFiles#EMS120610-supplement-Supplementary_Tables.xlsx	yes	high	
COHO:0000028	Cardiogenics Study	confirmed, upheld on re-review	EGAS00001000411	PMID:21965548	As part of the Cardiogenics project, RNA from monocytes and macrophages of 363 patients with coronary artery disease	https://ega-archive.org/studies/EGAS00001000411	yes	high	
COHO:0000029	CARDIoGRAMplusC4D	replaced		PMID:23202125	The CARDIoGRAMplusC4D Consortium	https://www.nature.com/articles/ng.2480	no	high	Original EGA is a pending proposal describing future validation; replacement is the published consortium association analysis.
COHO:0000030	Carolina Head and Neck Cancer Epidemiology	confirmed, upheld on re-review	GCST90085699	PMID:34642315	Carolina Head and Neck Cancer Epidemiology	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8511029/supplementaryFiles#41467_2021_26151_MOESM1_ESM.pdf	yes	high	
COHO:0000031	CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)	confirmed, upheld on re-review	GCST90711137	PMID:38970920	20,010 ethnically matched controls from CARTaGENE	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A38970920+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000032	Center for Autism Research and Treatment	found		PMID:22318914	Participants were recruited through UCLA’s Center for Autism Research and Treatment	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3272329/unicode	yes	medium	COHO names the UCLA research centre; this paper explicitly recruited participants there.
COHO:0000033	Center on Antisocial Drug Dependence	confirmed, upheld on re-review	GCST90133114	PMID:35534559	The Center on Antisocial Drug Dependence	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9110300/supplementaryFiles#41588_2022_1062_MOESM1_ESM.pdf	yes	high	
COHO:0000034	Centre dEtude du Polymorphisme Humain	found		PMID:26432245	Utah residents (CEPH) with northern and western European ancestry	https://europepmc.org/articles/PMC4750478	yes	medium	CEPH reference samples are explicitly identified; no dedicated GCST/EGAS accession verified.
COHO:0000035	Centre National de G_notypage	not_found			Centre National de Génotypage	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC13534482/unicode	no	low	Full-name/acronym searches found the French genotyping institution among funding/affiliation statements, but no uniquely identified participant cohort or trustworthy example.
COHO:0000036	Chicago Asthma Genetics	replaced	GCST001739	PMID:23146381	the Chicago Asthma Genetics Study (CAG)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3596497/unicode	yes	low	More directly documented example: original catalog lists CAG, but its detailed supplementary cohort description could not be retrieved; replacement explicitly names CAG.
COHO:0000037	Children, Allergy, Milieu, Stockholm, Epidemiology	confirmed, upheld on re-review	EGAS00001002746	PMID:29496485	Children, Allergy, Milieu, Stockholm, Epidemiology	https://ega-archive.org/studies/EGAS00001002746	yes	high	
COHO:0000038	Cholesterol and Atherosclerosis Pharmacogenetics	replaced	GCST000635	PMID:20339536	The Cholesterol and Pharmacogenetics (CAP) trial involved 944 healthy volunteers	https://europepmc.org/articles/PMC2842298	yes	low	Replacement explicitly describes the CAP statin trial, one of three analyzed cohorts; original PCSK9 full text/supplement could not be accessed.
COHO:0000039	Cilento study	confirmed, upheld on re-review	GCST90029072	PMID:34413389	A GWAS meta-analysis of PlGF circulating levels was performed in 2068 individuals from three isolated populations of Cilento, South Italy	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8376970/fullTextXML	yes	high	
COHO:0000040	COIN	confirmed, upheld on re-review	EGAS00001005421		Genotype data from the COIN and COIN-B trials	https://ega-archive.org/studies/EGAS00001005421	yes	high	
COHO:0000041	COIN-B	confirmed, upheld on re-review	EGAS00001005421		Genotype data from the COIN and COIN-B trials	https://ega-archive.org/studies/EGAS00001005421	yes	high	
COHO:0000042	Colorectal Cancer Study of Austria	confirmed, upheld on re-review	GCST012878	PMID:30510241	Colorectal Cancer Study of Austria	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-018-0286-6/MediaObjects/41588_2018_286_MOESM3_ESM.xlsx#text	yes	high	
COHO:0000043	Consortium for the Longitudinal Evaluation of African Americans with Early Rheumatoid Arthritis	confirmed, upheld on re-review	GCST90258645	PMID:35925860	Meta-analysis with summary statistics from an African-American cohort (CLEAR study)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A35925860+AND+src%3Amed&format=json&resultType=core	yes	medium	
COHO:0000044	Consortium of Minority Population Genome-Wide Association Studies of Stroke	confirmed, upheld on re-review	GCST90482715	PMID:38317187	Consortium of Minority Population GWAS of Stroke	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10840175/fullTextXML	yes	high	
COHO:0000045	Cooperative Health Research in the Region of Augsburg	confirmed, upheld on re-review	GCST004365	PMID:28240269	1,000 individuals of the population-based KORA (Cooperative Health Research in the Region of Augsburg) study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5333359/fullTextXML	yes	high	
COHO:0000046	Copenhagen Hospital Biobank	confirmed, upheld on re-review	GCST90132618	PMID:35751511	the Copenhagen Hospital Biobank	https://pmc.ncbi.nlm.nih.gov/articles/PMC10148738/	yes	high	
COHO:0000047	CROATIA-Korcula Study	confirmed, upheld on re-review	EGAS00001008043		CROATIA-Korcula Study	https://ega-archive.org/studies/EGAS00001008043	yes	high	
COHO:0000048	Danish Glostrup Cohort	found		PMID:12871360	participating in the Danish Glostrup study	https://europepmc.org/article/MED/12871360	yes	high	
COHO:0000049	Diabetes Genetics in Pakistan	found		PMID:21949744	Diabetes Genetics in Pakistan study (DGP; 821 participants with type 2 diabetes, 1167 without)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3176767/unicode	yes	high	
COHO:0000050	Diabetes in Mexico Study	found	GCST002317	PMID:24390345	Diabetes in Mexico Study (DMS)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4127086/unicode	yes	high	
COHO:0000051	Diabetes Prevention Program	confirmed, upheld on re-review	GCST90132306	PMID:35621206	The DPP (Diabetes Prevention Program) was a randomized clinical trial	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9238724/fullTextXML	yes	high	
COHO:0000052	Diabetes Reduction Assessment with Ramipril and Rosiglitazone Medication	found		PMID:20628086	We genotyped 4,197 participants of the multiethnic DREAM (Diabetes REduction Assessment with ramipril and rosiglitazone Medication) trial	https://europepmc.org/articles/PMC2945168	yes	high	
COHO:0000053	Diabetes Research on Patient Stratification	confirmed, upheld on re-review	GCST90255674	PMID:36528349	four prospective observational cohorts (DIRECT, PRIBA, PROMASTER, and GoDARTS)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A36528349+AND+src%3Amed&format=json&resultType=core	yes	medium	
COHO:0000054	Dortmund Health Study	replaced	GCST000340	PMID:19198609	Acute MI Gene Study/Dortmund Health Study	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2681011	yes	high	Original DHS means deCODE health study in Iceland.
COHO:0000055	Duke Cognition Cohort	replaced	GCST004077	PMID:28093568	DCC Duke Cognition Cohort USA	https://europepmc.org/articles/PMC5322272	yes	high	Original diabetes study uses Durban Case Control (DCC), not Duke cognition.
COHO:0000056	DUNDEE	rejected			Edinburgh, Glasgow, Dundee and Aberdeen	https://ega-archive.org/studies/EGAS00001004410	no	low	Dundee is a recruitment city in Scottish ovarian cancer, not an identified DUNDEE cohort; no replacement could be assigned to this underspecified label.
COHO:0000057	Durban Diabetes Study	confirmed, upheld on re-review	GCST90101745	PMID:35546142	Durban Diabetes Study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9095599/fullTextXML	yes	high	
COHO:0000058	Dutch and Belgian Lung Cancer Screening Trial	confirmed, upheld on re-review	GCST90278455	PMID:37770635	NELSON; European Ancestry; Dutch Minister of Health	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01518-4/MediaObjects/41588_2023_1518_MOESM4_ESM.xlsx#text	yes	medium	
COHO:0000059	Dutch Microbiome Project	confirmed, upheld on re-review	EGAS00001005027		The Dutch Microbiome Project (DMP) data includes raw data generated by shotgun metagenomic sequencing of faecal samples of 8,208 Dutch individuals	https://ega-archive.org/studies/EGAS00001005027	yes	high	
COHO:0000060	Edinburgh Stroke Study	confirmed, upheld on re-review	GCST90301368	PMID:39286457	The Edinburgh Stroke Study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11403718/supplementaryFiles#Table1.DOCX	no	high	
COHO:0000061	ENGAGE AF-TIMI 48	confirmed, upheld on re-review	GCST90559230	PMID:40050429	ENGAGE AF-TIMI 48 (TIMI 48)	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-024-02072-3/MediaObjects/41588_2024_2072_MOESM1_ESM.pdf#text	yes	high	
COHO:0000062	EPIGEN	found		PMID:26124090	We present the results of the EPIGEN Brazil Initiative	https://europepmc.org/article/MED/26124090	yes	high	
COHO:0000063	Erasmus Rucphen Family Study	confirmed, upheld on re-review	GCST90239992	PMID:26068415	The Erasmus Rucphen Family	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fncomms8208/MediaObjects/41467_2015_BFncomms8208_MOESM952_ESM.pdf	no	high	
COHO:0000064	Estonian Biobank	confirmed, upheld on re-review	EGAS00001005900		As part of the Estonian Biobank, we established the Estonian Microbiome Cohort	https://ega-archive.org/studies/EGAS00001005900	yes	high	
COHO:0000065	European Prospective Investigation into Cancer	confirmed, upheld on re-review	EGAS00001006432		European Prospective Investigation into Cancer and Nutrition	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13047241/fullTextXML	yes	high	
COHO:0000066	European Prospective Investigation of Cancer-Norfolk	confirmed, upheld on re-review	GCST90097055	PMID:34836419	5841 participants from the EPIC-Norfolk study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8620763/fullTextXML	yes	high	
COHO:0000067	EuroTARGET project	confirmed, upheld on re-review	GCST90133314	PMID:35740506	a cohort of mRCC patients as recruited by the EuroTARGET consortium	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9220885/fullTextXML	yes	high	
COHO:0000068	Extremely Low Gestational Age Newborns	replaced		PMID:32721520	data were leveraged from the previously established Extremely Low Gestational Age Newborns (ELGAN) cohort	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC7855285/unicode	yes	high	Original EGA concerns a Spanish preterm-infant cohort; replacement uses the US ELGAN cohort.
COHO:0000069	Fatty Acid Sensor Study	found		PMID:30624603	A total of 208 participants of the Fatty Acid Sensor (FAS) Study	https://europepmc.org/article/MED/30624603	yes	high	
COHO:0000070	Finnish Twin Cohort Study	confirmed, upheld on re-review	GCST90032674	PMID:34668383	the Finnish Twin Cohort study consists of Finnish adult twins	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8751832/fullTextXML	yes	high	
COHO:0000071	FINRISK	confirmed, upheld on re-review	EGAS00001000020		individuals from the FINRISK study both of whose parents are born in Kuusamo, Posio or Taivalkoski	https://ega-archive.org/studies/EGAS00001000020	yes	high	
COHO:0000072	Flemish Gut Flora Project	confirmed, upheld on re-review	EGAS00001001689		individuals from the Flemish Gut Flora Project	https://ega-archive.org/studies/EGAS00001001689	yes	high	
COHO:0000073	Gabriel Advanced Survey	found		PMID:21345099	GABRIELA (Multidisciplinary Study to Identify the Genetic and Environmental Causes of Asthma in the European Community [GABRIEL] Advanced Study)	https://europepmc.org/article/MED/21345099	yes	high	
COHO:0000074	GCAT. Genomes For Life.	confirmed, upheld on re-review	EGAS00001003018	PMID:29593016	GCAT | Genomes for life: cohort study of the genomes of Catalonia	https://ega-archive.org/studies/EGAS00001003018	yes	high	
COHO:0000075	GENESIS	replaced		PMID:26406445	GENESIS (GENE SISters) is a French national study	https://europepmc.org/articles/PMC4583250	yes	high	Original stroke study uses UK GENESIS/DNA Lacunar; replacement sequenced French familial breast cancer cases.
COHO:0000076	Genetic Analysis of Multiple Sclerosis	confirmed, upheld on re-review	EGAS00000000101		The Genetic Analysis of multiple sclerosis	https://ega-archive.org/studies/EGAS00000000101	yes	high	
COHO:0000077	Genetic Consortium for Anorexia Nervosa	confirmed, upheld on re-review	EGAS00001000913		As part of the Genetic Consortium for Anorexia Nervosa	https://ega-archive.org/studies/EGAS00001000913	yes	high	
COHO:0000078	Genetic Epidemiology of Asthma in Costa Rica	confirmed, upheld on re-review	GCST90502911	PMID:40216759	Genetic Epidemiology of Asthma in Costa Rica	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11992084/supplementaryFiles#41467_2025_58420_MOESM1_ESM.pdf	no	high	
COHO:0000079	Genetic Overlap between Metabolic and Psychiatric traits	confirmed, upheld on re-review	GCST90132184	PMID:35551307	Genetic Overlap between Metabolic and Psychiatric traits	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-022-01058-3/MediaObjects/41588_2022_1058_MOESM3_ESM.xlsx	yes	high	
COHO:0000080	Genetic Prostate cancer risk stratification for targeted screening	found		PMID:27151655	The PROFILE Feasibility Study: Targeted Screening of Men With a Family History of Prostate Cancer	https://europepmc.org/articles/PMC4912360	yes	high	Candidate PROFILE_Metagenomics concerns Crohn disease, not prostate screening.
COHO:0000081	Genetic Research in Isolated	confirmed, upheld on re-review	EGAS00001001134		ERF is embedded in the Genetic Research in Isolated Population (GRIP) program	https://ega-archive.org/studies/EGAS00001001134	yes	high	
COHO:0000082	Genetics of diabetes Audit and Research	confirmed, upheld on re-review	GCST90860840	PMID:40136285	Genetics of Diabetes Audit and Research in Tayside Scotland study	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A40136285+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000083	Genetics of Healthy Aging	confirmed, upheld on re-review	GCST90726611	PMID:42176242	the GEnetics of Healthy Ageing (GEHA) project	https://doi.org/10.1007/s11357-026-02334-4	no	medium	Full-name match to the European GEHA project; this analysis uses its Calabrian participants. COHO records only Netherlands.
COHO:0000084	GenomeAsia 100K project	confirmed, upheld on re-review	EGAS00001002921	PMID:31802016	Here we describe the pilot phase of the GenomeAsia 100K Project	https://ega-archive.org/studies/EGAS00001002921	yes	high	
COHO:0000085	German Multiple Myeloma Study Group	confirmed, upheld on re-review	GCST90451657	PMID:39103364	658 German GMMG patients	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11300596/fullTextXML	yes	medium	
COHO:0000086	Ghana Prostate Study	confirmed, upheld on re-review	GCST90274715	PMID:37945903	Ghana Prostate Study	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01534-4/MediaObjects/41588_2023_1534_MOESM4_ESM.xlsx	yes	high	
COHO:0000087	Glaucoma Inheritance Study in Tasmania	found		PMID:30267046	the Glaucoma Inheritance Study in Tasmania, ascertained glaucoma cases	https://europepmc.org/article/MED/30267046	yes	high	
COHO:0000088	Greece Hellenic Isolated Cohorts	confirmed, upheld on re-review	GCST90059895	PMID:34857772	MANOLIS and Pomak, are part of the Hellenic Isolated Cohorts	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8640022/fullTextXML	yes	high	
COHO:0000089	Health and Retirement Study	replaced	GCST006900	PMID:30124842	an independent sample from the Health and Retirement Study (HRS)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6488973	yes	high	Original accession contains ELSA data and mentions HRS only for prospective comparison.
COHO:0000090	Health2000 Study	confirmed, upheld on re-review	GCST90093140	PMID:34847907	data of the national Health 2000 Survey (BRIF8901) in Finland	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A34847907+AND+src%3Amed&format=json&resultType=core	yes	high	
COHO:0000091	Heart Protection Study	confirmed, upheld on re-review	GCST90061371	PMID:34601942	Heart Protection Study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8542067/fullTextXML	yes	high	
COHO:0000092	Hoorn Diabetes Care System	confirmed, upheld on re-review	EGAS00001002776	PMID:28588112	Hoorn Diabetes Care System (DCS) Cohort	https://ega-archive.org/studies/EGAS00001002776	yes	high	
COHO:0000093	Hospital Discharge Register Sweden	found		PMID:32117730	By using the Swedish Cancer Register and the Swedish Hospital Discharge Register	https://europepmc.org/articles/PMC7010720	yes	high	
COHO:0000094	Human Genetics Initiative	replaced	GCST000387	PMID:19416921	National Institute of Mental Health Human Genetics Initiative Repository	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2678639	yes	high	Original HGI is the COVID-19 Host Genetics Initiative.
COHO:0000095	Hunter Community Study	replaced		PMID:27030319	The results were replicated in an independent cohort, the Hunter Community Study	https://europepmc.org/articles/PMC4814826	yes	low	Replacement is a three-cohort ApoH study explicitly identifying Hunter replication samples; original lipid/sleep supplementary cohort description could not be accessed.
COHO:0000096	Icelandic Cancer Registry	found		PMID:39886913	All patients diagnosed with CRC and EC according to the Icelandic Cancer Registry in 2020–2022 were included.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC11811529/unicode	yes	high	Candidate ICR means immune checkpoint receptors, not the Icelandic Cancer Registry.
COHO:0000097	Identification of Men with a genetic predisposition to ProstAte Cancer	found		PMID:24484606	IMPACT (Identification of Men with a genetic predisposition to ProstAte Cancer: Targeted screening in BRCA1/2 mutation carriers and controls)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4105321/unicode	yes	high	
COHO:0000098	IIBDGC genotyped CD study	confirmed, upheld on re-review	GCST90137949	PMID:28506689	All DNA samples used in the present study were collected through the IIBDGC	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5526723/unicode	yes	high	
COHO:0000099	Indiana Sisters Study	found		PMID:23074152	Indiana Sisters Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3691010/unicode	yes	high	
COHO:0000100	INfancia y Medio Ambiente Project	replaced	GCST007713	PMID:30850646	1061 individuals from the INfancia y Medio Ambiente (INMA) project	https://europepmc.org/articles/PMC6408457	yes	low	Replacement explicitly identifies Spanish INMA controls; original 2023 letter full text could not be accessed.
COHO:0000101	International Cancer Genome Consortium-Chronic Lymphocytic Leukemia	found	EGAS00000000092	PMID:21642962	The CLL Genome Project, as a contributing member of the International Cancer Genome Consortium (ICGC)	https://ega-archive.org/studies/EGAS00000000092	yes	high	Candidate EGAS00001000215 is ICGC PedBrain, not CLL; this released EGA study explicitly identifies ICGC-CLL.
COHO:0000102	International Headache Genetics Consortium	replaced	GCST003720	PMID:27322543	International Headache Genetics Consortium (IHGC)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5331903	yes	high	Replaced a mixed neurological collection and epilepsy PMID with a migraine study.
COHO:0000103	International Multiple Sclerosis Genetics Consortium	confirmed, upheld on re-review	EGAS00001003216		UK Multiple Sclerosis (MS) cases that were recruited through the University of Cambridge and included in the IMSGC Replicationchip experiment	https://ega-archive.org/studies/EGAS00001003216	yes	high	
COHO:0000104	International Schizophrenia Consortium	found	GCST000434	PMID:19571811	We genotyped the International Schizophrenia Consortium (ISC) case-control sample	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3912837/unicode	yes	high	
COHO:0000105	Italian Network on Genetic Isolates Studies	found		PMID:31784700	These populations belong to the INGI (Italian Network of Genetic Isolates) network.	https://europepmc.org/articles/PMC7080768	yes	high	
COHO:0000106	Leeds Melanoma Cohort	confirmed, upheld on re-review	EGAS00001001158		Leeds Melanoma Cohort	https://ega-archive.org/studies/EGAS00001001158	yes	high	
COHO:0000107	Leiden Longevity Study	confirmed, upheld on re-review	GCST90239997	PMID:26068415	Leiden Longevity Study	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fncomms8208/MediaObjects/41467_2015_BFncomms8208_MOESM952_ESM.pdf	no	high	
COHO:0000108	LifeLines	confirmed, upheld on re-review	EGAS00001003944	PMID:32679392	Lifelines population living in the Northern parts of the Netherlands	https://ega-archive.org/studies/EGAS00001003944	yes	high	
COHO:0000109	Living Biobank	confirmed, unverified on re-review	GCST90011772	PMID:32936915	Living Biobank study (N = 983 on GWAS array and whole-exome sequenced)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A32936915+AND+src%3Amed&format=json&resultType=core	yes	low	Identity unresolved: the source concerns Singapore Malay participants, whereas COHO records United Kingdom. Accessible sources do not resolve whether COHO has a country error or denotes another biobank.
COHO:0000110	Los Angeles component of The Womens Contraceptive and Reproductive Experiences Study	found		PMID:42098873	the Los Angeles component of the Women’s Contraceptive and Reproductive Experiences Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC13321428/unicode	yes	high	
COHO:0000111	Lothian Birth Cohort	confirmed, upheld on re-review	EGAS00001003818		297 members of the Lothian Birth Cohort 1921	https://ega-archive.org/studies/EGAS00001003818	yes	high	
COHO:0000112	Lund Stroke Register	confirmed, upheld on re-review	EGAS00001000936		Lund Stroke Register	https://ega-archive.org/studies/EGAS00001000936	yes	high	
COHO:0000113	Marseille Thrombosis Association Study	confirmed, upheld on re-review	GCST90446466	PMID:39424413	MARTHA [Marseille Thrombosis Association]	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=ext_id%3A39424413+AND+src%3Amed&format=json&resultType=core	yes	high	
