PGS id	GWAS tags	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
AASK	AASK	African American Study of Kidney disease and hypertension	mint cohort	COHO:0000373	African American Study of Kidney Disease and Hypertension	AASK	AASK Cohort Study	cohort			GCST90232793	PMID:35870639	Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension.	Here, we report the genetic determinants of the serum proteome in 466 African Americans with chronic kidney disease attributed to hypertension from the richly phenotyped African American Study of Kidney Disease and Hypertension (AASK) study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A35870639+AND+SRC%3AMED&format=json&resultType=core	A cohort of African American adults aged 18–70 with hypertensive chronic kidney disease, enrolled at clinical centres across the United States in a randomized trial of antihypertensive drug regimens and blood-pressure goals (1995–2001) and then followed in the AASK Cohort Study to identify risk factors for progressive kidney disease.	PMID:12819322|PMID:17591527|PMID:18472682	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The African American Study of Kidney Disease and Hypertension (AASK) was conducted over a 7-year period at 21 clinical centers across the United States to investigate whether one of two levels of blood pressure control and/or one of three classes of antihypertensive medications was more effective at slowing the rate of renal disease in African Americans with renal insufficiency presumed secondary to hypertension.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A18472682+AND+SRC%3AMED&format=json&resultType=core					"6790 GWAS Catalog studies tagged AASK, all from one pQTL paper (PMID:35870639). PGS name lower-cases ""Disease""; label uses the literature capitalisation. Began as a clinical trial, continued as the AASK Cohort Study; one term suggested for both."
	UKBB	UKBB	existing	COHO:0000176	UK Biobank	UKBB		cohort			GCST90445833	PMID:39278973	A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank.	Here, we analyse 325 nuclear magnetic resonance (NMR) biomarkers from 250,341 UK Biobank participants, identifying 54 representative aging-related biomarkers associated with all-cause mortality.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A39278973+AND+SRC%3AMED&format=json&resultType=core											GWAS-only tag: 5547 studies, 9 PMIDs; all 9 titles/abstracts checked name UK Biobank (incl. Pan-UK Biobank, PMID:40968291). COHO:0000176 has synonym UKB but not UKBB; UKBB clashes with nothing (UKBEC COHO:0000177 and UKBS COHO:0000347 are different strings).
AmDem	AmDem	Amsterdam Dementia Cohort	mint cohort	COHO:0000374	Amsterdam Dementia Cohort	AmDem|ADC		cohort			GCST90286909	PMID:40021830	Quantitative trait loci mapping of circulating metabolites in cerebrospinal fluid to uncover biological mechanisms involved in brain-related phenotypes.	Individuals originated from two separate cohorts including cognitively healthy subjects (n = 490) and a well-characterized memory clinic sample, the Amsterdam Dementia Cohort (ADC, n = 487).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A40021830+AND+SRC%3AMED&format=json&resultType=core	A cohort of almost 6,000 patients who have visited the memory clinic of the Alzheimer Center at VU University Medical Center (Amsterdam UMC) in Amsterdam, the Netherlands, since 2000, followed in an ongoing observational study that combines patient care with research on early diagnosis, heterogeneity and vascular factors in dementia.	PMID:29562540|PMID:40021830	Claude Opus 5.5 (Anthropic), 2026-09	Netherlands	The ADC started collecting samples in the year 2000 and is an ongoing, observational follow-up study of patients who visited the memory clinic of the Alzheimer Center at Amsterdam UMC, location VU University medical center (VUmc).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC13502291/unicode					Not in COHO. Tag AmDem: 5,546 GCSTs, 2 PMIDs (CSF metabolite QTLs PMID:40021830; ADRD meta-analysis PMID:42237039). The cohort's own acronym is ADC (no clash in COHO). Country inferred from Amsterdam. In PMID:40021830 the memory-clinic sample also includes the related 90+ Study and Twin Study, all tagged AmDem.
PAND	PAND	Protein Aggregation and Neurotransmitter Deficits	mint cohort	COHO:0000375	Protein Aggregation and Neurotransmitter Deficits Study	PAND	Protein Aggregation and Neurotransmitter Deficits in Parkinson Disease	cohort			GCST90939806	PMID:42054495	Low overlap of plasma and CSF protein quantitative trait loci affects protein discovery for neurological disease.			A longitudinal cohort of people with Parkinson disease and healthy older controls studied by the Campbell Research Lab in the Section of Movement Disorders at Washington University in St. Louis, United States, assessed every two years with MRI, motor, gait and cognitive testing, optional lumbar puncture and clinical interview to understand the role of brain proteins and neurotransmitters in Parkinson disease symptoms compared with healthy aging.	https://campbellresearchlab.wustl.edu/items/protein-aggregation-and-neurotransmitter-deficits-pand-study/	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Protein Aggregation and Neurotransmitter Deficits (PAND) Study | Campbell Research Lab | Washington University in St. Louis	https://campbellresearchlab.wustl.edu/items/protein-aggregation-and-neurotransmitter-deficits-pand-study/					"Not in COHO. Tag PAND: 5,330 GCSTs, all from PMID:42054495 (plasma vs CSF pQTLs; Science Translational Medicine, not open access, no preprint found), so no example quote could be verified; the study list comes from the GWAS Catalog record (cohort field of GCST90939806). Identified from the WashU Campbell lab study page (PGS name matches); the NIH IADRP project title is ""Protein aggregation and neurotransmitter deficits in Parkinson disease"". Location quote is the page title; country inferred from St. Louis. Not a Knight ADRC sub-study as far as sources show. Follow-up 2026-09-23: Europe PMC full-text search for ""Protein Aggregation and Neurotransmitter Deficits"" (3 hits: PMC12991935, an unrelated mouse study; PMC11590651 and PMC6260199, not open access and their text not retrievable) and for ""Neurotransmitter Deficits"" AND Parkinson AND ""Washington University"" (9 hits, none naming the study in open text) found no open-access text naming the cohort, so there is still no example quote. Verified definition-source text from the lab page: ""The purpose of this study is to understand the role of brain proteins and neurotransmitters in the symptoms of PD compared to healthy aging."""
PIB	PIB	PIB	mint cohort	COHO:0000376	Protein and Imaging Biomarkers of Parkinson Disease Study	PIB|PIB-PD		cohort			GCST90939806	PMID:42054495	Low overlap of plasma and CSF protein quantitative trait loci affects protein discovery for neurological disease.			A longitudinal cohort of people with Parkinson disease and healthy older controls studied by the Campbell Research Lab in the Section of Movement Disorders at Washington University in St. Louis, United States, assessed every three years with MRI, motor, gait and cognitive testing, optional lumbar puncture, amyloid and cholinergic PET and clinical interview to relate clinical symptoms to brain changes in Parkinson disease compared with healthy aging.	https://campbellresearchlab.wustl.edu/items/protein-and-imaging-biomarkers-of-parkinson-disease-pib-study/	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Protein and Imaging Biomarkers of Parkinson Disease (PIB) Study | Campbell Research Lab | Washington University in St. Louis	https://campbellresearchlab.wustl.edu/items/protein-and-imaging-biomarkers-of-parkinson-disease-pib-study/					"PIB is a cohort name, not Pittsburgh compound B: it is the WashU Protein and Imaging Biomarkers of Parkinson Disease (PIB) Study (whose protocol includes amyloid PET, hence the acronym overlap). Tag PIB: 5,330 GCSTs, all from PMID:42054495 (not open access), listed with PAND and other WashU/Knight cohorts in the GWAS Catalog cohort field of GCST90939806; no example quote could be verified. The PGS id PIB (name ""PIB"") comes from PGS000777 (PMID:33958783, Liu et al. 2021), whose open text lists ""PIB"" among 15 Parkinson progression cohorts without expanding it; J.S. Perlmutter (WashU) is an author, so it is probably the same WashU study but this is unverified - curator should check that paper's Supplementary Table 1. Location quote is the page title; country inferred from St. Louis. Follow-up 2026-09-23: Europe PMC full-text searches (""Protein and Imaging Biomarkers"" AND Parkinson: 4 hits; ""Protein and Imaging Biomarkers of Parkinson"": 1 hit) found one open-access paper naming the cohort, PMID:33213513 (PMC7678051; not in the GWAS Catalog table, so not usable as the example study): ""The discovery phase included 729 individuals from the Protein and Imaging Biomarkers in Parkinson’s disease study (PIB-PD) at the Washington University Movement Disorder Center [9] (n = 103) and the Knight ADRC [24] (n = 626)."" (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7678051/fullTextXML); PIB-PD added as an acronym. Verified definition-source text from the lab page: ""The purpose of this study is to understand the relationship between clinical symptoms and brain changes in people with PD as compared to healthy aging."" The PGS paper PMID:33958783 (PMC8459648, BioC) lists ""PIB"" among its discovery cohorts without expanding it, so the identity of the PGS PIB with this study remains unconfirmed. The example study still has no quote (PMID:42054495 is not open access)."
BBJ	BBJ	BioBank Japan Project	mint cohort	COHO:0000377	BioBank Japan	BBJ	BioBank Japan Project	cohort			GCST90308750	PMID:37340002	Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis.	Here, we conduct the pan-cancer and cross-population genome-wide association study (GWAS) meta-analysis and replication studies on 13 cancers including 250,015 East Asians (Biobank Japan) and 377,441 Europeans (UK Biobank).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A37340002+AND+SRC%3AMED&format=json&resultType=core	A patient-based biobank of about 200,000 people diagnosed with any of 47 common diseases, enrolled in 2003–2008 at 12 cooperative medical institutes across Japan by the BioBank Japan Project, with DNA, serum and annually collected clinical information to support genomic research and personalized medicine.	PMID:28189464	Claude Opus 5.5 (Anthropic), 2026-09	Japan	Patients were enrolled at 12 cooperative medical institutes all over Japan from June 2003 to March 2008.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A28189464+AND+SRC%3AMED&format=json&resultType=core					"5082 GWAS Catalog studies tagged BBJ (96 PMIDs). Label ""BioBank Japan"" as the profile paper uses it for the biobank; the PGS name ""BioBank Japan Project"" (the project that built it) kept as synonym. No COHO match for BBJ/BioBank Japan. Example abstract spells it ""Biobank Japan""."
INTERVAL	INTERVAL	INTERVAL	existing	COHO:0000184	INTERVAL study	INTERVAL		cohort			GCST90281192	PMID:37596262	A genome-wide association study of blood cell morphology identifies cellular proteins implicated in disease aetiology.	We perform genome-wide association studies of 63 flow-cytometry derived cellular phenotypes-including cell-type specific measures of granularity, nucleic acid content and reactivity-in 41,515 participants in the INTERVAL study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A37596262+AND+SRC%3AMED&format=json&resultType=core											"5068 GWAS Catalog studies tagged INTERVAL (20 PMIDs; abstracts checked name the INTERVAL study of blood donors). COHO:0000184 has label ""INTERVAL study"" and no synonym INTERVAL, so INTERVAL is proposed as an acronym synonym; no clash."
AGES	AGES	Aging Gene-Environment Susceptibility - Reykjavik Study	mint cohort	COHO:0000378	Age, Gene/Environment Susceptibility-Reykjavik Study	AGES|AGES-Reykjavik	Aging Gene-Environment Susceptibility - Reykjavik Study	cohort			GCST90086175	PMID:35078996	A genome-wide association study of serum proteins reveals shared loci with common diseases.	We performed a GWAS of 4782 serum proteins encoded by 4135 unique human genes in the population-based AGES cohort of elderly Icelanders (n = 5368, Supplementary Data 1), measured by the slow-off rate modified aptamer (SOMAmer) platform as previously described8,18.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8789779/fullTextXML	A cohort of older men and women born in 1907–1935, drawn from the population-based Reykjavik Study followed in Iceland by the Icelandic Heart Association and re-examined from 2002 with detailed cardiovascular, neurocognitive, musculoskeletal and metabolic phenotypes to study genetic susceptibility and gene–environment interaction in disease and disability in old age.	PMID:17351290	Claude Opus 5.5 (Anthropic), 2026-09	Iceland	This cohort of men and women born between 1907 and 1935 has been followed in Iceland since 1967 by the Icelandic Heart Association.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A17351290+AND+SRC%3AMED&format=json&resultType=core	Reykjavik Study	isSubCohortOf	The AGES-Reykjavik sample is drawn from an established population-based cohort, the Reykjavik Study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A17351290+AND+SRC%3AMED&format=json&resultType=core	"4917 GWAS Catalog studies tagged AGES (13 PMIDs). PGS name ""Aging Gene-Environment Susceptibility"" is a garbled form; label follows the design paper (Harris et al. 2007). Sub-cohort of the Reykjavik Study (not in COHO): ""The AGES-Reykjavik sample is drawn from an established population-based cohort, the Reykjavik Study."" (PMID:17351290 abstract), so parent left empty. No COHO match or clash for AGES/Reykjavik. Parent (Reykjavik Study, a new row of this review) added on 2026-09-23."
Stanford_ADRC	Stanford_ADRC	Stanford Alzheimer's Disease Research Center	mint cohort	COHO:0000379	Stanford Alzheimer's Disease Research Center	Stanford_ADRC|Stanford ADRC	Stanford Iqbal Farrukh and Asad Jamal ADRC	cohort			GCST90454419	PMID:38172904	Proteo-genomics of soluble TREM2 in cerebrospinal fluid provides novel insights and identifies novel modulators for Alzheimer's disease.	Stanford Alzheimer’s Disease Research Center (ADRC) (https://med.stanford.edu/adrc.html), one of thirty-one ADRC, aims to translate research advances into improved diagnosis and care for people with AD and related disorders.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10763080/fullTextXML	A cohort of research participants followed by the Stanford Alzheimer's Disease Research Center, one of the US National Institutes of Health-funded Alzheimer's Disease Research Centers, whose clinical and research focus spans Alzheimer disease and Lewy body disorders, contributing cerebrospinal fluid proteomic and whole-genome sequence data to genetic studies.	PMID:38172904|https://med.stanford.edu/adrc.html	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The Stanford Alzheimer’s Disease Research Center (ADRC) is part of a nationwide network of congressionally mandated Centers of Excellence supported by the National Institutes of Health.	https://med.stanford.edu/adrc.html					"Not in COHO. Tag Stanford_ADRC: 4,649 GCSTs, 2 PMIDs. In PMID:39528825 the tag covers ""Stanford Iqbal Farrukh and Asad Jamal ADRC & Aging Memory Study [Stanford]"", i.e. the ADRC plus the Stanford Aging and Memory Study (SAMS), which a curator may want as a separate cohort. Country inferred from the NIH nationwide-network statement and Stanford, CA (no explicit country in the quote)."
CLSA	CLSA	Canadian Longitudinal Study on Aging	mint cohort	COHO:0000380	Canadian Longitudinal Study on Aging	CLSA		cohort			GCST90399837	PMID:39144724	Effect modification by sex of genetic associations of vitamin C related metabolites in the Canadian Longitudinal study on aging.	Methods: We included individuals of European descent from the Canadian Longitudinal Study on Aging with available genetic and metabolic data (n = 9004).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A39144724+AND+SRC%3AMED&format=json&resultType=core	A national stratified cohort of 51,338 women and men aged 45–85 years recruited in 2011–2015 from all 10 Canadian provinces, comprising a telephone-interviewed Tracking cohort and an in-person Comprehensive cohort providing physical assessments and blood and urine samples, assembled as a longitudinal research platform for studying health and aging.	PMID:31633757	Claude Opus 5.5 (Anthropic), 2026-09	Canada	In the Tracking cohort, participants were recruited across the 10 provinces, and all questionnaire measures are collected by computer-assisted telephone interviews (CATI) administered through CLSA CATI sites established in four regions across Canada to accommodate different time zones and language (English or French) requirements for questionnaire administration.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6929533/fullTextXML					4461 GWAS Catalog studies tagged CLSA (10 PMIDs). Definition from the cohort profile (Raina et al. 2019, PMC6929533 full text). No COHO match or clash.
JHS	JHS	Jackson Heart Study	mint cohort	COHO:0000381	Jackson Heart Study	JHS		cohort			GCST90104476	PMID:35995766	Whole Genome Association Study of the Plasma Metabolome Identifies Metabolites Linked to Cardiometabolic Disease in Black Individuals.	Here, we perform a whole genome association study of 2,291 metabolite peaks (known and unknown features) in 2,466 Black individuals from the Jackson Heart Study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A35995766+AND+SRC%3AMED&format=json&resultType=core	A community-based cohort of 5,302 African American adults, including a nested family cohort, enrolled from the three counties of the Jackson, Mississippi metropolitan area, with extensive medical, social, physical and biochemical measurements and genomic DNA, to study cardiovascular and related diseases in African Americans.	PMID:16320381	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Participants were enrolled from the three counties that make up the Jackson, Mississippi metropolitan area.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A16320381+AND+SRC%3AMED&format=json&resultType=core					"3953 GWAS Catalog studies tagged JHS (42 PMIDs). Location quote names Jackson, Mississippi (a US state), not the country itself; it is a substring of the abstract, which Europe PMC prints glued to its ""Methods"" heading. No COHO match or clash."
