catalogue id	name	COHO ID	decision	xref	website	note
Israel Genome Project	Israel Genome Project		unresolved		https://www.academy.ac.il/Index3/Entry.aspx?nodeId=842&entryId=18745	"IHCC Cohort Atlas entry ""Israel Genome Project"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. I could not tell which group of people this entry is. The atlas gives Gad Rennert (Clalit National Israeli Cancer Control Center) as lead and 140,000 enrolled, but its website link is a general brochure on human genome research in Israel, which is not a cohort. Two candidates, neither confirmed: (1) the Clalit '100K Israeli Genomes' genomic-medicine randomised trial Rennert presented to G2MC in 2020 (web search snippets only; the pages would not load, and in 2020 Clalit was described as 'planning' it, so it may have no participants); (2) Psifas, the national genome initiative the press calls the 'Israeli Genome Project', launched January 2023 with Clalit as a major partner (about 50,000 samples by late 2024, so it does not match 140,000 or Rennert as lead). No COHO term matches either (the resembling 'Genome Project' terms are other countries'). Suggest reading PMID:35576557 (Annu Rev Biomed Data Sci 2022, which may tabulate IHCC cohorts) or asking IHCC before minting; if it turns out to be a planned programme without enrolled participants, it is not a cohort. Could not read: PMID:35576557 (mentions 'Israel Genome Project'; not open access), PMID:34532599 (mentions 'Israel Genome Project'; not open access)."
Million Women Study	Million Women Study	COHO:0002674	mint cohort		http://www.millionwomenstudy.org/introduction/	"IHCC Cohort Atlas entry ""Million Women Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Million Women Study (Oxford Cancer Epidemiology Unit), a UK cohort of about 1.3 million women recruited through breast screening in 1996–2001; the atlas's website redirects to the unit's study page. No COHO term has it (the suggested Women's Health Study/Initiative etc. are different cohorts). No acronym is used by the study's own pages, so none is given. Papers not in the cache (the request watcher is stopped): texts were read directly from Europe PMC's full-text XML, and PMIDs 11056681 and 42167794 were appended to needed_urls.txt. The study's recruitment page (https://www.ceu.ox.ac.uk/research/the-million-women-study/about-the-study/recruitment-and-data-collection) says recruitment was at '66 participating centres across England and Scotland, between 1996 and 2001', but it refuses requests with a bare 'Mozilla/5.0' user agent, so the country quote is taken from the design paper instead."
Netherlands Twin Registry	Netherlands Twin Registry	COHO:0000125	existing		https://tweelingenregister.vu.nl/	"IHCC Cohort Atlas entry ""Netherlands Twin Registry"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Saudi National Biobank	Saudi National Biobank	COHO:0002675	mint cohort			"IHCC Cohort Atlas entry ""Saudi National Biobank"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas's 'Saudi National Biobank' is the Saudi Biobank of King Abdullah International Medical Research Center (KAIMRC): the Biobank Resource Centre registry names the atlas's lead investigator as its biobank leader, and KAIMRC papers call it the Saudi National Biobank (SNB) and the Saudi Biobank (SBB). It is not the separate National Biobank inaugurated by the Public Health Authority (Weqaya) in 2023, and not COHO:0002343 (Saudi Newborn Cohort). No COHO term has it. Texts read directly from Europe PMC (the request watcher is stopped); PMIDs appended to needed_urls.txt where relevant."
WHI (Women's Health Initiative)	WHI (Women's Health Initiative)	COHO:0000409	existing		https://www.whi.org/	"IHCC Cohort Atlas entry ""WHI (Women's Health Initiative)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
PERSIAN Cohort Study	PERSIAN Cohort Study	COHO:0002676	mint cohort		http://persiancohort.com	"IHCC Cohort Atlas entry ""PERSIAN Cohort Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. PERSIAN, Iran's national adult cohort (18 recruitment sites, one per participating university), run from the Digestive Diseases Research Institute, Tehran. The biobank paper says the name refers to the main adult cohort and that the programme also has purpose-built Birth, Youth, Elderly, Employee and Accident subcohorts; the site cohorts (Fasa, Shahrekord, Kharameh etc.) are parts of it, none of which is in COHO. It is one cohort with a common protocol, not an aggregation. The website capitalises the name 'Prospective Epidemiological Research Studies in IrAN' to form the acronym, kept as a synonym. Not in COHO; the Golestan Cohort Study, a separate atlas entry, is an earlier cohort of the same institute. Could not read: PMID:29145581 (Prospective Epidemiological Research Studies in Iran (the PERSIAN Cohort Study): Rationale, Objectives, and Design; Am J Epidemiol 2018, not open access; requested)."
Biobank Japan	Biobank Japan	COHO:0000377	existing		https://biobankjp.org/english/index.html	"IHCC Cohort Atlas entry ""Biobank Japan"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Danish National Biobank	Danish National Biobank		not a cohort		http://www.biobankdenmark.dk/	"IHCC Cohort Atlas entry ""Danish National Biobank"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Danish National Biobank (DNB) at Statens Serum Institut, is national research infrastructure, not a defined group of people: its three pillars are the Danish Biobank Register (an overview of samples held across the Danish health system and participating research biobanks), the storage facility itself, and a coordinating centre. It holds more than 25 million samples routinely collected by the health service or deposited by external and internal research projects; the home page says 'The DNB stores millions of samples. With some exemptions most samples are available for use in research projects.' (https://www.danishnationalbiobank.com/) and the about page 'The Danish National Biobank has 3 pillars: The Danish Biobank Register with detailed information about the samples available in the Danish health system and in the large research biobanks participating.' (https://www.danishnationalbiobank.com/about-dnb). The cohorts are the collections it stores (for example the Danish National Birth Cohort, COHO:0000748, a separate atlas entry, and the neonatal screening biobank used by iPSYCH, COHO:0000512), which should be curated in their own right. Caveat for the curator: COHO:0000926 (National Biobank of Korea) is typed as a cohort, a precedent for treating a national biobank hub as one; if that precedent is followed, this would be a new cohort defined from the pages above."
Generation Victoria (GenV)	Generation Victoria (GenV)	COHO:0002677	mint cohort		https://genv.org.au//	"IHCC Cohort Atlas entry ""Generation Victoria (GenV)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. Generation Victoria, Australia's statewide birth and parent cohort run by the Murdoch Children's Research Institute, Melbourne. Not in COHO (the suggested Generation R/Scotland/XXI terms are other cohorts). The website (genv.org.au) is behind a bot check, so the design papers were used. The protocol also describes the special care nursery registry and other depth subcohorts inside GenV, not separate atlas entries. Texts read directly from Europe PMC (the request watcher is stopped)."
European Investigation of Cancer and Nutrition (EPIC)	European Investigation of Cancer and Nutrition (EPIC)	COHO:0000065	existing		http://epic.iarc.fr/	"IHCC Cohort Atlas entry ""European Investigation of Cancer and Nutrition (EPIC)"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
South Asia Biobank	South Asia Biobank	COHO:0002678	mint cohort			"IHCC Cohort Atlas entry ""South Asia Biobank"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The South Asia Biobank, a multi-country population study of South Asians led from Imperial College London (the atlas's lead investigator is the corresponding author of its data resource profile). The atlas lists India, Sri Lanka and Bangladesh; the profile also recruited in Pakistan, so four countries are given. Not in COHO (the suggested biobanks are unrelated; LOLIPOP, COHO:0000567, is a separate London cohort of the same group). The 'South Asia Biobank Study' synonym is from the example paper. Texts read directly from Europe PMC (the request watcher is stopped)."
Dementias Platform UK	Dementias Platform UK	COHO:0002679	mint aggregation		https://portal.dementiasplatform.uk/	"IHCC Cohort Atlas entry ""Dementias Platform UK"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. DPUK is an MRC-funded platform and data portal that collects many distinct cohorts ('It is a data repository facilitating access to data for 3 370 929 individuals in 42 cohorts.' and 'DPUK collaborates with 42 clinical and population cohorts (Table 1).', PMID:32328990; more than 60 by 2024). It recruits no participants of its own, so it is an aggregation of its member cohorts rather than a cohort. If the curator treats a data portal as a data warehouse, the verdict would be 'not a cohort' instead. Members are the Table 1 cohorts that are COHO terms or this check's entries; each quote is that cohort's cell in Table 1 of the 2020 paper (the table's rows are single cells, so the quote is just the cohort's name and reference number). Left out: GERAD EOAD/LOAD (collections within the GERAD consortium, COHO:0000646), Whitehall II (COHO has only the Whitehall Study, COHO:0002571, which is Whitehall I), and cohorts not in COHO (AMPLE, BRACE, CFAS I/II, DELPHIC, DFP pilot, EPINEF, ICICLE-PD, NIMROD, SAIL-DeC, SMC Amyloid, TRACK-HD, Cam-CAN, CHARIOT, HealthWise Wales, PREVENT, PRIME, PROTECT, UK GENFI). ALSPAC is listed as ALSPAC Children and ALSPAC Parents, both COHO:0000016; ELSA [24] is The English Longitudinal Study of Ageing (COHO:0000163), not COHO:0001320; EXTEND is taken to be the Exeter 10,000 Study (COHO:0001715, an uncurated placeholder), which carries that acronym; Memento is the French MEMENTO cohort, which explains France in the atlas's countries. The atlas also lists France and South Korea, but no text read here names cohorts from them beyond MEMENTO, so only the United Kingdom is given, from the name. Texts read directly from Europe PMC (the request watcher is stopped)."
Northern Sweden Health and Disease	Northern Sweden Health and Disease	COHO:0000927	existing			"IHCC Cohort Atlas entry ""Northern Sweden Health and Disease "" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the Northern Sweden Health and Disease Study (its name is truncated and ends with a space). The atlas's website is the NSHDS page of Umeå University's Biobank Research Unit, which says 'Our main cohort is the Northern Sweden Health and Disease Study, NSHDS, with over 143,000 participants.' and describes the three subcohorts VIP, MSP and MONICA; the atlas's enrolment period from 1985 matches. So it is COHO:0000927, which already has the acronym NSHDS and links its subcohorts (the Västerbotten Intervention Project, COHO:0002549, is one). The only name the term lacks is the atlas's truncated form, given as a synonym without the trailing space."
Genes & Health	Genes & Health	COHO:0000244	existing		http://www.genesandhealth.org/	"IHCC Cohort Atlas entry ""Genes & Health"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)	Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)	COHO:0002680	mint cohort		https://muchap.org/	"IHCC Cohort Atlas entry ""Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. A health and demographic surveillance site (the atlas name joins it with the institution that runs it, MUCHAP), typed as a cohort like the Agincourt HDSS (COHO:0000912). Not in COHO. The sources disagree on its founding year (2004 in PMID:28799450, 2005 in PMID:35427403 and the atlas's enrolment period), so the definition says mid-2000s; the cohort profile (PMID:32556335, requested) should settle it. The label follows the cohort profile's title; the acronym forms IMHDSS and IM-HDSS are both used in papers, and 'IMHDSS, Uganda' is the profile title's form. The atlas's website muchap.org now redirects to an unrelated site. Texts read directly from Europe PMC (the request watcher is stopped). Could not read: PMID:32556335 (Cohort Profile: The Iganga-Mayuge Health and Demographic Surveillance Site, Uganda (IMHDSS, Uganda); Int J Epidemiol 2020, not open access; requested)."
US NIH	US NIH		unresolved			"IHCC Cohort Atlas entry ""US NIH"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names only an agency ('US NIH'), with no website or description. Its lead investigator is the named author of the ECHO-Wide Cohort's dataset, which is cited in PMID:36963379 as 'Gillman M. Environmental Influences on Child Health Outcomes (ECHO)-Wide Cohort (Version 1) [dataset]. NICHD Data and Specimen Hub.', so the entry is taken to be the NIH's ECHO Cohort; the atlas's figures (about 105,000 enrolled, target 135,000) are of the same order as ECHO's children plus caregivers but do not match any figure read here. The identification rests on that link alone, so the curator may prefer 'unresolved'. ECHO is an aggregation: 69 existing cohorts in 31 consortia whose data are harmonised and who collect new data under a common protocol (from 2023, 'Cycle 2', it also recruits new pregnancies at Cohort Study Sites); if COHO prefers to treat the common-protocol ECHO Cohort as one cohort, the record works unchanged with type cohort. Not in COHO. 'US NIH' is kept among the acronyms because it is the atlas's name for the entry, although it names the agency, not the cohort; the curator may prefer to drop it. No members are given because the member list (Web Table 1) was not read. Could not read: Web Table 1 of PMID:36963379 (the list of the 69 ECHO cohorts, on the publisher's site), to fill members; Project Viva (COHO:0001254) is one, but no text read here states it. Not minted on 2026-09-25: the identification as the ECHO Cohort rests on the lead investigator alone, and the ECHO Cohort has its own entry; the record above is kept."
HUNT 70+, The HUNT Study	HUNT 70+, The HUNT Study	COHO:0002681	mint cohort		http://www.ntnu.edu/hunt	"IHCC Cohort Atlas entry ""HUNT 70+, The HUNT Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas names the entry ""HUNT 70+, The HUNT Study"" but its other fields (website ntnu.edu/hunt, enrolment from 1984, 240000 participants) describe the whole Trøndelag Health Study (COHO:0000395). HUNT4 70+ is a named sub-study of HUNT4 (inhabitants aged 70+, 2017–19, followed up as the Ageing in Trøndelag study 2021–23), not in COHO, so I give it as a new cohort isSubCohortOf HUNT. If the curator reads the atlas entry as HUNT itself (the numbers support that), it is instead existing COHO:0000395 and would only add the synonym ""HUNT 70+, The HUNT Study"". Could not read: PMID:41709676 (Cohort Profile Update: HUNT4 70+, not open access; requested in needed_urls.txt, not read)."
EpiHealth	EpiHealth	COHO:0001697	existing			"IHCC Cohort Atlas entry ""EpiHealth"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. COHO already has EpiHealth as the uncurated placeholder COHO:0001697 (label ""Epidemiology for Health"", acronym EpiHealth). The atlas entry is the same cohort (Sweden, lead Lars Lind, enrolment 2011–2018, 25000; papers give 25,080 participants aged 45–75). Type cohort. I give a definition, country, example and two name variants the papers use so the placeholder can be curated; the label ""Epidemiology for Health"" is used by the papers (""The Epidemiology for Health cohort (EpiHealth""), so it can stay. Could not read: PMID:23435790 (EpiHealth design paper, Lind et al. 2013, not open access; requested in needed_urls.txt, not read)."
Coronagenes/University of Edinburgh	Coronagenes/University of Edinburgh	COHO:0002682	mint cohort		https://www.ed.ac.uk/coronagenes/about/coronagenes-study	"IHCC Cohort Atlas entry ""Coronagenes/University of Edinburgh"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. Coronagenes is the University of Edinburgh (MRC Human Genetics Unit) COVID-19 host-genetics study that enrolled volunteers who uploaded direct-to-consumer genotype data (23andMe, Ancestry, MyHeritage, FTDNA) and answered questionnaires; a defined set of participants, so a cohort; not in COHO. The study website now 404s; the Wayback copy was read. Countries: none given, because recruitment was international (the University news item says ""we need the solidarity of a large proportion of people from different countries who can share their DNA testing results with us"") and no source I read says where participants live; the atlas lists United Kingdom, which is where the study is run (ethics by the West Midlands Research Ethics Committee), so the curator could add United_Kingdom from the atlas if that is acceptable. Parent: Coronagenes contributed cases and controls to the COVID-19 Host Genetics Initiative (COHO:0000238) meta-analysis; the quote is its row of the HGI supplementary study table, so the link would be COHO:0000238 hasCohort Coronagenes. The example uses the same row, which is the only text I found that names Coronagenes in a paper."
BioVU Vanderbilt	BioVU Vanderbilt	COHO:0000417	existing		https://victr.vumc.org/biovu-description/	"IHCC Cohort Atlas entry ""BioVU Vanderbilt"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (Vanderbilt, USA, website victr.vumc.org/biovu-description, lead Dan Roden, enrolment from 2007) is Vanderbilt University Medical Center's DNA biobank BioVU, COHO:0000417 (label BioVU, synonyms Vanderbilt, Vanderbilt DNA Databank, Vanderbilt Biobank). The only name it lacks is the atlas's own, ""BioVU Vanderbilt"". EAGLE BioVU (COHO:0000751) is a subset, not this entry."
German National Cohort (NAKO)	German National Cohort (NAKO)	COHO:0002683	mint cohort		http://nako.de/	"IHCC Cohort Atlas entry ""German National Cohort (NAKO)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The German National Cohort / NAKO Gesundheitsstudie, Germany's national population cohort (lead Annette Peters, 2014–2019, about 205,000 participants). Not in COHO under any name: searched German National, NAKO, GNC, Gesundheitsstudie and National Cohort. The Global Exposome Cohort Catalogue review (src/curation/exposome_catalogue_review.tsv) holds an unresolved row GNC that it inferred to be this cohort; if this is minted, that row can point to it. ""GNC"" is the English abbreviation used in papers (e.g. PMID:36360473 per that review row; I did not re-read it). The English papers call it ""German National Cohort (NAKO)"", used here as label; the cohort's German name is ""NAKO Gesundheitsstudie"" (its website) and ""NAKO Health Study"" is its English name; the curator may prefer that as label since the cohort now uses it."
The Malaysian Cohort	The Malaysian Cohort	COHO:0002684	mint cohort		http://www.ukm.my/mycohort/ms/	"IHCC Cohort Atlas entry ""The Malaysian Cohort"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Malaysian Cohort (TMC), the national population cohort run by Universiti Kebangsaan Malaysia (website ukm.my/mycohort, lead Rahman Jamal, from 2007 per the atlas; the papers say recruitment ran 2006–2012 with 106,527 participants). Not in COHO: the Malaysian Breast Cancer cohort (COHO:0000295) and Malaysia Ovarian Cancer Genetic Study (COHO:0002103) are different studies. No other COHO term uses the acronym TMC. The quotes: ""The Malaysian Cohort (TMC) project is a large population-based cohort study that managed to recruit 106,527 participants over a period from the year 2006 until 2012"" (PMC8305012)."
Center for Applied Genomics, Children's Hospital of Philadelphia	Center for Applied Genomics, Children's Hospital of Philadelphia	COHO:0000489	existing			"IHCC Cohort Atlas entry ""Center for Applied Genomics, Children's Hospital of Philadelphia"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas names the institution (Center for Applied Genomics at CHOP, lead Hakon Hakonarson, enrolment from 2006); its cohort is the CAG biobank of paediatric and adult participants, COHO:0000489 ""Center for Applied Genomics Biobank"" (synonyms CHOP, CAG, Children's Hospital of Philadelphia, CAG biobank). The IHCC study PMID:37337639 uses it: ""57 613 randomly selected individuals with genotypes and BMI data from the the Center for Applied Genomics biobank at the Children's Hospital of Philadelphia were used for the validation."" Only the atlas's own name is missing."
Genomics England / 100,000 Genomes Project	Genomics England / 100,000 Genomes Project	COHO:0000206	existing		https://www.genomicsengland.co.uk/	"IHCC Cohort Atlas entry ""Genomics England / 100,000 Genomes Project"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
American Cancer Society Cancer Prevention Study-3	American Cancer Society Cancer Prevention Study-3	COHO:0002685	mint cohort		https://www.cancer.org/research/cps3-cancer-prevention-study-3.html	"IHCC Cohort Atlas entry ""American Cancer Society Cancer Prevention Study-3"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. CPS-3, the American Cancer Society's third Cancer Prevention Study cohort (lead Alpa Patel, 2006–2013, about 303,000 participants). Not in COHO: COHO:0000024 ""Cancer Prevention Study"" is CPS-II (enrolled 1982; its synonyms include CPS-II and the generic acronym CPS). CPS-3 was recruited separately, so it is a new cohort, not a sub-cohort of COHO:0000024; no source makes it part of another cohort. The acronym CPS is not used for CPS-3 here, so no shared-acronym note is needed."
Civil Service Hospital, Minbhawan Kathmandu Nepal	Civil Service Hospital, Minbhawan Kathmandu Nepal		not a cohort			"IHCC Cohort Atlas entry ""Civil Service Hospital, Minbhawan Kathmandu Nepal"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is a hospital (Civil Service Hospital, Minbhawan, Kathmandu, Nepal) with 100 participants enrolled in 2019 and no website, no description and no study name. I found no paper or web page describing a named cohort or biobank there. As recorded it is an institution with an unnamed sample of 100 people, which by the checking rules is not a cohort. If a named study turns up (for example from the lead investigator), it can be revisited; country would be Nepal, which is not in gaz_xrefs.tsv (DBpedia resource Nepal)."
ELSA-Brasil	ELSA-Brasil	COHO:0001320	existing		http://www.elsa.org.br/oelsabrasil.html	"IHCC Cohort Atlas entry ""ELSA-Brasil"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
