ID	label	current type	proposed type	applied	reason
COHO:0000174	Type 1 Diabetes Genetics Consortium	cohort	cohort aggregation	yes	The consortium coordinates regional networks and distinct affected-sibling, trio and case-control collections.
COHO:0000175	UK Adult Twin Register	cohort aggregation	cohort	yes	TwinsUK is a participant registry with longitudinal follow-up.
COHO:0000177	UK Brain Expression Consortium	cohort	cohort aggregation	yes	The official methods combine material from two independent brain banks.
COHO:0000189	Functional genomic diagnostic tools for coronary artery disease	temporary unclassified	cohort	yes	Defined as the FGENTCARD participant collection described by the verified example, rather than the coordinating consortium.
COHO:0000192	Global Registry of Acute Coronary Events	cohort aggregation	cohort	yes	GRACE is a prospectively enrolled patient registry; multicountry participation does not by itself make it a cohort aggregation.
COHO:0000194	Uppsala Longitudinal Study of Adult Men	cohort aggregation	cohort	yes	The source describes a single longitudinal participant cohort.
COHO:0000195	Baltimore Longitudinal Study of Ageing	cohort aggregation	cohort	yes	The label denotes a longitudinal participant cohort.
COHO:0000196	Motor Neuron Disease Biobank study	cohort aggregation	cohort	yes	The verified example identifies the UK National DNA Bank for Motor Neuron Disease Research; it denotes a participant/sample collection.
COHO:0000200	Parkinson's Progression Markers Initiative	cohort aggregation	cohort	yes	Defined as the unified observational participant collection, including diagnostic comparison groups.
COHO:0000202	Study of Health in Pomerania	cohort	cohort aggregation	yes	The profile explicitly distinguishes the umbrella SHIP project from its original cohort, renamed SHIP-START.
COHO:0001899	International COPD Genetics Network	temporary unclassified	cohort aggregation	no: curated as a cohort	the review of 2026-09-24: “aggregated cohort as a consortium”. The sources describe ICGN as one family-based (pedigree) study of COPD probands and their siblings, funded by GlaxoSmithKline, not a consortium of separately recruited cohorts (PMC8777202: two family-based cohorts: the International COPD Genetics Network (ICGN) study and the Boston Early-Onset COPD study), so it is curated as a cohort.
