name,cohorts,id,label,match,candidates,note
alcohol use,5,ECTO:0001082,exposure to alcohol consumption,judged,ECTO:0900101 exposure to alcohol via ingestion (0.919) | ECTO:9000026 exposure to alcohol (0.903) | ECTO:0001082 exposure to alcohol consumption (0.880) | ECTO:6000009 exposure to alcohol abuse (0.873) | ECTO:6000022 exposure to drinking behavior (0.821) | ECTO:0100001 exposure to drinking alcohol (0.820),
allergens,1,ECTO:0000726,exposure to allergen,judged,ECTO:0000726 exposure to allergen (0.939) | ECTO:0900047 exposure to allergen via inhalation (0.894) | ECTO:9001872 exposure to anti-allergic agent (0.787) | ECTO:9001924 exposure to allelochemical (0.774) | ECTO:9002082 exposure to drug allergen (0.761) | ECTO:9002226 exposure to allantoin (0.756),
ambient air pollutants,1,ECTO:8000036,exposure to air pollution,judged,ECTO:0800002 exposure to air pollution via maternal (0.855) | ECTO:8000036 exposure to air pollution (0.832) | ECTO:8000002 exposure to atmospheric aerosolisation of dust (0.814) | ECTO:8000019 exposure to environmental pollution (0.791) | ECTO:0900212 exposure to ammonia via inhalation (0.788) | ECTO:0000931 exposure to environmental contaminant (0.784),
ambient air pollution,1,ECTO:8000036,exposure to air pollution,judged,ECTO:0800002 exposure to air pollution via maternal (0.867) | ECTO:8000036 exposure to air pollution (0.844) | ECTO:8000002 exposure to atmospheric aerosolisation of dust (0.813) | ECTO:8000019 exposure to environmental pollution (0.803) | ECTO:0900212 exposure to ammonia via inhalation (0.789) | ECTO:0000931 exposure to environmental contaminant (0.788),
antenatal dietary exposures,1,ECTO:2000076,exposure to pregnancy diet intake,judged,ECTO:2000076 exposure to pregnancy diet intake (0.844) | ECTO:0900506 maternal exposure to valproate semisodium (0.803) | ECTO:0900292 maternal exposure to antigen (0.800) | ECTO:0900364 maternal exposure to manganese cation (0.797) | ECTO:0900200 exposure to antioxidant via ingestion (0.796) | ECTO:0900103 maternal exposure to androgen (0.795),
anthroposophy,1,,,none,ECTO:8000035 exposure to anthropogenic modulatory intervention process (0.780) | ECTO:9002237 exposure to anthracycline (0.769) | ECTO:9002857 exposure to anthocyanin (0.761) | ECTO:9000982 exposure to anthracene (0.756) | ECTO:9001713 exposure to anthelminthic drug (0.727) | ECTO:0900084 exposure to anthocyanin via ingestion (0.726),"a way of life, not an exposure ECTO names"
antioxidant-rich diet,1,ECTO:0900200,exposure to antioxidant via ingestion,judged,ECTO:0900200 exposure to antioxidant via ingestion (0.869) | ECTO:9001647 exposure to antioxidant (0.850) | ECTO:9002056 exposure to food antioxidant (0.842) | ECTO:9001975 exposure to antimicrobial food preservative (0.776) | ECTO:0900084 exposure to anthocyanin via ingestion (0.753) | ECTO:2000068 exposure to dietary intervention (0.739),
antioxidants,1,ECTO:9001647,exposure to antioxidant,judged,ECTO:9001647 exposure to antioxidant (0.928) | ECTO:0900200 exposure to antioxidant via ingestion (0.882) | ECTO:9001840 exposure to antidote (0.800) | ECTO:9001975 exposure to antimicrobial food preservative (0.796) | ECTO:9002056 exposure to food antioxidant (0.795) | ECTO:9001822 exposure to antagonist (0.793),
Army service,1,ECTO:0001591,exposure to occupation,judged,ECTO:0080000 exposure to arsenic in water via ingestion (0.697) | ECTO:9002355 exposure to arsenic atom (0.678) | ECTO:9000447 exposure to arsenite ion (0.674) | ECTO:7000087 exposure to arsenic-rich mud (0.670) | ECTO:0900004 exposure to arsenic via ingestion (0.668) | ECTO:0900510 exposure to warfarin via ingestion (0.658),military service taken as an occupation; ECTO has no military term
arsenic,1,ECTO:9000032,exposure to arsenic,exact,ECTO:7000087 exposure to arsenic-rich mud (0.914) | ECTO:9002674 exposure to arsenic(3+) (0.912) | ECTO:9002355 exposure to arsenic atom (0.911) | ECTO:9000447 exposure to arsenite ion (0.903) | ECTO:9000446 exposure to arsenite(3-) (0.893) | ECTO:9001624 exposure to arsenocholine (0.893) | ECTO:0080000 exposure to arsenic in water via ingestion (lex),
arsenic exposure through drinking water,1,ECTO:0080000,exposure to arsenic in water via ingestion,judged,ECTO:0080000 exposure to arsenic in water via ingestion (0.909) | ECTO:0900004 exposure to arsenic via ingestion (0.873) | ECTO:0900207 exposure to arsenic(3+) via ingestion (0.856) | ECTO:7000087 exposure to arsenic-rich mud (0.825) | ECTO:9000032 exposure to arsenic (0.823) | ECTO:9000447 exposure to arsenite ion (0.822),
arsenic from private well water,1,ECTO:0080000,exposure to arsenic in water via ingestion,judged,ECTO:0080000 exposure to arsenic in water via ingestion (0.862) | ECTO:0900004 exposure to arsenic via ingestion (0.832) | ECTO:7000087 exposure to arsenic-rich mud (0.816) | ECTO:0900207 exposure to arsenic(3+) via ingestion (0.816) | ECTO:9000032 exposure to arsenic (0.807) | ECTO:9002355 exposure to arsenic atom (0.802),
arsenic in water supply,1,ECTO:0080000,exposure to arsenic in water via ingestion,judged,ECTO:0080000 exposure to arsenic in water via ingestion (0.896) | ECTO:0900004 exposure to arsenic via ingestion (0.860) | ECTO:7000087 exposure to arsenic-rich mud (0.856) | ECTO:0900207 exposure to arsenic(3+) via ingestion (0.855) | ECTO:9000447 exposure to arsenite ion (0.847) | ECTO:9002355 exposure to arsenic atom (0.841),
arsenical skin lesions (visible arsenic toxicity),1,ECTO:9000032,exposure to arsenic,judged,ECTO:0080000 exposure to arsenic in water via ingestion (0.793) | ECTO:0900004 exposure to arsenic via ingestion (0.789) | ECTO:0900207 exposure to arsenic(3+) via ingestion (0.785) | ECTO:7000087 exposure to arsenic-rich mud (0.778) | ECTO:9000032 exposure to arsenic (0.767) | ECTO:9002355 exposure to arsenic atom (0.765),the lesions are the marker of chronic arsenic exposure
atrazine,1,ECTO:9000521,exposure to atrazine,exact,ECTO:9000521 exposure to atrazine (0.918) | ECTO:9000841 exposure to atraton (0.770) | ECTO:9002720 exposure to atazanavir (0.762) | ECTO:9000581 exposure to atenolol (0.760) | ECTO:9002714 exposure to atovaquone (0.754) | ECTO:9001520 exposure to azinphos-methyl (0.753),
body composition,1,,,none,ECTO:7000109 exposure to bodily fluid (0.779) | ECTO:2000111 exposure to weight loss pharmacotherapy (0.733) | ECTO:0010003 exposure to environmental physical object quality (0.727) | ECTO:8000006 exposure to combusion process (0.702) | ECTO:0070251 exposure to fat content 46-60% via ingestion (0.699) | ECTO:9002063 exposure to food component (0.697),not an exposure
breast-feeding and delayed introduction of solid foods,1,ECTO:0070224,exposure to human milk (raw) via ingestion,judged,ECTO:0070226 exposure to infant formula (milk-based) via ingestion (0.789) | ECTO:0070212 exposure to infant formula based on isolated amino acids and/or protein hydrolysates via ingestion (0.784) | ECTO:0070224 exposure to human milk (raw) via ingestion (0.772) | ECTO:0070225 exposure to infant formula via ingestion (0.757) | ECTO:0900141 exposure to lactose via ingestion (0.745) | ECTO:0070204 exposure to cow milk (liquid) via ingestion (0.726),breastfeeding as the infant's exposure to human milk
breastfeeding and breast milk composition,1,ECTO:0070224,exposure to human milk (raw) via ingestion,judged,ECTO:0070224 exposure to human milk (raw) via ingestion (0.803) | ECTO:0070226 exposure to infant formula (milk-based) via ingestion (0.786) | ECTO:0070252 exposure to mammalian milk protein via ingestion (0.776) | ECTO:0070212 exposure to infant formula based on isolated amino acids and/or protein hydrolysates via ingestion (0.775) | ECTO:0070250 exposure to milk fat via ingestion (0.770) | ECTO:0070204 exposure to cow milk (liquid) via ingestion (0.766),breastfeeding as the infant's exposure to human milk
built environment,1,,,none,ECTO:1000021 exposure to construction (0.790) | ECTO:0600000 exposure to environmental system (0.780) | ECTO:0000015 exposure to environmental material (0.778) | ECTO:1000005 exposure to concrete building floor (0.776) | ECTO:1000000 exposure to environmental condition (0.772) | ECTO:8000000 exposure to environmental process (0.772),ECTO has no built-environment term
cadmium (Cd),1,ECTO:9002266,exposure to cadmium atom,judged,ECTO:9002267 exposure to cadmium(2+) (0.938) | ECTO:0900227 exposure to cadmium(2+) via ingestion (0.918) | ECTO:9000286 exposure to cadmium cation (0.913) | ECTO:9002274 exposure to cadmium selenide nanoparticle (0.895) | ECTO:9002266 exposure to cadmium atom (0.894) | ECTO:9002268 exposure to cadmium dichloride (0.894),
caloric restriction,1,ECTO:2000065,exposure to calorie restrictive diet intake,judged,ECTO:2000065 exposure to calorie restrictive diet intake (0.923) | ECTO:2000089 exposure to calcium supplementation (0.748) | ECTO:0070236 exposure to carbohydrate reduced food via ingestion (0.744) | ECTO:9001781 exposure to calcium channel blocker (0.737) | ECTO:2000068 exposure to dietary intervention (0.737) | ECTO:9000299 exposure to calcium cation (0.734),
cement dust from cement plants,1,ECTO:7000026,exposure to cement dust,judged,ECTO:7000026 exposure to cement dust (0.832) | ECTO:7000033 exposure to dust from plant parts (0.832) | ECTO:7000039 exposure to cement plaster (0.771) | ECTO:7000006 exposure to coal mine waste material (0.754) | ECTO:1000001 exposure to coal power plant (0.747) | ECTO:7000005 exposure to coal dust (0.745),
chemical and environmental exposures at work and home,1,ECTO:0000231,exposure to chemical,judged,ECTO:0000485 exposure to chemical with biological effect (0.817) | ECTO:0000487 exposure to chemical with chemical role (0.813) | ECTO:0800001 exposure to environmental process route (0.809) | ECTO:8000033 exposure to accumulation of toxins from algal bloom process (0.801) | ECTO:0900042 exposure to chemical entity via ingestion (0.799) | ECTO:1000017 exposure to industrial wastewater treatment plant (0.796),general chemical exposure
chemical and metal exposures at work,1,ECTO:0000231,exposure to chemical,judged,ECTO:0900042 exposure to chemical entity via ingestion (0.803) | ECTO:0000487 exposure to chemical with chemical role (0.798) | ECTO:1000017 exposure to industrial wastewater treatment plant (0.791) | ECTO:0000485 exposure to chemical with biological effect (0.788) | ECTO:7000021 exposure to metallic dust (0.778) | ECTO:0900018 exposure to mercury cation via ingestion (0.776),general chemical exposure; occupational setting and metals not expressed
chemicals,1,ECTO:0000231,exposure to chemical,judged,ECTO:0000231 exposure to chemical (0.884) | ECTO:0000487 exposure to chemical with chemical role (0.875) | ECTO:7000083 exposure to contaminated sediment (0.869) | ECTO:7000158 exposure to chemical colorant (0.850) | ECTO:2000066 exposure to chemotherapy (0.844) | ECTO:9002088 exposure to chemosterilant (0.826),
"children's exposome (molecular biomarkers, sensors and questionnaires across the three exposome domains)",1,ExO:0000002,exposure event,judged,ECTO:0600002 exposure to child care environment (0.776) | ECTO:0070212 exposure to infant formula based on isolated amino acids and/or protein hydrolysates via ingestion (0.735) | ECTO:0070226 exposure to infant formula (milk-based) via ingestion (0.733) | ECTO:0070225 exposure to infant formula via ingestion (0.705) | ECTO:0800001 exposure to environmental process route (0.699) | ECTO:0070058 exposure to lima bean via ingestion (0.696),the root exposure class of ECTO (from ExO); the name is no more specific than that
chronic arsenic exposure through drinking water,1,ECTO:0080000,exposure to arsenic in water via ingestion,judged,ECTO:0080000 exposure to arsenic in water via ingestion (0.842) | ECTO:0900004 exposure to arsenic via ingestion (0.807) | ECTO:0900207 exposure to arsenic(3+) via ingestion (0.800) | ECTO:7000087 exposure to arsenic-rich mud (0.769) | ECTO:9002674 exposure to arsenic(3+) (0.762) | ECTO:9000447 exposure to arsenite ion (0.760),
"chronic heavy drinking (≥80 g of alcohol/day for men, 50 g/d for women, for ≥10 years)",1,ECTO:6000009,exposure to alcohol abuse,judged,ECTO:0300001 exposure to drinking alcohol via maternal (0.741) | ECTO:0900101 exposure to alcohol via ingestion (0.734) | ECTO:0100001 exposure to drinking alcohol (0.728) | ECTO:0001082 exposure to alcohol consumption (0.704) | ECTO:6000009 exposure to alcohol abuse (0.701) | ECTO:0900083 exposure to ethanol via ingestion (0.693),
cigarette smoking,4,ECTO:6000038,exposure to Cigarette Smoking,exact,ECTO:6000038 exposure to Cigarette Smoking (0.896) | ECTO:0100003 exposure to cigarette smoking (0.864) | ECTO:0300003 exposure to cigarette smoking via maternal (0.860) | ECTO:0100004 exposure to cigar smoking (0.859) | ECTO:0300004 exposure to cigar smoking via maternal (0.855) | ECTO:6000014 exposure to smoking cessation (0.838),
cigarette smoking (a history of ≥10 pack-year smoking),1,ECTO:0100003,exposure to cigarette smoking,judged,ECTO:0300003 exposure to cigarette smoking via maternal (0.801) | ECTO:0300004 exposure to cigar smoking via maternal (0.794) | ECTO:6000038 exposure to Cigarette Smoking (0.790) | ECTO:0100003 exposure to cigarette smoking (0.789) | ECTO:0100004 exposure to cigar smoking (0.781) | ECTO:0300000 exposure to nicotine via maternal (0.775),
cigarette smoking (current and former smokers),1,ECTO:0100003,exposure to cigarette smoking,judged,ECTO:0300003 exposure to cigarette smoking via maternal (0.853) | ECTO:0300004 exposure to cigar smoking via maternal (0.847) | ECTO:6000038 exposure to Cigarette Smoking (0.846) | ECTO:0100003 exposure to cigarette smoking (0.845) | ECTO:0100004 exposure to cigar smoking (0.838) | ECTO:0300002 exposure to smoking nicotine via maternal (0.821),
"cigarette smoking, at least 10 cigarettes per day",1,ECTO:0100003,exposure to cigarette smoking,judged,ECTO:0300003 exposure to cigarette smoking via maternal (0.824) | ECTO:0300004 exposure to cigar smoking via maternal (0.818) | ECTO:0100003 exposure to cigarette smoking (0.812) | ECTO:0300000 exposure to nicotine via maternal (0.809) | ECTO:6000038 exposure to Cigarette Smoking (0.807) | ECTO:0100004 exposure to cigar smoking (0.805),
civilian exposure to war events,1,,,none,ECTO:0900510 exposure to warfarin via ingestion (0.784) | ECTO:0070129 exposure to french fries via ingestion (0.757) | ECTO:0070243 exposure to celery food product via ingestion (0.749) | ECTO:0070064 exposure to vegetarian burger via ingestion (0.748) | ECTO:0000980 exposure to temperature of air in surroundings (0.746) | ECTO:0070110 exposure to white bread via ingestion (0.746),ECTO has no war term
climate,1,,,none,ECTO:8000008 exposure to climate change (0.908) | ECTO:1000000 exposure to environmental condition (0.790) | ECTO:7000008 exposure to clay (0.770) | ECTO:0600000 exposure to environmental system (0.768) | ECTO:8000019 exposure to environmental pollution (0.768) | ECTO:9000853 exposure to climbazole (0.763),"nearest terms are exposure to weather (ECTO:1000020) and exposure to climate change (ECTO:8000008), neither is climate"
climate change,1,ECTO:8000008,exposure to climate change,exact,ECTO:8000008 exposure to climate change (0.930) | ECTO:1000000 exposure to environmental condition (0.788) | ECTO:8000019 exposure to environmental pollution (0.776) | ECTO:0600000 exposure to environmental system (0.770) | ECTO:0000931 exposure to environmental contaminant (0.763) | ECTO:0000015 exposure to environmental material (0.760),
cocaine,1,ECTO:9000265,exposure to cocaine,exact,ECTO:9000265 exposure to cocaine (0.928) | ECTO:0100007 exposure to cocaine addictive consumption (0.882) | ECTO:0300007 exposure to cocaine via maternal (0.863) | ECTO:9000769 exposure to methamphetamine (0.730) | ECTO:0100008 exposure to methamphetamine addictive consumption (0.726) | ECTO:9000205 exposure to caffeine (0.723),
combustion-related air pollution,1,ECTO:8000036,exposure to air pollution,judged,ECTO:8000006 exposure to combusion process (0.882) | ECTO:7000156 exposure to emissions from petroleum combustion (0.797) | ECTO:0800002 exposure to air pollution via maternal (0.786) | ECTO:0900113 exposure to carbon monoxide via inhalation (0.783) | ECTO:1000001 exposure to coal power plant (0.775) | ECTO:7000139 exposure to gasoline exhaust (0.767),
combustion-related ambient air pollution,1,ECTO:8000036,exposure to air pollution,judged,ECTO:8000006 exposure to combusion process (0.856) | ECTO:7000156 exposure to emissions from petroleum combustion (0.798) | ECTO:0800002 exposure to air pollution via maternal (0.781) | ECTO:0900113 exposure to carbon monoxide via inhalation (0.776) | ECTO:1000001 exposure to coal power plant (0.768) | ECTO:8000031 exposure to carbon dioxide emission process (0.759),
consumption of alcohol,1,ECTO:0001082,exposure to alcohol consumption,judged,ECTO:0900101 exposure to alcohol via ingestion (0.906) | ECTO:0001082 exposure to alcohol consumption (0.864) | ECTO:0100001 exposure to drinking alcohol (0.849) | ECTO:0300001 exposure to drinking alcohol via maternal (0.847) | ECTO:9000026 exposure to alcohol (0.845) | ECTO:6000009 exposure to alcohol abuse (0.834),
consumption of alcoholic beverages,1,ECTO:0001082,exposure to alcohol consumption,judged,ECTO:0900101 exposure to alcohol via ingestion (0.896) | ECTO:0300001 exposure to drinking alcohol via maternal (0.850) | ECTO:0100001 exposure to drinking alcohol (0.849) | ECTO:0001082 exposure to alcohol consumption (0.848) | ECTO:6000022 exposure to drinking behavior (0.825) | ECTO:9000026 exposure to alcohol (0.824),
cotinine,1,ECTO:0100013,exposure to tobacco,judged,ECTO:0100003 exposure to cigarette smoking (0.757) | ECTO:0300003 exposure to cigarette smoking via maternal (0.756) | ECTO:0100004 exposure to cigar smoking (0.752) | ECTO:0300004 exposure to cigar smoking via maternal (0.751) | ECTO:0100013 exposure to tobacco (0.750) | ECTO:9002478 exposure to nicotinamide (0.747),cotinine is the biomarker of tobacco smoke exposure
current and former smokers (≥ 20 pack years),1,ECTO:0100003,exposure to cigarette smoking,judged,ECTO:0300003 exposure to cigarette smoking via maternal (0.737) | ECTO:0300004 exposure to cigar smoking via maternal (0.734) | ECTO:0300000 exposure to nicotine via maternal (0.734) | ECTO:0100000 exposure to nicotine addictive consumption (0.728) | ECTO:0300002 exposure to smoking nicotine via maternal (0.728) | ECTO:0100003 exposure to cigarette smoking (0.723),
current or former smoker with ≥2.5 pack-years of smoking history,1,ECTO:0100003,exposure to cigarette smoking,judged,ECTO:0300000 exposure to nicotine via maternal (0.752) | ECTO:0300003 exposure to cigarette smoking via maternal (0.752) | ECTO:0300004 exposure to cigar smoking via maternal (0.746) | ECTO:0100000 exposure to nicotine addictive consumption (0.744) | ECTO:0300002 exposure to smoking nicotine via maternal (0.743) | ECTO:0900393 exposure to nicotine via inhalation (0.737),
daily combined vitamin/mineral supplement,1,ECTO:2000123,exposure to multivitamin supplementation,judged,"ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.835) | ECTO:0070210 exposure to multivitamin preparation via ingestion (0.824) | ECTO:2000123 exposure to multivitamin supplementation (0.813) | ECTO:0900025 exposure to vitamin D via ingestion (0.777) | ECTO:9002169 exposure to vitamin B complex (0.775) | ECTO:0900026 exposure to vitamin E via ingestion (0.761)",
diesel exhaust fumes,1,ECTO:7000138,exposure to diesel exhaust,judged,ECTO:7000138 exposure to diesel exhaust (0.891) | ECTO:7000136 exposure to diesel fuel (0.869) | ECTO:7000139 exposure to gasoline exhaust (0.794) | ECTO:0900113 exposure to carbon monoxide via inhalation (0.771) | ECTO:0900363 exposure to fuel additive via ingestion (0.769) | ECTO:0900267 exposure to dieldrin via ingestion (0.764),
diet,19,EFO:0002755,diet,judged,"ECTO:2000068 exposure to dietary intervention (0.908) | ECTO:6000021 exposure to eating behavior (0.859) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.823) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.803) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.801) | ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.767) | ECTO:0050000 exposure to high-carbohydrate diet (lex) | ECTO:0050001 exposure to mediterranean diet (lex)",only EFO has a general diet term; ECTO has specific diets and dietary interventions only
diet (food frequency questionnaire),1,EFO:0002755,diet,judged,ECTO:2000068 exposure to dietary intervention (0.813) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.794) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.793) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.792) | ECTO:0900120 exposure to food component via ingestion (0.779) | ECTO:9002063 exposure to food component (0.772),
diet and lifestyle factors,1,ECTO:6000015,exposure to lifestyle,judged,"ECTO:2000068 exposure to dietary intervention (0.889) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.854) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.851) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.847) | ECTO:6000021 exposure to eating behavior (0.840) | ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.825)",lifestyle; diet itself has no ECTO term
diet and other lifestyle factors and exposures,1,ECTO:6000015,exposure to lifestyle,judged,"ECTO:2000068 exposure to dietary intervention (0.855) | ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.839) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.833) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.827) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.825) | ECTO:6000021 exposure to eating behavior (0.814)",lifestyle; diet itself has no ECTO term
diet from consumer purchases,1,EFO:0002755,diet,judged,"ECTO:2000117 exposure to dietary sodium intake avoidance (0.834) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.826) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.819) | ECTO:2000068 exposure to dietary intervention (0.816) | ECTO:0900120 exposure to food component via ingestion (0.815) | ECTO:0070193 exposure to soft drink (diet, caffeinated) via ingestion (0.813)",
dietary and lifestyle factors,1,ECTO:6000015,exposure to lifestyle,judged,"ECTO:2000068 exposure to dietary intervention (0.897) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.861) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.857) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.852) | ECTO:6000021 exposure to eating behavior (0.850) | ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.840)",lifestyle; diet itself has no ECTO term
dietary determinants of obesity and metabolic syndrome,1,EFO:0002755,diet,judged,"ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.831) | ECTO:2000068 exposure to dietary intervention (0.809) | ECTO:2000075 exposure to dietary lysine intake avoidance (0.803) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.803) | ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.783) | ECTO:0900120 exposure to food component via ingestion (0.763)",
