catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
EDEN	Study on the pre and early postnatal determinants of child health and development	existing	COHO:0000252		EDEN	Study on the pre and early postnatal determinants of child health and development																			Global Exposome Cohort Catalogue entry EDEN (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/EDEN), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
ELFE	Etude Longitudinale Française depuis l'Enfance"  (French longitudinal study of children)	mint cohort	COHO:0002602	Étude Longitudinale Française depuis l'Enfance	ELFE|Elfe	Etude Longitudinale Française depuis l'Enfance|French Longitudinal Study since Childhood|French Longitudinal Study of Children|French longitudinal study of children|French national cohort of children|ELFE cohort|Etude Longitudinale Française depuis l'Enfance"  (French longitudinal study of children)	cohort				PMID:38172606		Associations between screen viewing at 2 and 3.5 years and drawing ability at 3.5 years among children from the French nationwide Elfe birth cohort.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:38172606%20AND%20SRC:MED&resultType=core&format=json	The first French national birth cohort, of children recruited at birth in 2011 in a random sample of maternity units in metropolitan France during 25 selected days spread over the year and followed by the French Institute for Demographic Studies (Ined), Inserm and the French Blood Agency, to study the determinants of development, health and socialisation of children from birth to adulthood through a multidisciplinary approach.	PMID:31747017|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ELFE	Claude Opus 5.5 (Anthropic), 2026-09	France	A total of 349 maternity units were randomly selected in metropolitan France and the children were recruited at birth from the 320 maternity units that agreed to participate.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7266552/fullTextXML					Global Exposome Cohort Catalogue entry ELFE (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ELFE), checked against its sources on 2026-09-25. France's national birth cohort of 2011; not in COHO (suggested matches are unrelated French 'Etude ...' studies). Label as the cohort's website gives it, with the accent; the cohort profile's unaccented spelling, its English glosses and the catalogue's English gloss ('French longitudinal study of children', also the website's page title with different capitalisation) are synonyms. The catalogue's name field carries a stray double quote, not kept. 'Elfe' is the spelling the website and later papers use, kept as a case-variant acronym. The pilot cohort of 2007 is not part of this term.
ENVIRONAGE	ENVIRonmental influence ON early AGEing	mint cohort	COHO:0002603	ENVIRonmental influence ON early AGEing	ENVIRONAGE	Limburgs Geboortecohort|Environmental Influence on Early Aging|Environmental Influence on Ageing in Early Life	cohort				PMID:41196593		This prospective birth cohort study was conducted within the Environmental Influence on Early Aging (ENVIRONAGE) birth cohort, with follow-up data collected at 4 to 6 years of age.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12593129/fullTextXML	A prospective, population-based birth cohort of mother–newborn pairs recruited at delivery since February 2010 at East-Limburg Hospital (Ziekenhuis Oost-Limburg) in Genk, in the province of Limburg, Belgium, with umbilical cord blood collected at birth and follow-up of the children at 4 to 6 years of age at Hasselt University, to study how environmental exposures in early life influence the biology of human ageing.	PMID:41196593|PMID:41106326|https://limburgsgeboortecohort.be/|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ENVIRONAGE	Claude Opus 5.5 (Anthropic), 2026-09	Belgium	The study includes children from a population-based cohort in Belgium recruited between January 1, 2010, and December 31, 2016, with available cord blood appetite hormone levels and participating in follow-up visits.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12593129/fullTextXML					Global Exposome Cohort Catalogue entry ENVIRONAGE (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ENVIRONAGE), checked against its sources on 2026-09-25. A single-hospital birth cohort in Limburg, Belgium, run by Hasselt University; not in COHO (suggested matches are unrelated ageing studies). Label as in the cohort profile's title, whose capitals spell out the acronym; papers also expand it as 'Environmental Influence on Early Aging' and 'Environmental Influence on Ageing in Early Life', and the website calls it 'Limburgs Geboortecohort'; all kept as synonyms. The design paper's full text was requested but only its title was retrieved; the definition rests on two open-access papers and the website. Could not read: PMID:28089960 full text (cohort profile; only its title was retrieved).
HPV	HPV vaccination cohort	mint cohort	COHO:0002604	Finnish HPV vaccination cohort	HPV	HPV vaccination cohort|HPV-Rokotiitus|NCT00534638	cohort				PMID:40205852		from the Finnish HPV vaccination cohort	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11982018/fullTextXML	The participants of a community-randomised phase IV trial in which early adolescents born 1992–1995 and resident in 33 Finnish communities were invited in 2007–2009 and assigned by community to gender-neutral HPV16/18 vaccination, HPV16/18 vaccination of girls with hepatitis B vaccination of boys, or gender-neutral hepatitis B vaccination, and followed up with cervicovaginal sampling from 18.5 years of age, to compare the overall and herd effects of gender-neutral and girls-only HPV vaccination.	PMID:25593103|PMID:29055031|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/HPV	Claude Opus 5.5 (Anthropic), 2026-09	Finland	Human papillomavirus seroprevalence in pregnant women following gender-neutral and girls-only vaccination programs in Finland: A cross-sectional cohort analysis following a cluster randomized trial.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:34097688%20AND%20SRC:MED&resultType=core&format=json					Global Exposome Cohort Catalogue entry HPV (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/HPV), checked against its sources on 2026-09-25. The catalogue entry is the Finnish community-randomised HPV vaccination trial of 2007-2009 (its description, start year and website), a defined group of trial participants, so a cohort; not in COHO. The trial has no proper name: the catalogue calls it 'HPV vaccination cohort', its website 'HPV-Rokotiitus', and the HEAP paper HPV-KITE 'the Finnish HPV vaccination cohort', used here as the label; the curator may prefer another. The catalogue acronym 'HPV' is kept as an acronym as the rules require although it is the virus's abbreviation. Several of the catalogue's publications (the 2006 enrolment papers and the ten-year follow-up, PMID:28821519) are about different, earlier Finnish cohorts (PATRICIA and HPV-012 trial participants and an unvaccinated cohort enrolled 2003-2005) and are not part of this term. The example quote from HPV-KITE names the cohort without describing it; its identity rests on the paper's citation of the community-vaccination study. Could not read: PMID:25593103 full text (closed; abstract read).
INMA	INfancia y Medio Ambiente [Environment and Childhood] Project	existing	COHO:0000100		INMA	INfancia y Medio Ambiente [Environment and Childhood] Project																			Global Exposome Cohort Catalogue entry INMA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/INMA), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
KORA	KORA - Cooperative Health Research in the Region Augsburg	existing	COHO:0000045		KORA|KORA Study	KORA - Cooperative Health Research in the Region Augsburg|KORA - Kooperative Gesundheitsforschung in der Region Augsburg																			Global Exposome Cohort Catalogue entry KORA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/KORA), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
LL	Lifelines	existing	COHO:0000108		LL	Lifelines																			Global Exposome Cohort Catalogue entry LL (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/LL), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
LSC	TirolGESUND Lifestyle Atlas	unresolved		TirolGESUND study	LSC|TG|TirolGESUND	TirolGESUND Lifestyle Atlas|Tyrol Lifestyle Atlas|Multiomic Lifestyle Intervention study|TirolGESUND: General Exercise, Smoking Undone, and Nutrition Diet|General Exercise, Smoking Undone, and Nutrition Diet|General Exercise, Smoking undone, and nutrition diet|TirolGESUND	cohort						The TirolGESUND study enrolled 156 women aged 30 to 60 years into one of two parallel six-month interventions based on lifestyle risk factors: intermittent fasting (n=114, BMI ≥25) or smoking cessation (n=42, ≥10 cigarettes/day for ≥5 years)	https://www.biorxiv.org/content/10.1101/2025.08.30.673115v1.full	A lifestyle intervention study of healthy women aged 30 to 60 in Tyrol, Austria, run by the EUTOPS Institute of the University of Innsbruck from 2021, in which women with a raised BMI followed six months of intermittent fasting (randomised to a ketogenic supplement or not) and heavy smokers underwent smoking cessation, with repeated sampling of several tissues to study how DNA methylation and other multi-omic biomarkers of health, ageing and cancer risk respond to lifestyle change.	https://clinicaltrials.gov/study/NCT05678426|https://eutops.github.io/lifestyle-atlas/|https://doi.org/10.1101/2025.08.30.673115	Claude Opus 5.5 (Anthropic), 2026-09	Austria	EUTOPS Institute at the University of Innsbruck, Austria	https://eutops.github.io/lifestyle-atlas/					Global Exposome Cohort Catalogue entry LSC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/LSC), checked against its sources on 2026-09-25. TirolGESUND (official title 'TirolGESUND: General Exercise, Smoking Undone, and Nutrition Diet', NCT05678426, ISRCTN15374182; the catalogue's external id 20210420-2560 is the Innsbruck hospital study-register number) is a 2021-2022 single-site intervention study of 156 Tyrolean women (intermittent fasting arm, smoking cessation arm) at the EUTOPS Institute, Hall in Tirol / University of Innsbruck; the 'Lifestyle Atlas' is its multi-omic data portal, so the catalogue's name is the resource, not the study. A trial's participants are a cohort. Not in COHO. The example is a bioRxiv preprint with no PMID (no journal version found in Europe PMC). The country quote only places the coordinating institute in Austria; the ClinicalTrials.gov record (structured field, not quotable prose) gives the site as Hall in Tirol, Austria, and the title says 'Healthy Female Tyrolean Volunteers'. ACRONYM CLASH: the catalogue id LSC is also the acronym of the Lovelace Smokers Cohort (COHO:0002019); both terms need the editor note. Label choice ('TirolGESUND study', as the preprint calls it) is for the curator; the formal title is given as a synonym. Not minted on 2026-09-25: no paper with a PMID that used the cohort (its example is a preprint); the record above is kept for when one appears.
MoBa	The Norwegian Mother, Father and Child Cohort Study	existing	COHO:0000131		MoBa	The Norwegian Mother, Father and Child Cohort Study																			Global Exposome Cohort Catalogue entry MoBa (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/MoBa), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
NINFEA	Nascita ed INFanzia: gli Effetti dell'Ambiente	mint cohort	COHO:0002605	Nascita e INFanzia: gli Effetti dell'Ambiente	NINFEA	Nascita ed INFanzia: gli Effetti dell'Ambiente|Nascita e INFanzia gli Effetti dell’Ambiente|Nascita e Infanzia: gli Effetti dell’Ambiente|NINFEA cohort|NINFEA birth cohort|NINFEA study|Progetto NINFEA|NINFEA project	cohort				PMID:39808632		The study included 3938 nulliparous women from the Italian NINFEA mother-child cohort.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11731713/fullTextXML	An Italian internet-based birth cohort of children born to pregnant women who volunteered through the study website, started as a pilot in Turin in July 2005 and extended to the rest of Italy, with recruitment until 2016 and online questionnaires completed by the mothers during pregnancy and repeatedly through the child's childhood and adolescence, set up to investigate the effects of pre-natal and early post-natal exposures on infant, child and adult health.	PMID:17955333|PMID:26071071|https://www.progettoninfea.it/index_en|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NINFEA	Claude Opus 5.5 (Anthropic), 2026-09	Italy	The NINFEA cohort started as a pilot study in the city of Turin, Italy, in July 2005 and has been gradually extended to the rest of Italy.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4526937/fullTextXML					Global Exposome Cohort Catalogue entry NINFEA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NINFEA), checked against its sources on 2026-09-25. NINFEA is the Italian web-based mother-child cohort run from Turin (University of Turin / Città della Salute), recruiting 2005-2016. Not in COHO; the resemblance to INMA (COHO:0000100) is only lexical. The papers spell the name 'Nascita e INFanzia gli Effetti dell’Ambiente' (capitals show how NINFEA is formed) and the catalogue description uses 'Nascita e Infanzia: gli Effetti dell’Ambiente'; the catalogue's name has 'ed'. All variants kept as synonyms. Recruitment end 2016 is from the catalogue record only.
PANIC	Physical Activity and Nutrition In Children	existing	COHO:0000140		PANIC	Physical Activity and Nutrition In Children																			Global Exposome Cohort Catalogue entry PANIC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/PANIC), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
PIAMA	Prevention and Incidence of Asthma and Mite Allergy	existing	COHO:0000324		PIAMA|PULMOLINES - PIAMA	Prevention and Incidence of Asthma and Mite Allergy																			Global Exposome Cohort Catalogue entry PIAMA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/PIAMA), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
RHEA	RHEA - Mother Child Cohort in Crete, Greece	mint cohort	COHO:0002606	Rhea Study	RHEA	Mother-Child Cohort in Crete, Greece|RHEA - Mother Child Cohort in Crete, Greece|Rhea mother-child cohort|Rhea cohort|Rhea pregnancy cohort|Rhea project	cohort				PMID:33407552		The current study included 176 mother-child pairs from the Rhea Study in Heraklion, Greece	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7789252/fullTextXML	A population-based mother-child cohort of pregnant women living in the prefecture of Heraklion, Crete, Greece, recruited at their first major ultrasound examination around week 12 of gestation at four prenatal clinics in Heraklion from February 2007 to February 2008, and of their children, followed from early pregnancy towards young adulthood to study how environmental, dietary and other early-life exposures affect the health of mothers and children, with a focus on childhood obesity.	PMID:25970502|PMID:33407552|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/RHEA	Claude Opus 5.5 (Anthropic), 2026-09	Greece	The present study is part of the “Rhea” project, a pregnancy cohort which examines prospectively a population-based cohort of pregnant women and their children at the prefecture of Heraklion, Crete, Greece	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4430416/fullTextXML					Global Exposome Cohort Catalogue entry RHEA (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/RHEA), checked against its sources on 2026-09-25. Rhea is the Heraklion (Crete) pregnancy/birth cohort of the University of Crete, recruiting 2007-2008. Not in COHO; the resemblances offered (MoBa, CHILD, Drakenstein, HELIC, NCDS, Entebbe) are only lexical. Rhea is one of the six cohorts from which the HELIX subcohort (COHO:0000827, typed cohort) was drawn; that makes HELIX a possible sub-cohort of Rhea and others, not a parent of Rhea, so no parent is given. Label 'Rhea Study' follows the cohort profile's title; 'Mother-Child Cohort in Crete, Greece' is the descriptive name. 'Rhea' is a name, not an abbreviation, but RHEA is the catalogue's tag so it is listed as an acronym. The definition is from the OA papers; the cohort profile (requested) should be read before minting to confirm the follow-up and aims. Could not read: PMID:29040580.
RS1	Rotterdam Study, first cohort	existing	COHO:0000544		RS1|Rotterdam Study first cohort	Rotterdam Study, first cohort|first cohort of the Rotterdam Study																			Global Exposome Cohort Catalogue entry RS1 (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/RS1), checked against its sources on 2026-09-25. The catalogue's 'Rotterdam Study, first cohort' is RS-I, the original 1990 Ommoord cohort, which COHO already has as Rotterdam Study I (COHO:0000544, acronyms RSI and RS-I). The catalogue's start year 1989 is the pilot phase: 'RS-I-1 refers to the baseline examination of the original cohort (pilot phase 07/1989–12/1989; cohort recruitment 01/1990–09/1993).' (PMC7250962). The design paper glosses it 'RS-I, first cohort of the Rotterdam Study'. Names to add: the catalogue id RS1, the catalogue's acronym field 'Rotterdam Study first cohort' (really a name; listed under acronyms because the catalogue tags it as the acronym, the curator may prefer it as a plain synonym), and the catalogue's name. COHO:0000544 already has isSubCohortOf COHO:0000148.
RS2	Rotterdam Study, second cohort	existing	COHO:0000888		RS2|Rotterdam Study second cohort	Rotterdam Study, second cohort|second cohort of the Rotterdam Study																			Global Exposome Cohort Catalogue entry RS2 (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/RS2), checked against its sources on 2026-09-25. The catalogue's 'Rotterdam Study, second cohort' (start 2000) is RS-II, the 2000 extension of Ommoord residents who had turned 55 or moved into the district, which COHO already has as Rotterdam Study II (COHO:0000888, acronyms RSII and RS-II). Design paper: 'In 2000, 3011 participants (out of 4472 invitees) who had become 55 years of age or moved into the study district since the start of the study were added to the cohort.' and 'RS-II, second cohort of the Rotterdam Study' (PMC7250962). Names to add: the catalogue id RS2, the catalogue's acronym field 'Rotterdam Study second cohort' (really a name; under acronyms because the catalogue tags it so) and the catalogue's name. COHO:0000888 already has isSubCohortOf COHO:0000148.
