cohort_name_(from_ega_review)	times_seen_in_review	status	closest_existing_acronym	closest_existing_full_name	similarity
German MI cohort	2	New - not found in reference list			0.65
HAPIEE (Health, Alcohol and Psychosocial factors In Eastern Europe) study	1	New - not found in reference list			0.5
HELIUS cohort study	2	New - not found in reference list			0
HGDP-CEPH	1	New - not found in reference list			0.62
Hypertension cohort (HT)	1	New - not found in reference list			0.6
ICGA	3	New - not found in reference list			0
ICGC - CAGEKID: Cancer Genomics of the Kidney	1	New - not found in reference list			0.57
ICGC - India Project	1	New - not found in reference list			0.36
ICGC - MMML-Seq Consortium	1	New - not found in reference list			0.29
ICGC - The Chronic Lymphocytic Leukemia (CLL) Genome Project	2	New - not found in reference list			0.69
ICGC GCS	1	New - not found in reference list			0.67
ICGC India	1	New - not found in reference list			0.57
ICGC Oesophageal Adenocarcinoma - tumour samples	4	New - not found in reference list			0.47
ICGC PedBrain	3	New - not found in reference list			0.47
ICGC Prostate Group	1	New - not found in reference list			0.62
ICR MOPOPGEN UK exome control series	1	New - not found in reference list			0.51
Initiative for Molecular Profiling and Advanced Cancer Therapy 2 (IMPACT 2) Study	1	New - not found in reference list			0.5
InterPregGen FP7 project	1	New - not found in reference list			0.67
Liverpool Preterm Birth Biomarker Study	1	New - not found in reference list			0.52
MESOMICS Project	1	New - not found in reference list			0
MRCE family panel	1	New - not found in reference list			0.62
Maastricht IBS studies	1	New - not found in reference list			0
MalariaGEN	3	New - not found in reference list			0
Malaysian hospital-based cohort (MyBrCa)	1	New - not found in reference list			0.52
MeDALL (Mechanisms of the Development of ALLergy)	1	New - not found in reference list			0.54
Methylation of Ewing sarcoma tumors Study	1	New - not found in reference list			0.49
MolPAGE	1	New - not found in reference list			0
MuTHER	1	New - not found in reference list			0
NEW (65 Asian Prostate Cancer Patients)	2	New - not found in reference list			0.67
NIHR BioResource Common Disease Patients 2016	1	New - not found in reference list			0.34
Nala GSI GSAv3 PGx Study	1	New - not found in reference list			0.32
NeoALTTO	1	New - not found in reference list			0
ORGANOIDS	4	New - not found in reference list			0
Pancancer Analysis of Whole Genomes (PCAWG)	3	New - not found in reference list			0.53
Pca Cohort	2	New - not found in reference list			0.29
Preeclampsia InterPregGen Consortium	2	New - not found in reference list			0.5
Princess Margaret Cancer Centre human acute myeloid leukemia patient cohort	2	New - not found in reference list			0.46
RODAM	1	New - not found in reference list			0
SCOT trial	1	New - not found in reference list			0.57
SG10K Pilot	1	New - not found in reference list			0
STREP GENE: Genetics and Severe Streptococcal Infections	1	New - not found in reference list			0.53
Study Into Lean and Thin Subjects (STILTS)	1	New - not found in reference list			0.5
SweGen	1	New - not found in reference list			0
T2D-GENES (Type 2 Diabetes Genetic Exploration by Next-generation sequencing in multi-Ethnic Samples)	1	New - not found in reference list			0.48
THE PHASE II GMMG-BIRMA TRIAL (Hipo_K08K)	1	New - not found in reference list			0.36
The Low coverage Kuusamo whole genome sequencing study	1	New - not found in reference list			0.5
The Medical Genome Reference BioBank	2	New - not found in reference list			0.58
The Rare Neuromuscular Disorders cohort	1	New - not found in reference list			0.62
The Singapore Living Biobank	1	New - not found in reference list			0.67
TrypanoGEN project	1	New - not found in reference list			0
Type 2 Diabetes Cohort (T2D)	1	New - not found in reference list			0.74
UBKEC consortium	1	New - not found in reference list			0
UK BHF CAD/MI cohort	2	New - not found in reference list			0.37
UK Blood Service Control Group	1	New - not found in reference list			0.59
UK10K	30	New - not found in reference list			0
WWTC	1	New - not found in reference list			0
asthma familial cohort	1	New - not found in reference list			0.6
lungNENomics	1	New - not found in reference list			0
1958 British Birth Cohort (58BC)	1	Possible match (similar entry exists)	B58C	1958 British Birth Cohort Study	0.85
APCDR Durban Diabetes Study (DDS)	1	Possible match (similar entry exists)	DDS	Durban Diabetes Study	0.81
LifeLines DEEP	2	Possible match (similar entry exists)	LifeLines	LifeLines	0.78
Lifelines Dutch Microbiome Project	1	Possible match (similar entry exists)	DMP	Dutch Microbiome Project	0.83
The UK Household Longitudinal Study	1	Possible match (similar entry exists)	UKHLS	UK Household Longitudinal Study	0.94
