row,id,label,type,colour,coloured_cells,validated_note,change_note,comments,cell_edits,other
2056,COHO:0002061,MGH Cardiology and Metabolic Patient Cohort,unclassified placeholder,,,MGH needs ot be listed as aggregate - long name needed,,,,
2057,COHO:0002062,MGH CNC,unclassified placeholder,,,MGH needs ot be listed as aggregate - long name needed,,,,
2062,COHO:0002067,The University of Miami – Sylvester Comprehensive Cancer Center,unclassified placeholder,,,not a cohort,,,,
2077,COHO:0002082,Montreal/Boston Collection,unclassified placeholder,,,not a cohort,,,,
2079,COHO:0002084,Moscow,unclassified placeholder,red,label,,,,,
2081,COHO:0002086,Munich Morphometry Sample,unclassified placeholder,,,not a cohort,,,,
2085,COHO:0002090,"Medical Research Council Unit, The Gambia",unclassified placeholder,,,not a cohort,,,,
2096,COHO:0002101,MXB,unclassified placeholder,,,long name needed,,,,
2108,COHO:0002113,Nashville Biosciences,unclassified placeholder,,,not a cohort,,,,
2118,COHO:0002123,NCI Bladder Cancer,unclassified placeholder,,,NCI listed as aggregate cohort and this underneath,,,,
2123,COHO:0002128,Norfolk Diabetes casencontrol study,unclassified placeholder,,,,,,label: 'Norfolk Diabetes case_control study' -> 'Norfolk Diabetes casencontrol study',
2137,COHO:0002142,Nurses Health Study III,unclassified placeholder,,,need to check if this is one of 3 - if so the NHS should be aggregated with these listed underneath ,,[Validated] @jmcl@ebi.ac.uk -fyi,,
2140,COHO:0002145,NHS-egems,unclassified placeholder,,,long-name needed,,,,
2141,COHO:0002146,NHS-Hu,unclassified placeholder,,,long-name needed,,,,
2149,COHO:0002154,Nijmegen,unclassified placeholder,,,not a cohort,,,,
2174,COHO:0002179,NPHS,unclassified placeholder,,,long name?,,,,
2176,COHO:0002181,NRG Oncology,unclassified placeholder,,,long name?,,,,
2211,COHO:0002216,Ohio State University Comprehensive Cancer Centre,unclassified placeholder,,,not a cohort,,,,
2212,COHO:0002217,Ohio State University Medical Center,unclassified placeholder,,,not a cohort,,,,
2214,COHO:0002219,Odense University Hospital,unclassified placeholder,,,not a cohort,,,,
2228,COHO:0002233,Groupe hospitalier Pitieåä- Salpe_trie`re Paris,unclassified placeholder,,,,,[acronyms] Paris as an acy. seems odd,,
2229,COHO:0002234,Parkwest,unclassified placeholder,,,,,[label] full name is 'Norwegian ParkWest Study',,
2264,COHO:0002269,Poland,unclassified placeholder,red,label,not a cohort,,,,
2358,COHO:0002363,Seattle,unclassified placeholder,dark red,id | label | type | acronyms,,,[acronyms] ?,,
2516,COHO:0002521,UM/VU/MSSM,unclassified placeholder,light magenta,label,,,,,
2542,COHO:0002547,VICTOR,unclassified placeholder,pale magenta,label,,,,,
2544,COHO:0002549,VIP study,unclassified placeholder,,,,,[acronyms] might check this one,,
2584,COHO:0002589,Yale,unclassified placeholder,red,id | label | type | acronyms | other_synonyms,,,[id] not a cohort,,
