ID	TYPE	label	participants	participants evidence	participants source	participants note	cases	cases evidence	cases source	cases note	controls	controls evidence	controls source	controls note
COHO:0000011	owl:NamedIndividual	Atherosclerosis Risk in Communities Study	15792	The ARIC is a population-based epidemiologic study among a total of 15,792 Black and White participants recruited from 4 communities (17).	PMID:35769078	Black and White participants recruited from the 4 communities								
COHO:0000012	owl:NamedIndividual	Atopic Dermatitis Research Network	2862	Participants with AD (N = 2862) whose disease was categorized as mild (11.6%), moderate (58.0%), or severe (30.4%) based on Rajka-Langeland scoring were enrolled.	PMID:37182563	participants with atopic dermatitis enrolled in the ADRN registry at 9 academic centres								
COHO:0000014	owl:NamedIndividual	Australian Ovarian Cancer Study					1859	Between 2002 and 2006, a total of 2,456 women with suspected epithelial ovarian cancer from all Australian states consented to take part in the study, of whom 1859 had invasive or borderline ovarian tumours.	http://www.aocstudy.org/background.html	women with invasive or borderline ovarian tumours among 2,456 consenting cases (2002-2006); controls enrolled	1065	Between 2002 and 2006, a total of 2,456 women with suspected epithelial ovarian cancer from all Australian states consented to take part in the study, of whom 1859 had invasive or borderline ovarian tumours.	http://www.aocstudy.org/background.html	women with invasive or borderline ovarian tumours among 2,456 consenting cases (2002-2006); controls enrolled
COHO:0000015	owl:NamedIndividual	Australian Twin Registry	75000	We are non-profit with our research made possible through the incredible volunteer efforts of our 75,000 twin members Australia-wide.	https://www.twins.org.au/	twin members of Twins Research Australia (the renamed Australian Twin Registry), current website								
COHO:0000016	owl:NamedIndividual	Avon Longitudinal Study of Parents and Children	14775	The ‘Children of the 90s’ ‘enrolled sample’ consists of 14 775 (75.7% of the 19 600 eligible live births) live-born children from the 15 247 pregnancies (15 458 foetuses) where an individual, either the mother/primary caregiver or the child, has provided data.	PMID:22507743	live-born index children in the enrolled sample (from 15 247 enrolled pregnancies, by age 18), 2012								
COHO:0000017	owl:NamedIndividual	Berlin-Frankfurt-Münster trials	6609	Between 1981 and 2000, 6609 children (<18 years of age) were treated in five consecutive trials of the Berlin-Frankfurt-Münster (BFM) study group for childhood acute lymphoblastic leukemia (ALL).	PMID:20010625	children treated in the five consecutive ALL-BFM trials 1981-2000 (pooled long-term analysis)								
COHO:0000018	owl:NamedIndividual	Bladder Cancer Prognosis Programme	1550	Briefly, during the enrolment period (December 2005–October 2011), a total of 1,550 male and female patients (age ≥18 years) were enrolled based on abnormal cystoscopic findings suggestive of bladder cancer.	PMID:30112441	patients enrolled December 2005-October 2011 on cystoscopic findings suggestive of bladder cancer								
COHO:0000019	owl:NamedIndividual	Brazilian Cohort	45	Here we provide a catalogue of variants called after sequencing the exomes of 45 babies from Rio Grande do Nord in Brazil.	PMID:33087711	babies whose exomes were sequenced								
COHO:0000020	owl:NamedIndividual	Breast Cancer Association Consortium	35568	We pooled tumor marker and epidemiological risk factor data from 35568 invasive breast cancer case patients from 34 studies participating in the Breast Cancer Association Consortium.	PMID:21191117	invasive breast cancer cases from 34 member studies pooled in the 2011 risk-factor and tumour-subtype analysis	35568	We pooled tumor marker and epidemiological risk factor data from 35568 invasive breast cancer case patients from 34 studies participating in the Breast Cancer Association Consortium.	PMID:21191117	invasive breast cancer cases from 34 member studies pooled in the 2011 risk-factor and tumour-subtype analysis				
COHO:0000021	owl:NamedIndividual	Bruneck study	933	A total of 933 women and men participated in the baseline examination in 1990 (participation rate, 93.3%); 703 of 764 individuals being alive in 2000 participated in the 2000 re‐evaluation (participation rate, 92.0%).	PMID:32172649	women and men examined at the 1990 baseline (of 1,000 invited)								
COHO:0000023	owl:NamedIndividual	Cancer Genome Atlas	11160	By the end of this 10-year project, TCGA network investigators had characterized the molecular landscape of tumors from 11,160 patients across 33 cancer types and defined their many molecular subtypes.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6066282/	patients whose tumours TCGA characterised across 33 cancer types (TCGA-CDR, whole program), 2018								
COHO:0000024	owl:NamedIndividual	Cancer Prevention Study	1200000	The Cancer Prevention Study II (CPS-II), which began in 1982, is a prospective mortality study of approximately 1.2 million American men and women.	https://www.cancer.org/research/population-science/pop-sci/prevention-studies/cps-2.html	American men and women enrolled in CPS-II in 1982								
COHO:0000025	owl:NamedIndividual	Cancer Prostate in Sweden					3161	The CAPS (Cancer of the Prostate in Sweden) study represents a large Swedish population- based cancer study, comprising 3,161 cases and 2,149 controls, recruited between 2001 and 2003.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fng.3094/MediaObjects/41588_2014_BFng3094_MOESM58_ESM.pdf	prostate cancer cases and controls recruited 2001-2003	2149	The CAPS (Cancer of the Prostate in Sweden) study represents a large Swedish population- based cancer study, comprising 3,161 cases and 2,149 controls, recruited between 2001 and 2003.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fng.3094/MediaObjects/41588_2014_BFng3094_MOESM58_ESM.pdf	prostate cancer cases and controls recruited 2001-2003
COHO:0000026	owl:NamedIndividual	Candesartan in Heart failure Assessment of Reduction in Mortality and morbidity	7601	Overall, 7601 patients (7599 with data) were randomly assigned candesartan (n=3803, titrated to 32 mg once daily) or matching placebo (n=3796), and followed up for at least 2 years.	PMID:13678868	patients randomised across the three CHARM trials (CHARM-Overall), 2003								
COHO:0000028	owl:NamedIndividual	Cardiogenics Study	918	This initiative recruited 918 participants (459 patients with myocardial infarction and 459 normal controls) in five centres: Cambridge (UK), Leicester (UK), Lübeck (Germany), Regensburg (Germany), and Paris (France).	https://pmc.ncbi.nlm.nih.gov/articles/PMC3314981/	participants recruited in five centres (MI patients and controls)	459	This initiative recruited 918 participants (459 patients with myocardial infarction and 459 normal controls) in five centres: Cambridge (UK), Leicester (UK), Lübeck (Germany), Regensburg (Germany), and Paris (France).	https://pmc.ncbi.nlm.nih.gov/articles/PMC3314981/	participants recruited in five centres (MI patients and controls)	459	This initiative recruited 918 participants (459 patients with myocardial infarction and 459 normal controls) in five centres: Cambridge (UK), Leicester (UK), Lübeck (Germany), Regensburg (Germany), and Paris (France).	https://pmc.ncbi.nlm.nih.gov/articles/PMC3314981/	participants recruited in five centres (MI patients and controls)
COHO:0000029	owl:NamedIndividual	CARDIoGRAMplusC4D	185000	Leveraging phased haplotypes from the 1000 Genomes Project, we report a GWAS meta-analysis of ∼185,000 CAD cases and controls, interrogating 6.7 million common (minor allele frequency (MAF) > 0.05) and 2.7 million low-frequency (0.005 < MAF < 0.05) variants.	PMID:26343387	CAD cases and controls in the 2015 1000 Genomes-based meta-analysis (approximate)	60801	Leveraging phased haplotypes from the 1000 Genomes Project, we report a GWAS meta-analysis of ∼185,000 CAD cases and controls, interrogating 6.7 million common (minor allele frequency (MAF) > 0.05) and 2.7 million low-frequency (0.005 < MAF < 0.05) variants.	PMID:26343387	CAD cases and controls in the 2015 1000 Genomes-based meta-analysis (approximate)	123504	Leveraging phased haplotypes from the 1000 Genomes Project, we report a GWAS meta-analysis of ∼185,000 CAD cases and controls, interrogating 6.7 million common (minor allele frequency (MAF) > 0.05) and 2.7 million low-frequency (0.005 < MAF < 0.05) variants.	PMID:26343387	CAD cases and controls in the 2015 1000 Genomes-based meta-analysis (approximate)
COHO:0000030	owl:NamedIndividual	Carolina Head and Neck Cancer Epidemiology					1389	Interview data were available for 1,389 cases and 1,396 controls.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2925153/	interviewed head and neck cancer cases and controls, 2002-2006	1396	Interview data were available for 1,389 cases and 1,396 controls.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2925153/	interviewed head and neck cancer cases and controls, 2002-2006
COHO:0000031	owl:NamedIndividual	CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)	43000	CARTaGENE recruited over 43 000 men and women aged 40-69 in two phases (A and B).	PMID:39153764	men and women aged 40-69 recruited in phases A and B (over 43 000)								
COHO:0000037	owl:NamedIndividual	Children, Allergy, Milieu, Stockholm, Epidemiology	4093	In November 1996, this number was reached (4,093).	PMID:12688617	children enrolled at 3-4 months of age, 1994-1996								
COHO:0000038	owl:NamedIndividual	Cholesterol and Atherosclerosis Pharmacogenetics	944	We enrolled 944 African-American and white men and women who completed an open-label, 6-week pharmacogenetics trial of 40 mg of simvastatin.	PMID:16516587	African-American and white adults enrolled who completed the 6-week simvastatin trial								
COHO:0000039	owl:NamedIndividual	Cilento study	2137	The sample for this study was based on the initial cohort of 2,137 participants, which were recruited in the Genetic Park of Cilento and Vallo di Diano Project between 2003 and 2008.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6411969/	participants recruited in Campora, Gioi and Cardile, 2003-2008								
COHO:0000040	owl:NamedIndividual	COIN	2445	Between March 9, 2005, and May 9, 2008, 2445 patients were randomly allocated to treatment groups at 111 centres in the UK and Ireland, with 1630 patients assigned to the comparison of continuous versus intermittent treatment.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3159416/fullTextXML	patients randomised to the three COIN arms, 2005-2008								
COHO:0000041	owl:NamedIndividual	COIN-B	226	We registered 401 patients, 226 of whom were enrolled.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4012566/	patients enrolled (randomised) in COIN-B, of 401 registered								
COHO:0000042	owl:NamedIndividual	Colorectal Cancer Study of Austria	13000	In the ongoing CRC study of Austria (CORSA), more than 13,000 Caucasian participants have been recruited within the province-wide screening project “Burgenland Prevention Trial of Colorectal Disease with Immunological Testing” (B-PREDICT) since 200313 .	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-018-0286-6/MediaObjects/41588_2018_286_MOESM1_ESM.pdf	participants recruited since 2003 (more than 13,000; cases, adenomas and colonoscopy-negative controls)								
COHO:0000044	owl:NamedIndividual	Consortium of Minority Population Genome-Wide Association Studies of Stroke					3734	The COMPASS (Consortium of Minority Population Genome-Wide Association Studies of Stroke) has conducted a genome-wide association meta-analysis of stroke in >22 000 individuals of African ancestry (3734 cases, 18 317 controls) from 13 cohorts.	PMID:32693751	cases and controls of African ancestry in the 2020 COMPASS meta-analysis of 13 cohorts	18317	The COMPASS (Consortium of Minority Population Genome-Wide Association Studies of Stroke) has conducted a genome-wide association meta-analysis of stroke in >22 000 individuals of African ancestry (3734 cases, 18 317 controls) from 13 cohorts.	PMID:32693751	cases and controls of African ancestry in the 2020 COMPASS meta-analysis of 13 cohorts
COHO:0000045	owl:NamedIndividual	Cooperative Health Research in the Region of Augsburg	17602	In total, 17.602 participants were randomly selected from population registries in the study region.	https://www.helmholtz-munich.de/en/epi/cohort/kora	participants of the four baseline surveys S1-S4 (1984-2001)								
COHO:0000046	owl:NamedIndividual	Copenhagen Hospital Biobank	425000	At present, the biobank counts ~425,000 patients (Table 4).	PMID:36852012	patients in the biobank (approximate), 2023								
COHO:0000047	owl:NamedIndividual	CROATIA-Korcula Study	2701	This study describes whole genome sequencing (TruSeq Nano, Illumina) run on a HiSeqX  platform at 30X coverage on 200 individuals best capturing the genetic variation of the entire cohort (N= 2701); they were selected using ANCHAP, an identity by descent inference tool (PMID 23361219).	https://metadata.ega-archive.org/studies/EGAS00001008043	adult volunteers recruited 2007-2014 (entire cohort)								
COHO:0000049	owl:NamedIndividual	Diabetes Genetics in Pakistan	1988	All subjects (UKADS, n = 1274; DGP, n = 1988; total, n = 3262) were genotyped for the 16 SNPs using the KASPar method (KBioscience, Hoddesdon, UK).	PMID:21949744	DGP participants genotyped in this study (type 2 diabetes cases and normoglycaemic controls), 2011	821	All subjects (UKADS, n = 1274; DGP, n = 1988; total, n = 3262) were genotyped for the 16 SNPs using the KASPar method (KBioscience, Hoddesdon, UK).	PMID:21949744	DGP participants genotyped in this study (type 2 diabetes cases and normoglycaemic controls), 2011	1167	All subjects (UKADS, n = 1274; DGP, n = 1988; total, n = 3262) were genotyped for the 16 SNPs using the KASPar method (KBioscience, Hoddesdon, UK).	PMID:21949744	DGP participants genotyped in this study (type 2 diabetes cases and normoglycaemic controls), 2011
COHO:0000050	owl:NamedIndividual	Diabetes in Mexico Study					762	Diabetes in Mexico Study (DMS) Mexico City, Mexico Prospective Cohort Controls 472 (505) 25.8% 52.5 ± 7.7 – 28.0 ± 4.4 5.0 ± 0.4 T2D Cases 690 (762)	https://pmc.ncbi.nlm.nih.gov/articles/PMC4127086/	DMS type 2 diabetes cases and controls in the SIGMA T2D dataset, before QC (table row), 2014	505	Diabetes in Mexico Study (DMS) Mexico City, Mexico Prospective Cohort Controls 472 (505) 25.8% 52.5 ± 7.7 – 28.0 ± 4.4 5.0 ± 0.4 T2D Cases 690 (762)	https://pmc.ncbi.nlm.nih.gov/articles/PMC4127086/	DMS type 2 diabetes cases and controls in the SIGMA T2D dataset, before QC (table row), 2014
COHO:0000051	owl:NamedIndividual	Diabetes Prevention Program	3234	We randomly assigned 3234 nondiabetic persons with elevated fasting and post-load plasma glucose concentrations to placebo, metformin (850 mg twice daily), or a lifestyle-modification program with the goals of at least a 7 percent weight loss and at least 150 minutes of physical activity per week.	PMID:11832527	participants randomised								
COHO:0000052	owl:NamedIndividual	Diabetes Reduction Assessment with Ramipril and Rosiglitazone Medication	5269	During this period a total of 191 clinical sites in 21 countries screened 24,872 individuals and randomised 5269 participants using a variety of recruitment strategies (Table 2).	https://doi.org/10.1007/s00125-004-1485-5	participants randomised								
COHO:0000054	owl:NamedIndividual	Dortmund Health Study	2291	From 2003 to 2004 overall 2,291 participants were recruited into the study, 1,312 attended the study centre and the others participated by answering a mailed questionnaire.	PMID:22736161	participants recruited 2003-2004								
COHO:0000055	owl:NamedIndividual	Duke Cognition Cohort	1193	DCC Duke Cognition Cohort USA 1193 27.1 11.6 18 77 558 0.47	https://europepmc.org/api/getPdf?pmcid=PMC5322272	DCC participants in the COGENT meta-analysis (analysed subset, table row), 2017								
COHO:0000057	owl:NamedIndividual	Durban Diabetes Study	1204	Of the 1204 participants recruited to date, 28.3% (341) are men compared with 48.2% found in the general population census data.	PMID:29276614	participants recruited to date (interim, recruitment ongoing)								
COHO:0000058	owl:NamedIndividual	Dutch and Belgian Lung Cancer Screening Trial	15428	Until October 18, 2005 11,103 (first recruitment round) and 4,325 (second recruitment round) (total = 15,428) participants have been randomised.	PMID:17131307	participants randomised by 18 October 2005 (two recruitment rounds)								
COHO:0000059	owl:NamedIndividual	Dutch Microbiome Project	8208	The Dutch Microbiome Project (DMP) data includes raw data generated by shotgun metagenomic sequencing of faecal samples of 8,208 Dutch individuals, processed microbiome data analysed using Biobakery2 tools (including taxonomy, pathway, virulence factors and antibiotic resistance gene profiles), and basic phenotypes (age and sex, BMI).	https://metadata.ega-archive.org/studies/EGAS00001005027	Lifelines participants with sequenced faecal metagenomes (2021)								
COHO:0000060	owl:NamedIndividual	Edinburgh Stroke Study	1408	We assessed 1,408 patients, of whom 844 (60%) had blood drawn for markers of inflammation.	PMID:19901973	stroke patients assessed April 2002 - May 2005								
COHO:0000061	owl:NamedIndividual	ENGAGE AF-TIMI 48	21105	We conducted a randomized, double-blind, double-dummy trial comparing two once-daily regimens of edoxaban with warfarin in 21,105 patients with moderate-to-high-risk atrial fibrillation (median follow-up, 2.8 years).	PMID:24251359	patients randomised								
COHO:0000062	owl:NamedIndividual	EPIGEN	6487	A population-based genome-wide analysis of 6,487 individuals was performed in the context of worldwide genomic diversity to elucidate how ancestry, kinship, and inbreeding interact in three populations with different histories from the Northeast (African ancestry: 50%), Southeast, and South (both with European ancestry >70%) of Brazil.	PMID:26124090	genotyped individuals from the three member cohorts in the flagship 2015 analysis								
COHO:0000063	owl:NamedIndividual	Erasmus Rucphen Family Study	2065	Data collection started in June 2002 and was finished in February 2005 (n=2065).	https://dss.niagads.org/cohorts/erasmus-rucphen-family-erf/	participants examined June 2002 to February 2005								
COHO:0000064	owl:NamedIndividual	Estonian Biobank	212000	Because the Estonian Biobank is an open cohort, the sample size has now expanded to >212 000 individuals since the publication of the previous cohort profile,1 covering ∼20% of the adult population in Estonia.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10881104/fullTextXML	individuals enrolled in the open cohort (stated as more than 212 000), 2024								
COHO:0000065	owl:NamedIndividual	European Prospective Investigation into Cancer	519978	The study currently includes 519 978 participants (366 521 women and 153 457 men, mostly aged 35-70 years) in 23 centres located in 10 European countries, to be followed for cancer incidence and cause-specific mortality for several decades.	PMID:12639222	participants recruited in 23 centres, 10 countries (2002)								
COHO:0000066	owl:NamedIndividual	European Prospective Investigation of Cancer-Norfolk	30445	Of these, 30 445 consented to take part and completed a health questionnaire.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4121549/fullTextXML	people who consented and completed the baseline health questionnaire, 1993-1997								
COHO:0000067	owl:NamedIndividual	EuroTARGET project	1210	In total, 1,210 patients with mRCC were included.	PMID:28385611	patients with metastatic renal cell cancer included (prospective plus previous studies)								
COHO:0000068	owl:NamedIndividual	Extremely Low Gestational Age Newborns	1506	We enrolled 1506 ELGANs born before 28 weeks gestation at 14 sites; 1201 (80%) survived to 2 years corrected age.	PMID:19765918	infants born before 28 weeks enrolled at 14 sites								
COHO:0000069	owl:NamedIndividual	Fatty Acid Sensor Study	254	A total of 254 healthy Canadian Caucasian subjects living in the Quebec City metropolitan area were recruited into the FAS study from September 2009 to December 2011 using announcements in local newspapers, as well as electronic messages sent to students and employees of Université Laval (Quebec).	https://europepmc.org/api/getPdf?pmcid=PMC6358031	healthy subjects recruited September 2009 to December 2011								
COHO:0000072	owl:NamedIndividual	Flemish Gut Flora Project	5000	We collect and examine stool samples from more than 5000 participants.	https://vib.be/en/research-and-impact/research-areas/microbiology/flemish-gut-flora-project	participants providing stool samples (stated as more than 5000)								
COHO:0000073	owl:NamedIndividual	Gabriel Advanced Survey	103219	In a first-screening phase, a comprehensive population-based survey was conducted to assess the prevalence of exposure to farming environments and of asthma and atopic diseases (n = 103,219).	PMID:21819425	children in the phase I screening survey								
COHO:0000074	owl:NamedIndividual	GCAT Genomes for Life	20000	The GCAT cohort comprises 20,000 volunteers, recruited between 2014 and 2018, from Catalan general population, aged between 40 and 65 years old at the time of recruitment, and 59.16% women.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11515386/fullTextXML	volunteers recruited 2014-2018								
COHO:0000075	owl:NamedIndividual	GENESIS	6000	This is a large study including over 6000 participants, and the biological, clinical and epidemiological data collected are detailed and complete.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4711059/fullTextXML	participants included 2007-2013 (stated as over 6000)	1721	This is a large study including over 6000 participants, and the biological, clinical and epidemiological data collected are detailed and complete.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4711059/fullTextXML	participants included 2007-2013 (stated as over 6000)	1419	This is a large study including over 6000 participants, and the biological, clinical and epidemiological data collected are detailed and complete.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4711059/fullTextXML	participants included 2007-2013 (stated as over 6000)
COHO:0000076	owl:NamedIndividual	Genetic Analysis of Multiple Sclerosis					9772	We introduced a number of novel quality control (QC) methods for processing these datasets (see Supplementary Information), which ultimately provided reliable information from 9772 cases and 17376 controls (see Figure 1A).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3182531/fullTextXML	cases and controls after QC in the 2011 IMSGC/WTCCC2 GWAS; no total stated	17376	We introduced a number of novel quality control (QC) methods for processing these datasets (see Supplementary Information), which ultimately provided reliable information from 9772 cases and 17376 controls (see Figure 1A).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3182531/fullTextXML	cases and controls after QC in the 2011 IMSGC/WTCCC2 GWAS; no total stated
COHO:0000077	owl:NamedIndividual	Genetic Consortium for Anorexia Nervosa					2907	We performed a GWAS in 2907 cases with AN from 14 countries (15 sites) and 14 860 ancestrally matched controls as part of the Genetic Consortium for AN (GCAN) and the Wellcome Trust Case Control Consortium 3 (WTCCC3).	PMID:24514567	AN cases and matched controls in the 2014 GCAN/WTCCC3 discovery GWAS; no total stated	14860	We performed a GWAS in 2907 cases with AN from 14 countries (15 sites) and 14 860 ancestrally matched controls as part of the Genetic Consortium for AN (GCAN) and the Wellcome Trust Case Control Consortium 3 (WTCCC3).	PMID:24514567	AN cases and matched controls in the 2014 GCAN/WTCCC3 discovery GWAS; no total stated
COHO:0000078	owl:NamedIndividual	Genetic Epidemiology of Asthma in Costa Rica	4283	Total number of consented subjects: 4283	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000988.v6.p1	consented subjects in the dbGaP/TOPMed release (pedigrees and trios)								
COHO:0000079	owl:NamedIndividual	Genetic Overlap between Metabolic and Psychiatric traits	2747	The GOMAP (Genetic Overlap between Metabolic and Psychiatric disorders) study comprises a collection of 2,747 DNA samples from four different patient categories: T2D patients, SCZ patients, individuals with both SCZ and T2D (referred to from here on as SCZplusT2D), and individuals with a different psychiatric diagnosis (this last group is not used in further analyses reported here) (Table 1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6251918/fullTextXML	patients' DNA samples in the GOMAP collection (cases only)								
COHO:0000080	owl:NamedIndividual	Genetic Prostate cancer risk stratification for targeted screening	115	The enrollment was closed in January 2013 when 115 men had entered the study and 100 had agreed to undergo PB (Table 1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4912360/fullTextXML	men who entered the PROFILE pilot study, December 2010 to January 2013								
COHO:0000082	owl:NamedIndividual	Genetics of diabetes Audit and Research	18306	This gives a current total GoDARTS cohort of 18 306 participants, 10 149 of whom have T2D ( ∼ 44.8% of the DARTS study, representing the diabetic population in Tayside) and 8157 of whom were healthy controls at baseline.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5913637/fullTextXML	participants recruited 1998-2015 (T2D patients and healthy controls)	10149	This gives a current total GoDARTS cohort of 18 306 participants, 10 149 of whom have T2D ( ∼ 44.8% of the DARTS study, representing the diabetic population in Tayside) and 8157 of whom were healthy controls at baseline.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5913637/fullTextXML	participants recruited 1998-2015 (T2D patients and healthy controls)	8157	This gives a current total GoDARTS cohort of 18 306 participants, 10 149 of whom have T2D ( ∼ 44.8% of the DARTS study, representing the diabetic population in Tayside) and 8157 of whom were healthy controls at baseline.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5913637/fullTextXML	participants recruited 1998-2015 (T2D patients and healthy controls)
COHO:0000083	owl:NamedIndividual	Genetics of Healthy Aging	7918	The central DNA extraction centre in Helsinki received a total of 11392 samples belonging to 7918 participants from the recruitment centres.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3622890/	participants (nonagenarian siblings and younger controls) whose samples reached the central DNA extraction centre, recruitment 2004-2008	5319	The central DNA extraction centre in Helsinki received a total of 11392 samples belonging to 7918 participants from the recruitment centres.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3622890/	participants (nonagenarian siblings and younger controls) whose samples reached the central DNA extraction centre, recruitment 2004-2008	2548	The central DNA extraction centre in Helsinki received a total of 11392 samples belonging to 7918 participants from the recruitment centres.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3622890/	participants (nonagenarian siblings and younger controls) whose samples reached the central DNA extraction centre, recruitment 2004-2008
COHO:0000084	owl:NamedIndividual	GenomeAsia 100K project	6442	After standard quality control filters and the removal of one individual from each first-degree relative pair, we obtained a set of 6442 high-coverage genomes (average 25×) for downstream analyses (Supplementary Data 1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10250394/fullTextXML	high-coverage genomes in the GenomeAsia Phase 2 dataset after QC and relative removal (2023)								
COHO:0000085	owl:NamedIndividual	German Multiple Myeloma Study Group	5300	> 5300 IN GMMG-STUDIEN REKRUTIERTE PATIENTEN	https://gmmg.info/	patients recruited across GMMG trials (stated as more than 5300), 2026								
COHO:0000086	owl:NamedIndividual	Ghana Prostate Study					749	The Ghana Prostate Study is a case-control study of PCa that was conducted from 2004 to 2012 in 749 cases and 964 controls.	PMID:30530485	prostate cancer cases and population controls, 2004-2012 (no stated overall total)	964	The Ghana Prostate Study is a case-control study of PCa that was conducted from 2004 to 2012 in 749 cases and 964 controls.	PMID:30530485	prostate cancer cases and population controls, 2004-2012 (no stated overall total)
COHO:0000087	owl:NamedIndividual	Glaucoma Inheritance Study in Tasmania	2062	Of 2062 participants examined, 1700 were classified as POAG.	PMID:18173405	probands and family members examined								
